#Sample	Metric	Value
L0_7	Weighted NSTI	0.0532008647501
L0_8	Weighted NSTI	0.0387994157851
L0_9	Weighted NSTI	0.0339654989144
L0_B	Weighted NSTI	0.041539810277
L10_7	Weighted NSTI	0.0617373119629
L10_8	Weighted NSTI	0.0623472102246
L10_9	Weighted NSTI	0.0572672347333
L10_B	Weighted NSTI	0.0395033238095
L11_7	Weighted NSTI	0.0682237799835
L11_8	Weighted NSTI	0.0547944128209
L11_9	Weighted NSTI	0.058478245998
L11_B	Weighted NSTI	0.042644569809
L12_7	Weighted NSTI	0.0646311912874
L12_9	Weighted NSTI	0.0449862686647
L12_B	Weighted NSTI	0.044772014368
L13_7	Weighted NSTI	0.085389125
L13_8	Weighted NSTI	0.0836309542797
L13_9	Weighted NSTI	0.0640685424694
L13_B	Weighted NSTI	0.0538189582496
L14_7	Weighted NSTI	0.0520254794492
L14_8	Weighted NSTI	0.0422834774929
L14_9	Weighted NSTI	0.0569083505093
L14_B	Weighted NSTI	0.0583639667539
L16_9	Weighted NSTI	0.0466158652481
L16_B	Weighted NSTI	0.0384621219339
L1_7	Weighted NSTI	0.0502711037546
L17_8	Weighted NSTI	0.0374376857668
L17_9	Weighted NSTI	0.040944124305
L1_8	Weighted NSTI	0.0469541998428
L18_9	Weighted NSTI	0.0393694258348
L18_B	Weighted NSTI	0.0358003999909
L1_9	Weighted NSTI	0.0575666586555
L19_8	Weighted NSTI	0.0386055198723
L19_B	Weighted NSTI	0.0313102600102
L1_B	Weighted NSTI	0.0550068207643
L20_7	Weighted NSTI	0.041634308112
L20_8	Weighted NSTI	0.0382513106303
L20_9	Weighted NSTI	0.0387377482163
L20_B	Weighted NSTI	0.0285603736599
L2_B	Weighted NSTI	0.0476651951754
L3_7	Weighted NSTI	0.0422478257828
L3_B	Weighted NSTI	0.0538750002375
L4_7	Weighted NSTI	0.0485616109216
L4_8	Weighted NSTI	0.0528609146297
L4_9	Weighted NSTI	0.0487156681308
L5_B	Weighted NSTI	0.0526965408774
L6_7	Weighted NSTI	0.0477362038132
L6_B	Weighted NSTI	0.0529833333333
L8_9	Weighted NSTI	0.051069758759
L8_B	Weighted NSTI	0.0459664303562
L9_7	Weighted NSTI	0.0611515591198
L9_8	Weighted NSTI	0.0668444686201
L9_9	Weighted NSTI	0.0550722175031
L9_B	Weighted NSTI	0.0425161243133
S16_4	Weighted NSTI	0.0663642689149
S16_5	Weighted NSTI	0.0561629511405
S16_A	Weighted NSTI	0.0545979812682
S17_4	Weighted NSTI	0.051309999945
S17_5	Weighted NSTI	0.0549940304667
S17_6	Weighted NSTI	0.0527684210959
S17_A	Weighted NSTI	0.0400290388519
S18_4	Weighted NSTI	0.0540586052785
S18_5	Weighted NSTI	0.0457457783886
S18_6	Weighted NSTI	0.0437867254108
S18_A	Weighted NSTI	0.0576630148088
S19_4	Weighted NSTI	0.0422490801562
S19_5	Weighted NSTI	0.0541558134311
S19_6	Weighted NSTI	0.0500288999712
S19_A	Weighted NSTI	0.0588015588313
S20_1_4	Weighted NSTI	0.207560790555
S20_1_5	Weighted NSTI	0.101968927642
S20_1_6	Weighted NSTI	0.102946988189
S20_1_A	Weighted NSTI	0.0746565441536
S20_2_4	Weighted NSTI	0.0790728572211
S20_2_5	Weighted NSTI	0.0795519658797
S20_2_6	Weighted NSTI	0.0627486603136
S20_2_A	Weighted NSTI	0.0762298348163
S20_3_4	Weighted NSTI	0.0519282272412
S20_3_5	Weighted NSTI	0.0449902321786
S20_3_6	Weighted NSTI	0.0497631461
S20_3_A	Weighted NSTI	0.0460974474234
S20_4_4	Weighted NSTI	0.0442386296912
S20_4_5	Weighted NSTI	0.0483490093213
S20_4_6	Weighted NSTI	0.045561351753
S20_4_A	Weighted NSTI	0.0472026627992
S16_6	Weighted NSTI	0.0701425354663
