Software Version,3.00.19,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW_C20-4d_after_MUF-mix_plate-1.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\RW_chitinase_fluorescence.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,17/02/2017,,,,,,,,,,,,
Time,13:53:58,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,Unknown,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Fluorescence Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,
,"    Excitation: 360/40,  Emission: 460/40",,,,,,,,,,,,
,"    Optics: Top,  Gain: 55",,,,,,,,,,,,
,"Light Source: Tungsten,  Standard Dynamic Range",,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",,,,,,,,,,,,
,Read Height: 1 mm,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,21.7,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,62853,44930,29221,12315,3939,58,1925,2186,1660,4169,6127,4419,"360/40,460/40"
B,2369,1802,1878,1921,2017,1766,2514,2077,2194,1852,1768,1586,"360/40,460/40"
C,1848,1640,1634,1895,1549,1238,1531,1876,1621,1294,1019,964,"360/40,460/40"
D,1718,1826,1653,1984,1749,1863,2156,1757,1752,2234,2442,1917,"360/40,460/40"
E,1965,1780,1993,1509,1686,1497,1424,1681,1483,1370,1081,1012,"360/40,460/40"
F,1123,1259,1137,1395,1376,1235,1728,1828,2179,1581,1678,1589,"360/40,460/40"
G,1789,1988,1987,1442,1283,1432,1469,1660,1831,1435,1334,1327,"360/40,460/40"
H,1575,1061,1308,1841,1628,1654,1287,1272,1299,1502,1299,1294,"360/40,460/40"
