OTU,ID
ASV0361,1577238
ASV0953,4405322
ASV5626,434587
ASV0060,434587
ASV0164,434587
ASV0394,434587
ASV0010,434587
ASV0066,434587
ASV0221,434587
ASV3169,434587
ASV4791,434587
ASV0815,434587
ASV5027,434587
ASV1264,434587
ASV0838,434587
ASV2560,434587
ASV0624,434587
ASV0175,434587
ASV4346,434587
ASV3931,434587
ASV5133,434587
ASV0277,434587
ASV0362,434587
ASV0503,434587
ASV4336,434587
ASV4313,434587
ASV2319,434587
ASV2420,434587
ASV3924,434587
ASV0194,434587
ASV0655,434587
ASV0424,434587
ASV1029,434587
ASV6603,434587
ASV0964,539547
