OTU,Kingdom,Phylum,Class,Order,Family,Genus
Otu00001,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00002,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00003,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Amphora
Otu00004,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu00005,Eukaryota,Incertae_Sedis,Incertae_Sedis_cl,Incertae_Sedis_or,Incertae_Sedis_fa,Developayella
Otu00006,Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified
Otu00007,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
Otu00008,Eukaryota,Ochrophyta,Chrysophyceae,Ochromonadales,Ochromonadales_fa,Paraphysomonas
Otu00009,Eukaryota,Vertebrata,Mammalia,Mammalia_or,Mammalia_fa,Mammalia_ge
Otu00010,Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Capnodiales_unclassified,Capnodiales_unclassified
Otu00011,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Cyclidium
Otu00012,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Oligohymenophorea_unclassified
Otu00013,Eukaryota,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified
Otu00014,Eukaryota,Chlorophyta_ph,Chlorodendrophyceae,Chlorodendrales,Chlorodendrales_fa,Tetraselmis
Otu00015,Eukaryota,Basidiomycota,Exobasidiomycetes,Malasseziales,Incertae_Sedis,Malassezia
Otu00016,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Pseudoamphisiella
Otu00017,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Pseudocohnilembus
Otu00018,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Navicula
Otu00019,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unclassified,Pleosporales_unclassified
Otu00020,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Bacillariophyceae_unclassified
