Group,S20_1_4,S20_1_5,S20_1_6,S20_2_4,S20_2_5,S20_2_6,S20_3_4,S20_3_5,S20_3_6,S20_4_4,S20_4_5,S20_4_6
ASV000001,0.017123287671232876,1.9678860316310516,0.0079346187415694682,6.414522916556618,2.6948288419519302,2.9704905217901114,12.916336494465888,12.430634308611173,15.606958738004673,14.945266259140666,11.767503363800863,12.320011863275747
ASV000002,2.7226027397260273,1.0744899191114332,2.0788701102912004,37.518708291514798,31.318281136198106,18.760992769200705,67.840801615500624,60.934452256747562,57.956015523932727,76.848642021046686,76.367559040504801,76.019870986876242
ASV000003,2.6198630136986303,0.084510443076180122,1.4837737046734905,6.9709295159614744,8.8128186453022579,1.2116474496775453,10.454742976917768,9.4140772661979284,7.3989689328261665,4.0073389963569648,3.8544518164524657,5.7996589308222735
ASV000004,0.0,0.61571894241216951,0.0,8.6894511647562211,17.407137654770573,5.9605237443814731,7.2595281306715069,14.855976411884781,18.725261145758914,1.5418949076891864,4.7870366074328405,3.8095944242603994
ASV000005,6.0787671232876717,0.37426053362308342,0.84106958660636355,0.31694046801542441,2.9861616897305172,1.2507328512800469,0.040898750031952147,0.084675285401073566,0.0,0.13760618169308528,0.040597596622279963,0.017794913620523468
ASV000006,4.6232876712328768,16.141494627550404,22.907244306911053,0.69374746887820682,7.2833211944646763,6.1364080515927304,0.55213312543135395,0.20866409616693127,0.0,0.45074845413568326,0.51384958010485782,0.95944242603989027
ASV000007,4.1438356164383565,0.0,0.095215424898833612,0.16903491627489303,0.21849963583394028,9.2827828805940982,0.0,0.010584410675134196,0.0,0.0,0.095114369229341633,0.031141098835916065
ASV000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099754094557602188,0.0
ASV000010,0.0,0.70022938548834956,0.12695389986511149,0.16903491627489303,1.6023306627822289,1.2507328512800469,0.0,0.0,0.0,0.069685181754831654,0.0,0.0044487284051308671
ASV000011,0.0,0.024145840878908607,0.0,25.855299068547183,0.072833211944646759,0.0,0.0025561718769970092,0.0030241173357526273,0.0,0.0,0.0,0.0
ASV000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088209090828900822,0.0,0.0
ASV000013,6.0273972602739727,2.6318966558010382,6.6254066492105048,0.059866532847357948,0.8739985433357611,0.019542700801250732,0.048567265662943171,0.0,0.0,0.18259281801582472,0.11831299587064445,0.0029658189367539113
ASV000014,0.20547945205479451,3.1993239164553904,2.1661509164484647,0.0,4.1514930808448653,2.8336916161813561,0.0,0.037801466696907843,0.0,0.0017641818165780164,0.11019347654618845,0.0
ASV000015,2.9623287671232879,0.024145840878908607,1.7218122669205744,0.12501540682830631,5.2439912600145666,4.4948211842876686,0.0,0.0,0.0,0.0,0.10439381988586276,0.0
ASV000016,14.589041095890412,5.6501267656646137,3.3880822026501627,0.044019509446586724,3.3503277494537507,0.89896423685753379,0.18148820326678766,0.093747637408331447,0.0,0.0,0.0,0.16015422258471121
ASV000017,2.4143835616438358,2.6801883375588553,0.023803856224708403,0.0,0.0,0.0,0.0,0.50956377107431772,0.017377536637639742,0.0026462727248670248,0.0,0.03707273670942389
ASV000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000019,0.0,0.0,0.34912322462905654,0.13381930871762365,0.14566642388929352,0.50811022083251911,0.0,0.013608528010886821,0.0,0.00088209090828900822,0.0,0.013346185215392601
ASV000020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030893398466915103,0.0,0.0,0.0
ASV000021,1.404109589041096,0.036218761318362915,0.0,0.061627313225221414,0.0,7.3480555012702755,0.0,0.0,0.0,0.15701218167544348,0.071915742588038789,0.0
ASV000022,0.0,0.0,0.0,0.0,0.21849963583394028,0.0,0.0,0.0,0.0,0.0,0.0,0.04597019351968562
ASV000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000024,2.4486301369863015,0.0,18.805046417519637,0.036976387935132853,0.0,0.0,0.0,0.0,0.0,0.0,0.14615134784020786,0.0014829094683769556
ASV000025,0.95890410958904115,0.0,8.2599381099738167,0.15847023400771221,0.0,0.0,0.0,0.037801466696907843,0.0,0.0,0.0,0.0
ASV000026,0.0,0.0,0.0,7.5273361153663298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000028,6.1815068493150687,0.78473982856452973,1.1108466238197254,0.089799799271036915,2.1121631463947561,2.8532343169826073,0.040898750031952147,0.12096469343010507,0.023170048850186326,0.16406890894175555,0.0,0.028175279899162159
ASV000029,0.0,0.048291681757817215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000030,0.0,46.335868646625613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023198626641302835,0.0
ASV000031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000033,6.3356164383561646,0.0,0.0,0.20248974345429896,0.0,4.5143638850889189,0.0,0.0,0.0,0.0,0.0,0.0
ASV000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000035,0.0,0.0,0.0,1.287130456218196,0.072833211944646759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000037,0.0,1.2676566461427019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17641818165780165,0.0,0.0
ASV000038,0.2226027397260274,0.98997947603525294,1.2139966674601286,0.0,0.072833211944646759,0.0,0.0,0.0,0.0,0.0,0.034797939961954252,0.075628382887224732
ASV000039,0.17123287671232876,0.37426053362308342,1.221931286201698,0.10388604229394467,0.0,0.0,0.0,0.058970288047176231,0.0,0.022052272707225207,0.0,0.016312004152146512
ASV000040,6.3869863013698627,0.0,2.3169086725382848,0.0,0.14566642388929352,0.0,0.0,0.0,0.0,0.0,0.020878763977172553,0.053384740861570405
ASV000041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000043,0.0,0.0,0.0,0.0,0.072833211944646759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000045,1.8321917808219179,0.95376071471689006,0.047607712449416806,0.0,0.0,0.66445182724252494,0.010224687507988037,0.10735616541921826,0.0,0.02028809089064719,0.0,0.0
ASV000046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000047,0.0,0.096583363515634429,0.57129254939300167,0.0,1.3838310269482883,0.87942153605628293,0.0051123437539940184,0.0,0.0,0.0,0.026678420637498257,0.0
ASV000048,0.0,0.4225522153809006,1.3488851860668096,0.0,0.0,0.0,0.0,0.0,0.0019308374041821939,0.0,0.098594163225537046,0.0
ASV000049,1.7294520547945205,1.3159483279005191,0.42846941204475125,0.0,0.36416605972323379,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000050,0.0,0.048291681757817215,0.38086169959533445,0.026411705667952035,0.0,1.680672268907563,0.18404437514378466,0.042337642700536783,0.0,0.029108999973537275,0.010439381988586276,0.059316378735078217
ASV000051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000052,0.0,0.0,0.0,0.0,0.072833211944646759,0.66445182724252494,0.0,0.0,0.0,0.0,0.0,0.0
ASV000053,0.0,0.48291681757817218,0.0,0.0070431215114538761,0.0,0.0,0.0,0.0,0.0,0.0,0.086994849904885638,0.022243642025654334
ASV000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09828381341196038,0.0,0.0,0.0,0.0
ASV000056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000058,2.5342465753424657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000059,1.1643835616438356,0.0,0.19043084979766722,0.0,0.0,0.0,0.0,0.12096469343010507,0.0,0.0,0.083515055908690211,0.0
ASV000060,0.0,0.22938548834963179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000061,0.0,0.3138959314258119,0.0,0.0,0.072833211944646759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000063,0.0,0.0,0.0,0.0,0.72833211944646759,0.0,0.0,0.17993498147728132,0.067579309146376776,0.0,0.0,0.04745310298806258
ASV000064,0.0,0.18109380659181454,0.0,0.021129364534361629,0.0,0.0,0.0,0.0,0.0,0.0,0.13919175984781701,0.0
ASV000065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000066,0.0,0.0,0.0,0.0,0.072833211944646759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000069,0.0,0.0,0.30945013092120927,0.0,0.14566642388929352,0.0,0.0,0.0,0.0,0.0,0.0,0.016312004152146512
ASV000070,0.0,0.0,0.0,0.0,0.0,12.722298221614228,0.0,0.0,0.0,0.0,0.0,0.0
ASV000071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000072,0.0,0.0,0.99976196143775287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11251333921031875,0.0
ASV000073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000076,0.0,0.0,0.0,0.026411705667952035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000077,0.0,0.012072920439454304,0.0,1.1603542690120261,0.14566642388929352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000078,0.0,0.072437522636725829,0.18249623105609777,0.0,0.0,1.5047879616963065,0.0,0.0,0.0,0.0,0.0,0.0
ASV000079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028729114689649959,0.0,0.0,0.0,0.0
ASV000081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000084,0.0,0.012072920439454304,1.4917083234150599,0.0,0.0,0.0,0.0,0.063506464050805178,0.0,0.0,0.0,0.019277823088900425
