Group,C,K,n,L0_G,L1_G,L8_G,L9_G,L10_G,L13_G,L14_G,L17_G,L19_G,L20_G,S16_G,S17_G,S18_G,S19_G,S20_1_G,S20_2_G,S20_3_G,S20_4_G,L0_R,L1_R,L8_R,L9_R,L10_R,L11_R,L12_R,L13_R,L14_R,L18_R,L20_R,S16_R,S17_R,S20_1_R,S20_2_R,S20_4_R
ASV000011,2.5,0.0,0.052631578947368418,0.66666666666666663,0.0,0.0,2.0,0.33333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333331,0.0,0.66666666666666663,4895.0,1.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,68.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
ASV000012,0.0,0.5,9.8947368421052637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.333333333333336,661.33333333333337,5.0,0.0,87.333333333333329,0.0,0.0,0.0,0.33333333333333331,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,94.0,0.0,0.0,16.0,0.0
ASV000013,7.0,66.0,0.31578947368421051,0.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,128.0,108.66666666666667,734.33333333333337,669.33333333333337,214.0,243.66666666666666,468.33333333333331,15.666666666666666,6.333333333333333,103.66666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,46.0,0.0,490.0,637.0,1566.0,286.0,72.0,713.0
ASV000014,0.0,112.5,0.26315789473684209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,62.0,763.66666666666663,103.66666666666667,123.0,183.33333333333334,67.333333333333329,8.3333333333333339,32.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,381.0,586.0,186.0,88.0,529.0
ASV000015,55.0,49.5,7.7368421052631575,20.666666666666668,300.0,54.0,47.0,16.333333333333332,0.0,25.5,579.0,332.0,201.66666666666666,68.0,0.0,107.0,166.66666666666666,130.66666666666666,124.33333333333333,0.0,30.0,9.0,0.0,9.0,0.0,16.0,0.0,2.0,7.0,0.0,38.0,165.0,311.0,27.0,80.0,78.0,19.0
ASV000016,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,24.0,101.33333333333333,56.666666666666664,285.66666666666669,582.33333333333337,39.0,44.333333333333336,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,1030.0,1614.0,65.0,0.0,245.0
ASV000017,5.5,132.5,0.052631578947368418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.666666666666671,69.0,776.33333333333337,48.0,50.333333333333336,122.0,0.0,115.33333333333333,9.3333333333333339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.0,364.0,454.0,68.0,0.0,642.0
ASV000018,0.0,0.0,0.0,380.66666666666669,5044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000019,0.0,0.0,3.0526315789473686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,87.666666666666671,226.66666666666666,28.666666666666668,9.0,0.0,14.666666666666666,34.666666666666664,3.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0
ASV000020,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,57.333333333333336,0.0,0.0,40.333333333333336,0.0,0.0,5.333333333333333,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000021,118.0,11.0,5.0526315789473681,45.666666666666664,65.0,0.0,0.0,16.333333333333332,0.0,49.5,387.0,56.0,89.0,17.0,49.0,31.333333333333332,92.666666666666671,28.333333333333332,137.0,0.0,80.0,0.0,26.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,95.0,36.0,0.0,103.0
ASV000022,0.0,0.0,1.4210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,1.0,0.0,1.0,0.0,10.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000023,0.0,0.0,0.0,41.666666666666664,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,403.0,393.0,829.0,839.0,756.0,199.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000024,13.5,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,170.66666666666666,2.0,837.66666666666663,7.0,0.0,42.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,54.0,0.0,215.0
ASV000025,15.5,1.5,6.3157894736842106,0.0,0.0,0.0,0.0,8.6666666666666661,0.0,0.0,813.0,72.0,140.0,0.66666666666666663,60.333333333333336,55.666666666666664,13.333333333333334,365.66666666666669,30.0,8.3333333333333339,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,10.0,0.0,12.0,0.0,0.0,0.0,39.0,0.0,96.0
ASV000026,1.0,0.0,0.0,0.33333333333333331,0.0,0.0,1.0,1.3333333333333333,0.0,0.0,0.5,0.0,0.33333333333333331,0.0,0.33333333333333331,0.0,0.0,0.0,1425.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000028,15.5,31.5,20.842105263157894,26.0,31.0,36.0,102.0,12.333333333333334,0.0,103.0,0.0,0.0,106.33333333333333,76.666666666666671,37.666666666666664,25.333333333333332,61.666666666666664,188.66666666666666,75.333333333333329,36.0,68.333333333333329,0.0,0.0,0.0,8.0,21.0,8.0,7.0,0.0,0.0,0.0,130.0,31.0,0.0,64.0,0.0,112.0
ASV000029,0.0,15.0,9.526315789473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.33333333333333331,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0
ASV000030,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.666666666666668,0.0,1279.3333333333333,0.0,0.0,0.66666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000031,0.0,3.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,3489.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
ASV000032,0.0,0.0,0.0,68.333333333333329,3386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000033,12.5,7.0,5.2631578947368425,3.6666666666666665,34.0,0.0,235.0,4.666666666666667,0.0,0.0,124.0,50.0,107.33333333333333,2.3333333333333335,144.0,19.0,11.333333333333334,123.33333333333333,115.33333333333333,0.0,0.0,23.0,0.0,1.0,235.0,115.0,0.0,0.0,10.0,0.0,14.0,0.0,392.0,0.0,0.0,0.0,55.0
ASV000034,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1019.0,349.0,384.0,775.0,80.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000035,0.0,0.0,0.052631578947368418,135.66666666666666,0.0,1.0,0.0,0.0,0.0,4.5,128.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,1396.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
