Group,S20_1_4,S20_1_5,S20_1_6,S20_2_4,S20_2_5,S20_2_6,S20_3_4,S20_3_5,S20_3_6,S20_4_4,S20_4_5,S20_4_6
ASV000056,0,0,0,0,0,0,0,0,0,0,0,0
ASV000057,0,0,0,0,0,0,0,0,0,0,0,0
ASV000058,148,0,0,0,0,0,0,0,0,0,0,0
ASV000059,68,0,24,0,0,0,0,80,0,0,72,0
ASV000060,0,19,0,0,0,0,0,0,0,0,0,0
ASV000061,0,26,0,0,1,0,0,0,0,0,0,0
ASV000062,0,0,0,0,0,0,0,0,0,0,0,0
ASV000063,0,0,0,0,10,0,0,119,35,0,0,32
ASV000064,0,15,0,12,0,0,0,0,0,0,120,0
ASV000065,0,0,0,0,0,0,0,0,0,0,0,0
ASV000066,0,0,0,0,1,0,0,0,0,0,0,0
ASV000067,0,0,0,0,0,0,0,0,0,0,0,0
ASV000068,0,0,0,0,0,0,0,0,0,0,0,0
ASV000069,0,0,39,0,2,0,0,0,0,0,0,11
ASV000070,0,0,0,0,0,651,0,0,0,0,0,0
ASV000071,0,0,0,0,0,0,0,0,0,0,0,0
ASV000072,0,0,126,0,0,0,0,0,0,0,97,0
ASV000073,0,0,0,0,0,0,0,0,0,0,0,0
ASV000074,0,0,0,0,0,0,0,0,0,0,0,0
ASV000075,0,0,0,0,0,0,0,0,0,0,0,0
ASV000076,0,0,0,15,0,0,0,0,0,0,0,0
ASV000077,0,1,0,659,2,0,0,0,0,0,0,0
ASV000078,0,6,23,0,0,77,0,0,0,0,0,0
ASV000079,0,0,0,0,0,0,0,0,0,0,0,0
ASV000080,0,0,0,0,0,0,0,19,0,0,0,0
ASV000081,0,0,0,0,0,0,0,0,0,0,0,0
ASV000082,0,0,0,0,0,0,0,0,0,0,0,0
ASV000083,0,0,0,0,0,0,0,0,0,0,0,0
ASV000084,0,1,188,0,0,0,0,42,0,0,0,13
ASV000085,0,9,50,0,0,0,0,0,0,0,0,0
ASV000086,0,0,161,33,0,0,8,0,0,0,0,0
ASV000087,0,0,0,0,15,0,0,0,0,0,0,0
ASV000088,0,0,0,0,0,0,0,0,0,0,0,0
ASV000089,0,0,0,0,0,73,0,0,0,0,0,0
ASV000090,0,0,0,0,0,0,0,0,0,70,0,0
ASV000091,0,0,0,0,0,0,0,0,0,0,0,0
ASV000092,140,0,0,0,0,0,0,0,0,0,0,0
ASV000093,0,0,0,0,0,0,0,0,0,0,0,0
ASV000094,0,0,0,45,0,0,0,0,0,0,0,0
ASV000095,0,0,0,0,0,0,0,0,0,0,0,0
ASV000096,0,0,0,461,0,0,0,0,0,0,0,0
ASV000097,0,0,0,0,0,0,0,0,0,0,0,0
ASV000098,236,0,0,0,0,0,0,0,0,0,0,17
ASV000099,0,0,0,0,0,0,0,0,0,0,0,0
ASV000100,0,0,0,0,0,0,0,0,0,0,0,0
ASV000101,0,0,0,0,0,0,0,0,0,0,0,0
ASV000102,0,0,0,0,0,0,0,0,0,0,0,0
ASV000103,0,0,0,0,0,0,0,0,0,0,0,0
ASV000104,0,0,0,1,0,0,120,24,52,29,27,46
ASV000105,0,0,0,0,0,0,0,0,0,0,0,0
ASV000106,0,0,0,0,0,0,0,0,0,0,0,0
ASV000107,0,0,99,0,0,0,0,0,1,0,0,29
ASV000108,0,0,0,0,0,0,0,0,0,0,0,0
ASV000109,29,0,0,0,0,0,0,0,0,0,0,0
ASV000110,0,0,0,0,0,0,0,0,0,0,0,0
ASV000111,0,0,0,0,0,0,0,0,0,0,0,0
ASV000112,0,0,0,0,0,0,0,0,0,0,0,0
ASV000113,0,0,0,0,0,0,1,1,3,0,1,1
ASV000114,0,4,0,0,0,0,0,0,0,0,0,0
ASV000115,0,0,0,0,0,0,0,0,0,0,0,0
ASV000116,0,0,0,0,0,0,0,0,0,0,0,0
ASV000117,0,0,0,0,0,0,0,0,0,0,0,0
ASV000118,0,0,0,20,0,0,0,0,0,0,0,0
ASV000119,0,0,0,0,0,0,0,0,0,0,0,0
ASV000120,0,0,0,0,0,0,0,0,0,0,0,0
ASV000121,0,0,0,0,0,0,0,0,0,0,0,0
ASV000122,0,0,0,0,0,0,0,0,0,0,0,0
ASV000123,0,0,0,0,0,0,0,0,0,0,0,0
ASV000124,1,1,31,0,4,0,3,0,0,0,0,0
ASV000125,0,0,0,0,0,0,0,0,0,0,0,0
ASV000126,0,0,0,0,0,0,0,0,0,0,0,0
ASV000127,0,0,0,0,0,0,0,0,0,0,0,0
ASV000128,0,5,0,0,0,0,0,0,0,0,0,0
ASV000129,0,0,0,0,0,0,0,0,0,0,0,0
ASV000130,0,0,0,0,0,0,0,0,0,0,0,0
ASV000131,0,0,0,0,0,0,0,0,0,182,0,0
ASV000132,0,0,0,0,0,0,0,0,0,0,0,0
ASV000133,211,0,0,0,0,0,0,0,0,0,0,0
ASV000134,0,0,0,0,0,0,0,0,0,0,0,0
ASV000135,0,0,0,0,0,31,0,0,0,0,0,0
ASV000136,0,0,0,0,0,0,0,0,0,0,0,0
ASV000137,0,45,0,0,0,0,0,0,0,0,0,0
ASV000138,0,0,0,0,0,0,0,0,0,0,0,0
ASV000139,0,0,0,0,0,0,0,0,0,0,0,0
ASV000140,0,44,73,0,0,0,0,0,0,0,0,0
ASV000141,0,0,0,0,0,0,0,0,0,0,0,0
ASV000142,0,0,0,0,0,0,0,0,0,0,0,0
ASV000143,0,0,0,0,0,0,0,0,0,113,0,0
ASV000144,0,0,0,0,0,0,0,0,0,0,0,0
ASV000145,0,0,0,0,0,0,0,0,0,0,0,0
ASV000146,0,0,0,0,0,0,0,0,0,0,0,0
ASV000147,0,0,0,0,0,0,0,0,0,1,0,0
ASV000148,0,0,0,0,0,0,0,0,0,0,0,0
ASV000149,0,0,0,0,7,0,0,0,0,0,0,0
ASV000150,0,0,0,0,0,0,0,0,0,0,0,0
ASV000151,0,0,0,0,0,0,0,0,0,0,0,0
ASV000152,0,0,0,0,0,0,0,0,0,0,0,0
ASV000153,0,0,0,0,0,0,0,0,0,0,0,0
ASV000154,0,73,0,0,0,0,0,0,0,0,0,0
ASV000155,0,0,0,0,0,0,0,0,0,0,0,0
ASV000156,0,0,0,0,0,0,0,0,0,0,0,0
ASV000157,0,1,0,0,0,0,0,0,0,0,0,0
ASV000158,0,3,118,0,0,0,0,0,0,0,0,0
ASV000159,0,0,0,0,0,0,0,0,0,0,0,0
ASV000160,0,68,0,0,1,0,0,0,0,0,0,0
ASV000161,0,0,0,0,0,0,0,0,0,0,0,0
ASV000162,0,0,0,0,0,0,0,0,0,0,0,0
ASV000163,0,0,0,0,0,0,0,0,0,0,0,0
ASV000164,0,0,0,0,0,0,0,0,0,115,0,0
ASV000165,0,0,0,0,0,0,0,0,0,0,0,0
ASV000166,0,0,0,173,0,0,0,0,0,0,0,0
ASV000167,0,0,0,0,0,0,0,0,0,0,0,0
ASV000168,0,0,0,0,0,0,0,0,0,0,0,0
ASV000169,0,0,1,0,0,0,0,0,0,0,0,0
ASV000170,0,0,0,0,0,0,0,0,0,0,0,0
ASV000171,0,0,0,0,0,0,0,0,0,0,40,0
ASV000172,0,0,164,0,0,0,0,0,0,0,0,0
ASV000173,0,0,0,0,0,0,0,0,0,0,0,0
ASV000174,0,0,0,0,0,0,0,0,0,0,0,0
ASV000175,0,0,0,0,8,0,0,0,0,0,0,0
ASV000176,0,0,0,0,0,0,0,0,0,0,0,0
ASV000177,99,0,0,0,0,0,0,0,0,0,0,0
ASV000178,0,0,0,0,0,0,0,0,0,0,0,0
ASV000179,0,0,0,0,0,0,0,0,0,0,0,0
ASV000180,0,0,168,0,0,0,0,0,0,0,0,0
ASV000181,0,0,0,0,0,0,0,0,0,0,0,0
ASV000182,0,0,0,0,0,0,0,0,0,0,0,0
ASV000183,0,0,0,0,0,0,0,0,0,0,0,0
ASV000184,0,0,0,0,0,152,0,0,0,0,0,0
ASV000185,0,0,0,0,0,0,0,0,0,0,0,0
ASV000186,0,0,0,0,0,0,0,0,0,0,0,0
ASV000187,0,0,0,0,0,0,0,0,0,0,0,0
ASV000188,0,0,0,0,0,0,0,0,0,0,0,0
ASV000189,0,0,0,0,0,0,0,0,0,0,0,0
ASV000190,0,0,0,0,0,0,0,0,0,0,150,0
ASV000191,154,0,0,0,0,0,0,0,0,0,0,0
ASV000192,0,0,0,0,0,0,0,0,0,0,0,0
ASV000193,0,0,0,0,0,0,0,0,0,0,0,0
ASV000194,0,61,4,0,0,0,0,0,0,0,0,0
ASV000195,0,0,148,0,0,0,0,0,0,0,0,0
ASV000196,0,0,0,0,0,0,0,0,0,147,0,0
ASV000197,0,0,0,0,0,0,0,0,0,0,0,0
ASV000198,0,0,0,0,0,0,0,0,0,0,0,0
ASV000199,0,0,0,0,0,0,0,0,0,0,0,0
ASV000200,0,0,0,0,0,0,0,0,0,0,0,0
ASV000201,0,0,0,0,0,0,0,0,0,0,0,0
ASV000202,0,0,0,0,0,0,0,0,0,0,0,0
