Group,C1,C2,K1,K3,negplt3H10,negplt3H11,negplt4G10,negplt4G11,negplt4G7,negplt4G8,negplt4G9,negplt4H1,negplt4H10,negplt4H11,negplt4H12,negplt4H2,negplt4H3,negplt4H4,negplt4H5,negplt4H6,negplt4H7,negplt4H8,negplt4H9,L0_7,L0_8,L0_9,L0_B,L1_7,L1_B,L8_9,L8_B,L9_7,L9_B,L10_7,L10_8,L10_9,L10_B,L11_B,L12_B,L13_7,L13_B,L14_8,L14_9,L14_B,L17_8,L17_9,L18_B,L19_8,L20_7,L20_8,L20_9,L20_B,S16_4,S16_5,S16_6,S16_A,S17_4,S17_5,S17_6,S17_A,S18_4,S18_5,S18_6,S19_4,S19_5,S19_6,S20_1_4,S20_1_5,S20_1_6,S20_1_A,S20_2_4,S20_2_5,S20_2_6,S20_2_A,S20_3_4,S20_3_5,S20_3_6,S20_4_4,S20_4_5,S20_4_6,S20_4_A
ASV000001,5,1,0,0,0,4,1,3,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,70765,51522,77630,16871,28866,16096,2050,4938,42680,113561,45359,2960,27498,55721,48330,56605,650,65170,11703,19913,106651,354,61890,1648,4797,2128,13764,5158,2389,9050,1170,513,2738,4,548,20,2193,0,2274,3542,312,58,1925,1,163,1,1031,3643,37,152,210,5053,8221,8083,16943,10145,8308,929
ASV000002,3,3,0,4,0,0,0,0,2,2,37,0,2,71,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,371,3,95,213,227,0,0,0,3123,0,403,2040,0,0,2181,1,485,461,1747,1860,0,3346,26,90,0,0,6464,31,0,1798,13789,9831,29834,5837,17994,159,89,262,1,21308,430,960,2,26540,40299,30016,87121,65838,51264,0
ASV000003,3,0,0,0,0,0,0,0,0,0,11,0,0,98,0,1,0,0,1,0,0,0,1,213,0,0,0,47,5501,13,0,0,0,157,138,478,0,0,0,1095,0,273,674,0,0,891,0,2,0,2,34,2,31108,2497,1563,1,0,21835,165,0,2858,48600,13901,12700,2459,5840,153,7,187,1,3959,121,62,0,4090,6226,3832,4543,3323,3911,0
ASV000004,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,415,0,1405,134,1081,0,0,0,1373,0,43,977,0,0,431,0,0,0,289,124,0,1766,691,0,0,0,671,274,0,0,1638,3096,5862,1464,1914,0,51,0,1,4935,239,305,0,2840,9825,9698,1748,4127,2569,0
ASV000005,4,0,106,227,0,0,5,19,15,7,81,7,4,84,0,13,32,13,39,50,4,21,115,6,0,24,116,52,19,0,12,61,66,12,0,8,82,21,35,42,0,46,50,76,192,77,0,24,0,1170,293,0,95,142,2263,1874,200,65,175,74,105,0,0,162,143,32,355,31,106,0,180,41,64,19,16,56,0,156,35,12,143
ASV000006,271,17,0,159,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,410,2333,1841,3148,204,224,387,940,884,159,4150,74,807,396,1779,486,1070,270,1337,2887,488,394,100,314,69,216,138,0,511,443,647,1035
ASV000007,314,121,125,94,0,0,0,0,10,0,0,0,0,11,259,209,11,0,0,0,0,0,0,22,26,213,26,66,0,78,22,154,166,22,0,3,117,11,9,6,10,66,89,0,367,0,43,422,497,0,192,607,578,125,0,620,194,579,70,93,150,0,3,0,247,0,242,0,12,0,96,3,475,94,0,7,0,0,82,21,45
ASV000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,268,22425,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000009,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,41
ASV000010,0,0,0,0,0,0,1,12,0,6,23,2,0,0,93,15,0,0,20,53,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,91,0,0,0,112,0,52,27,29,0,0,10,0,0,0,0,0,4,0,0,58,16,0,96,22,64,0,0,0,0,79,0,3,17
ASV000011,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,16,2,0,0,1,0,0,0,0,0,1,0,0,68,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,14684,1,0,0,1,2,0,0,0,0,0
ASV000012,0,0,1,0,0,0,0,0,0,9,1,0,0,34,126,0,1,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,109,0,0,0,1984,94,0,0,15,0,0,0,0,132,130,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0
ASV000013,14,0,0,132,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,6,0,1,0,0,7,0,0,46,0,0,0,128,85,30,211,490,1924,58,221,637,1573,435,0,1566,77,376,189,0,623,108,352,218,835,286,34,12,1,72,19,0,0,207,102,2,713
ASV000014,0,0,0,225,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,934,121,65,0,381,2109,182,0,586,121,69,121,157,157,55,12,265,273,186,0,57,145,88,0,25,0,2,95,0,529
ASV000015,61,49,82,17,0,0,0,0,0,0,2,0,0,8,104,0,14,0,0,0,19,0,0,62,0,0,9,300,0,54,9,47,0,30,19,0,16,0,2,0,7,51,0,0,877,281,38,332,184,235,186,165,107,0,97,311,0,0,0,27,219,80,22,264,195,41,173,2,217,80,71,72,230,78,0,0,0,0,90,0,19
ASV000016,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,198,540,72,0,0,1030,168,126,10,1614,0,0,170,360,265,232,852,468,427,65,25,46,46,0,71,62,0,0,0,108,245
ASV000017,0,11,0,265,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,1111,207,0,0,364,2320,9,0,454,20,13,111,151,0,0,141,222,3,68,0,0,0,0,0,337,9,3,0,25,642
ASV000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,7,4,0,5044,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000019,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,3,0,0,0,10,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,263,0,0,0,16,664,87,83,0,3,0,0,0,27,0,0,0,0,0,44,0,76,2,26,0,0,9,0,1,0,9,0
ASV000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,67,0,54,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
ASV000021,211,25,19,3,0,40,0,8,0,0,4,0,0,0,13,31,0,0,0,0,0,0,0,0,123,14,0,65,26,0,0,0,0,0,0,49,0,0,124,0,0,99,0,0,283,491,0,56,0,184,83,0,0,51,0,0,0,116,31,95,0,0,94,0,278,0,82,3,0,36,35,0,376,0,0,0,0,178,62,0,103
ASV000022,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,31,0
ASV000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,87,65,0,403,0,393,0,0,0,829,839,756,0,199,0,0,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000024,27,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,105,0,0,0,512,0,0,6,0,143,0,2370,54,21,0,0,0,0,0,0,0,126,1,215
