sample,treatment
L0_7,LG
L0_8,LG
L0_9,LG
L1_7,LG
L8_9,LG
L9_7,LG
L10_7,LG
L10_8,LG
L10_9,LG
L13_7,LG
L14_8,LG
L14_9,LG
L17_8,LG
L17_9,LG
L19_8,LG
L20_7,LG
L20_8,LG
L20_9,LG
S16_4,SG
S16_5,SG
S16_6,SG
S17_4,SG
S17_5,SG
S17_6,SG
S18_4,SG
S18_5,SG
S18_6,SG
S19_4,SG
S19_5,SG
S19_6,SG
S20_4_4,SG
S20_4_5,SG
S20_4_6,SG
L0_B,LR
L1_B,LR
L8_B,LR
L9_B,LR
L10_B,LR
L11_B,LR
L12_B,LR
L13_B,LR
L14_B,LR
L18_B,LR
L20_B,LR
S16_A,SR
S17_A,SR
S20_4_A,SR
