# Constructed from biom file,,,,,,,,,,,,,,,,,,,
#OTU ID,ASV2603,ASV3283,ASV0783,ASV1664,ASV1930,ASV4837,ASV1777,ASV2131,ASV2752,ASV2607,ASV3269,ASV0048,ASV3829,ASV1346,ASV3609,ASV2490,ASV2531,ASV0825,ASV3113
557939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246274,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774740,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940662,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575067,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251381,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4419793,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1040796,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
866043,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1028542,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
808459,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
590482,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
812105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
630496,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
584392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4361763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
210236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
562115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
