Group,Average
Otu000001,17.92477166
Otu000002,12.88290194
Otu000003,4.261120763
Otu000004,4.786730066
Otu000005,3.504627894
Otu000006,0.0207735
Otu000007,4.541773809
Otu000008,0.523775841
Otu000009,1.922561311
Otu000010,1.972359697
Otu000011,1.705203241
Otu000012,1.587614647
Otu000013,1.618736586
Otu000014,0.891897415
Otu000015,1.271620165
Otu000016,0.93800026
Otu000017,0.526191373
Otu000018,0.786819718
Otu000019,0.548261454
Otu000020,0.574279604
Otu000021,0.473592143
Otu000022,0.814450831
Otu000023,0.361840799
Otu000024,0.385940679
Otu000025,0.421907379
Otu000026,0.404401914
Otu000027,0.550302828
Otu000028,0.350573428
Otu000029,0.50998551
Otu000030,0.404212538
Otu000031,0.318519507
Otu000032,0.369343189
Otu000033,0.26349245
Otu000034,0.462981713
Otu000035,0.272840477
Otu000036,0.276672178
Otu000037,0.262496055
Otu000038,0.424419279
Otu000039,0.356631478
Otu000040,0.167993564
Otu000041,0.279999728
Otu000042,0.149550134
Otu000043,0.293836159
Otu000044,0.312994414
Otu000045,0.302792259
Otu000046,0.373386029
Otu000047,0.243169848
Otu000048,0.307845314
Otu000049,0.498807811
Otu000050,0.104276883
Otu000051,0.222488183
Otu000052,0.331008815
Otu000053,0.285911591
Otu000054,0.171535445
Otu000055,0.244796709
Otu000056,0.259802414
Otu000057,0.196225418
Otu000058,0.149703992
Otu000059,0.19137638
Otu000060,0.204363692
Otu000061,0.257274791
Otu000062,0.150138946
Otu000063,0.131978355
Otu000064,0.270328897
Otu000065,0.146260741
Otu000066,0.188112688
Otu000067,0.026017934
Otu000068,0.155542132
Otu000069,0.158473369
Otu000070,0.153803967
Otu000071,0.169749214
Otu000072,0.104927849
Otu000073,0.130737199
Otu000074,0.125268824
Otu000075,0
Otu000076,0.122854044
Otu000077,0.151124091
Otu000078,0.142986139
Otu000079,0.251966677
Otu000080,0.136902197
Otu000081,0.080122418
Otu000082,0.142270381
Otu000083,0.132784537
Otu000084,0.150357376
Otu000085,0.016859307
Otu000086,0.070077072
Otu000087,0.219756102
Otu000088,0.08842266
Otu000089,0.018517999
Otu000090,0.143559204
Otu000091,0.158171215
Otu000092,0.08321133
Otu000093,0.077189334
Otu000094,0.000196841
Otu000095,0.139131737
Otu000096,0.031678176
Otu000097,0.016538362
Otu000098,0.101411329
Otu000099,0.248656712
Otu000100,0.05838215
Otu000101,0.017022699
Otu000102,0.126992693
Otu000103,0.122675957
Otu000104,0.175166656
Otu000105,0.13739944
Otu000106,0.090902533
Otu000107,0.12900289
Otu000108,0.132209138
Otu000109,0.087266619
Otu000110,0.081489979
Otu000111,0.013576412
Otu000112,0.053370004
Otu000113,0.060150847
Otu000114,0.018999179
Otu000115,0.015219453
Otu000116,0.092201484
Otu000117,0.1198693
Otu000118,0.058974798
Otu000119,0.088306045
Otu000120,0.118700718
Otu000121,0.067317869
Otu000122,0.097190008
Otu000123,0.102794609
Otu000124,0.089770637
Otu000125,0.085345586
Otu000126,0.127459142
Otu000127,0.045525922
Otu000128,0.054786867
Otu000129,0.076569978
Otu000130,0.046504592
Otu000131,0.082991628
Otu000132,0.075364515
Otu000133,0.179612099
Otu000134,0.091289208
Otu000135,0.021479385
Otu000136,0.006524153
Otu000137,0.044932957
Otu000138,0.04765087
Otu000139,0.075740052
Otu000140,0.055261708
Otu000141,0.074609845
Otu000142,0.01418756
Otu000143,0.035976393
Otu000144,0.086079427
Otu000145,0.045593696
Otu000146,0.07778519
Otu000147,0.083417972
Otu000148,0.035428065
Otu000149,0.050150918
Otu000150,0.048158916
Otu000151,0.070510227
Otu000152,0.051871944
Otu000153,0.058334704
Otu000154,0.008009552
Otu000155,0.05874565
Otu000156,0.033233876
Otu000157,0.140724553
Otu000158,0.06844861
Otu000159,0.010925918
Otu000160,0.07544303
Otu000161,0.055687844
Otu000162,0.058517615
Otu000163,0.000812763
Otu000164,0.060700961
Otu000165,0.221570652
Otu000166,0.093227317
Otu000167,0.031766846
Otu000168,0.047128473
Otu000169,0.028830147
Otu000170,0.044820864
Otu000171,0.0691358
Otu000172,0.051674131
Otu000173,0.059862397
Otu000174,0.048278532
Otu000175,0.168228187
Otu000176,0.016184049
Otu000177,0.02928418
Otu000178,0.063742892
Otu000179,0.11706351
Otu000180,0.028624027
Otu000181,0.009893978
Otu000182,0.030910684
Otu000183,0.060431832
Otu000184,0.045213553
Otu000185,0.03530714
Otu000186,0.000342864
Otu000187,0.007492834
Otu000188,0.05412612
Otu000189,0.043334969
Otu000190,0.041619009
Otu000191,0.213903327
Otu000192,0.038429813
Otu000193,0.005799678
Otu000194,0.049093891
Otu000195,0.051426868
Otu000196,0.006812491
Otu000197,0.046343434
Otu000198,0.047294499
Otu000199,0.125757881
Otu000200,0.012776166
Otu000201,0.081365707
Otu000202,0.065661762
Otu000203,0.004830135
Otu000204,0.06716028
Otu000205,0.026936821
