Gene,Sample,OTU,GeneCountPerGenome,OTUAbundanceInSample,CountContributedByOTU,ContributionPercentOfSample,ContributionPercentOfAllSamples,Kingdom,Phylum,Class,Order,Family,Genus,Species
K01183,Average,585394,3,0.000778497,0.002335491,0.000293086,0.000293086,,,,,,,
K01183,Average,918840,1,0.000606961,0.000606961,7.62E-05,7.62E-05,,,,,,,
K01183,Average,589071,2,0.000174595,0.00034919,4.38E-05,4.38E-05,,,,,,,
K01183,Average,1101451,1,0.001606501,0.001606501,0.000201603,0.000201603,,,,,,,
K01183,Average,210236,1,8.73E-05,8.73E-05,1.10E-05,1.10E-05,,,,,,,
K01183,Average,940348,1,0.000766554,0.000766554,9.62E-05,9.62E-05,,,,,,,
K01183,Average,892000,1,6.33E-05,6.33E-05,7.95E-06,7.95E-06,,,,,,,
K01183,Average,1012112,1,0.000312435,0.000312435,3.92E-05,3.92E-05,,,,,,,
K01183,Average,4416230,1,0.009337813,0.009337813,0.001171824,0.001171824,,,,,,,
K01183,Average,1052264,1,0.000569825,0.000569825,7.15E-05,7.15E-05,,,,,,,
K01183,Average,1051517,1,0.017178248,0.017178248,0.002155738,0.002155738,,,,,,,
K01183,Average,328043,3,0.002312604,0.006937812,0.000870642,0.000870642,,,,,,,
K01183,Average,1052435,1,8.73E-05,8.73E-05,1.10E-05,1.10E-05,,,,,,,
K01183,Average,781203,1,0.00062487,0.00062487,7.84E-05,7.84E-05,,,,,,,
K01183,Average,543740,2,0.000335661,0.000671322,8.42E-05,8.42E-05,,,,,,,
K01183,Average,287021,2,0.000165513,0.000331026,4.15E-05,4.15E-05,,,,,,,
K01183,Average,1081489,1,0.000249948,0.000249948,3.14E-05,3.14E-05,,,,,,,
K01183,Average,590482,1,0.625103493,0.625103493,0.078445672,0.078445672,,,,,,,
K01183,Average,741010,3,0.000641095,0.001923285,0.000241357,0.000241357,,,,,,,
K01183,Average,890516,2,6.33E-05,0.000126628,1.59E-05,1.59E-05,,,,,,,
K01183,Average,2252883,1,0.107152534,0.107152534,0.013446817,0.013446817,,,,,,,
K01183,Average,814909,1,0.001208994,0.001208994,0.000151719,0.000151719,,,,,,,
K01183,Average,966231,1,0.000176545,0.000176545,2.22E-05,2.22E-05,,,,,,,
K01183,Average,922761,1,0.007554427,0.007554427,0.000948022,0.000948022,,,,,,,
K01183,Average,512148,1,0.000303317,0.000303317,3.81E-05,3.81E-05,,,,,,,
K01183,Average,1010927,3,0.036864926,0.110594778,0.013878792,0.013878792,,,,,,,
K01183,Average,574051,1,0.002216208,0.002216208,0.000278117,0.000278117,,,,,,,
K01183,Average,585063,1,0.00034919,0.00034919,4.38E-05,4.38E-05,,,,,,,
K01183,Average,831409,1,0.001709475,0.001709475,0.000214526,0.000214526,,,,,,,
K01183,Average,514272,1,6.25E-05,6.25E-05,7.84E-06,7.84E-06,,,,,,,
K01183,Average,316869,3,0.012869749,0.038609247,0.004845163,0.004845163,,,,,,,
K01183,Average,331093,1,0.01924531,0.01924531,0.002415138,0.002415138,,,,,,,
K01183,Average,139292,1,0.003620167,0.003620167,0.000454303,0.000454303,,,,,,,
K01183,Average,325947,2,0.00291244,0.00582488,0.000730978,0.000730978,,,,,,,
K01183,Average,365496,1,0.00477081,0.00477081,0.0005987,0.0005987,,,,,,,
K03791,Average,554415,1,0.000369447,0.000369447,0.010318766,0.010318766,,,,,,,
K03791,Average,1124040,1,0.00034919,0.00034919,0.009752982,0.009752982,,,,,,,
K03791,Average,4327501,1,0.000946475,0.000946475,0.026435331,0.026435331,,,,,,,
K03791,Average,817734,2,0.000515682,0.001031364,0.028806307,0.028806307,,,,,,,
K03791,Average,818369,1,0.008962966,0.008962966,0.250338336,0.250338336,,,,,,,
K03791,Average,646549,1,0.002814132,0.002814132,0.078599553,0.078599553,,,,,,,
