Gene,Sample,OTU,GeneCountPerGenome,OTUAbundanceInSample,CountContributedByOTU,ContributionPercentOfSample,ContributionPercentOfAllSamples,Kingdom,Phylum,Class,Order,Family,Genus,Species
K03933,Average,817734,1,0.012214705,0.012214705,0.007644179,0.007644179,,,,,,,
K03933,Average,1111582,2,0.067135191,0.134270382,0.084028786,0.084028786,,,,,,,
K03933,Average,836783,1,0.003128497,0.003128497,0.001957869,0.001957869,,,,,,,
K03933,Average,1104592,1,0.000484581,0.000484581,0.000303259,0.000303259,,,,,,,
K03933,Average,622288,1,0.000203125,0.000203125,0.000127119,0.000127119,,,,,,,
K03933,Average,716006,1,0.001124278,0.001124278,0.000703593,0.000703593,,,,,,,
K03933,Average,646549,2,0.009617197,0.019234394,0.012037225,0.012037225,,,,,,,
K03933,Average,839235,1,0.007713785,0.007713785,0.004827423,0.004827423,,,,,,,
K03933,Average,797229,1,0.523775841,0.523775841,0.327788209,0.327788209,,,,,,,
K03933,Average,326605,1,0.015669871,0.015669871,0.009806483,0.009806483,,,,,,,
K03933,Average,545460,1,0.002252692,0.002252692,0.001409775,0.001409775,,,,,,,
K03933,Average,658224,1,0.000464786,0.000464786,0.000290871,0.000290871,,,,,,,
K03933,Average,236204,1,7.71E-05,7.71E-05,4.83E-05,4.83E-05,,,,,,,
K03933,Average,426919,1,0.000344472,0.000344472,0.000215577,0.000215577,,,,,,,
K03933,Average,1106130,4,0.000363095,0.00145238,0.000908925,0.000908925,,,,,,,
K03933,Average,877752,1,0.000333388,0.000333388,0.00020864,0.00020864,,,,,,,
K03933,Average,387744,1,4.80E-05,4.80E-05,3.00E-05,3.00E-05,,,,,,,
K03933,Average,624227,1,0.017022699,0.017022699,0.010653107,0.010653107,,,,,,,
K03933,Average,974121,2,0.004392247,0.008784494,0.005497492,0.005497492,,,,,,,
K03933,Average,152417,1,0.000181403,0.000181403,0.000113525,0.000113525,,,,,,,
K03933,Average,164660,2,0.000318602,0.000637204,0.000398774,0.000398774,,,,,,,
K03933,Average,939811,1,0.785430874,0.785430874,0.491536568,0.491536568,,,,,,,
K03933,Average,256215,1,0.000306896,0.000306896,0.000192061,0.000192061,,,,,,,
K03933,Average,410196,1,0.002351198,0.002351198,0.001471421,0.001471421,,,,,,,
