Gene,Sample,OTU,GeneCountPerGenome,OTUAbundanceInSample,CountContributedByOTU,ContributionPercentOfSample,ContributionPercentOfAllSamples,Kingdom,Phylum,Class,Order,Family,Genus,Species
K03933,Average,817734,1,0.001979761,0.001979761,0.000707376,0.000707376,,,,,,,
K03933,Average,1111582,2,0.028290672,0.056581344,0.020216739,0.020216739,,,,,,,
K03933,Average,1104592,1,0.000633202,0.000633202,0.000226246,0.000226246,,,,,,,
K03933,Average,716006,1,0.001606746,0.001606746,0.000574097,0.000574097,,,,,,,
K03933,Average,646549,2,0.006447868,0.012895736,0.004607698,0.004607698,,,,,,,
K03933,Average,839235,1,0.004392473,0.004392473,0.001569448,0.001569448,,,,,,,
K03933,Average,797229,1,0.642740323,0.642740323,0.229653674,0.229653674,,,,,,,
K03933,Average,545460,1,0.000925027,0.000925027,0.000330516,0.000330516,,,,,,,
K03933,Average,877752,1,0.001911423,0.001911423,0.000682959,0.000682959,,,,,,,
K03933,Average,624227,1,0.015353384,0.015353384,0.005485825,0.005485825,,,,,,,
K03933,Average,974121,2,0.001741305,0.00348261,0.00124435,0.00124435,,,,,,,
K03933,Average,939811,1,2.03856254,2.03856254,0.728386503,0.728386503,,,,,,,
K03933,Average,410196,1,0.000476497,0.000476497,0.000170254,0.000170254,,,,,,,
K03933,Average,585394,2,0.006971313,0.013942626,0.004981756,0.004981756,,,,,,,
K03933,Average,1065974,1,0.000952994,0.000952994,0.000340509,0.000340509,,,,,,,
K03933,Average,585063,1,0.001375676,0.001375676,0.000491535,0.000491535,,,,,,,
K03933,Average,331093,1,0.000925026,0.000925026,0.000330515,0.000330515,,,,,,,
K01183,Average,106281,1,0.00944872,0.00944872,0.00011676,0.00011676,,,,,,,
K01183,Average,820370,1,0.002097938,0.002097938,2.59E-05,2.59E-05,,,,,,,
K01183,Average,4432518,1,0.0015846,0.0015846,1.96E-05,1.96E-05,,,,,,,
K01183,Average,817734,1,0.001979761,0.001979761,2.45E-05,2.45E-05,,,,,,,
K01183,Average,1104592,1,0.000633202,0.000633202,7.82E-06,7.82E-06,,,,,,,
K01183,Average,823439,1,0.000422878,0.000422878,5.23E-06,5.23E-06,,,,,,,
K01183,Average,275246,3,21.48621989,64.45865966,0.79652857,0.79652857,,,,,,,
K01183,Average,913174,1,0.001293368,0.001293368,1.60E-05,1.60E-05,,,,,,,
K01183,Average,716006,1,0.001606746,0.001606746,1.99E-05,1.99E-05,,,,,,,
K01183,Average,646549,1,0.006447868,0.006447868,7.97E-05,7.97E-05,,,,,,,
K01183,Average,581409,2,0.002074334,0.004148668,5.13E-05,5.13E-05,,,,,,,
K01183,Average,746675,2,0.001394263,0.002788526,3.45E-05,3.45E-05,,,,,,,
K01183,Average,12457,1,0.001293368,0.001293368,1.60E-05,1.60E-05,,,,,,,
K01183,Average,807821,1,0.000646684,0.000646684,7.99E-06,7.99E-06,,,,,,,
K01183,Average,217732,1,5.192030749,5.192030749,0.064158964,0.064158964,,,,,,,
K01183,Average,839235,1,0.004392473,0.004392473,5.43E-05,5.43E-05,,,,,,,
K01183,Average,1033018,2,0.004957986,0.009915972,0.000122534,0.000122534,,,,,,,
K01183,Average,854050,1,0.001500074,0.001500074,1.85E-05,1.85E-05,,,,,,,
K01183,Average,797229,1,0.642740323,0.642740323,0.007942471,0.007942471,,,,,,,
K01183,Average,1074016,2,0.009530544,0.019061088,0.000235542,0.000235542,,,,,,,
K01183,Average,208171,3,0.316325078,0.948975234,0.011726677,0.011726677,,,,,,,
K01183,Average,352304,1,0.0001583,0.0001583,1.96E-06,1.96E-06,,,,,,,
K01183,Average,4481782,3,0.004335765,0.013007295,0.000160734,0.000160734,,,,,,,
K01183,Average,517156,1,0.001586196,0.001586196,1.96E-05,1.96E-05,,,,,,,
K01183,Average,875867,1,0.000612469,0.000612469,7.57E-06,7.57E-06,,,,,,,
K01183,Average,1106362,1,0.001905987,0.001905987,2.36E-05,2.36E-05,,,,,,,
K01183,Average,211089,1,0.000949803,0.000949803,1.17E-05,1.17E-05,,,,,,,
K01183,Average,643362,2,0.002177665,0.00435533,5.38E-05,5.38E-05,,,,,,,
K01183,Average,545460,1,0.000925027,0.000925027,1.14E-05,1.14E-05,,,,,,,
K01183,Average,773575,1,0.012495444,0.012495444,0.000154409,0.000154409,,,,,,,
K01183,Average,828667,1,0.000275136,0.000275136,3.40E-06,3.40E-06,,,,,,,
K01183,Average,4452842,1,0.001905988,0.001905988,2.36E-05,2.36E-05,,,,,,,
K01183,Average,359098,1,0.001439782,0.001439782,1.78E-05,1.78E-05,,,,,,,
K01183,Average,877752,1,0.001911423,0.001911423,2.36E-05,2.36E-05,,,,,,,
K01183,Average,589277,1,0.000476497,0.000476497,5.89E-06,5.89E-06,,,,,,,
K01183,Average,624227,1,0.015353384,0.015353384,0.000189725,0.000189725,,,,,,,
K01183,Average,1111517,1,0.000462513,0.000462513,5.72E-06,5.72E-06,,,,,,,
K01183,Average,974121,2,0.001741305,0.00348261,4.30E-05,4.30E-05,,,,,,,
K01183,Average,1080980,1,0.000476497,0.000476497,5.89E-06,5.89E-06,,,,,,,
K01183,Average,556915,1,0.000791502,0.000791502,9.78E-06,9.78E-06,,,,,,,
K01183,Average,220524,1,0.001267999,0.001267999,1.57E-05,1.57E-05,,,,,,,
K01183,Average,939811,3,2.03856254,6.11568762,0.075572777,0.075572777,,,,,,,
K01183,Average,4395040,1,0.000925027,0.000925027,1.14E-05,1.14E-05,,,,,,,
K01183,Average,410196,3,0.000476497,0.001429491,1.77E-05,1.77E-05,,,,,,,
K01183,Average,511866,1,0.000422878,0.000422878,5.23E-06,5.23E-06,,,,,,,
K01183,Average,585394,3,0.006971313,0.020913939,0.000258438,0.000258438,,,,,,,
K01183,Average,687206,1,0.000402285,0.000402285,4.97E-06,4.97E-06,,,,,,,
K01183,Average,589071,2,0.001100289,0.002200578,2.72E-05,2.72E-05,,,,,,,
