Group,Average
Otu000001,2.233552321
Otu000002,3.589362255
Otu000003,20.72990299
Otu000004,20.48153148
Otu000005,6.337085102
Otu000006,0
Otu000007,9.005094029
Otu000008,0.094295918
Otu000009,0.002367188
Otu000010,0.000929128
Otu000011,3.381120628
Otu000012,1.53408148
Otu000013,0
Otu000014,1.562966075
Otu000015,0.000844138
Otu000016,0
Otu000017,0.004664996
Otu000018,1.714501201
Otu000019,2.204280411
Otu000020,0
Otu000021,0.570242072
Otu000022,1.133912334
Otu000023,2.488608276
Otu000024,1.516637261
Otu000025,1.535492831
Otu000026,0.591962406
Otu000027,0.00110346
Otu000028,0.170427362
Otu000029,0.397227727
Otu000030,0.819688674
Otu000031,0.778089199
Otu000032,0
Otu000033,0.002592414
Otu000034,1.415225593
Otu000035,1.561871139
Otu000036,0.481045968
Otu000037,0.29782976
Otu000038,0
Otu000039,0.788518673
Otu000040,0.504156933
Otu000041,0.107054767
Otu000042,0.86365973
Otu000043,0.006968537
Otu000044,0.00072044
Otu000045,0
Otu000046,0.009374989
Otu000047,0.502721715
Otu000048,0
Otu000049,0.106530371
Otu000050,0.062405779
Otu000051,0.058899464
Otu000052,0.06599211
Otu000053,0
Otu000054,0
Otu000055,0.101869275
Otu000056,0
Otu000057,0.435618533
Otu000058,0.103467596
Otu000059,0.025340072
Otu000060,0.000131909
Otu000061,0
Otu000062,0
Otu000063,0
Otu000064,0.0035745
Otu000065,0.102077325
Otu000066,0.001107956
Otu000067,0.044383469
Otu000068,0.180382292
Otu000069,0.016717572
Otu000070,0
Otu000071,0
Otu000072,0.085214265
Otu000073,0.449605752
Otu000074,0.005856115
Otu000075,0
Otu000076,0.517663995
Otu000077,0.004984734
Otu000078,0
Otu000079,0
Otu000080,0.160277914
Otu000081,0
Otu000082,0.005743742
Otu000083,0
Otu000084,0.009605748
Otu000085,0.028365092
Otu000086,0
Otu000087,0
Otu000088,0.038484158
Otu000089,0.031453188
Otu000090,0.085517009
Otu000091,0
Otu000092,0.192732771
Otu000093,0
Otu000094,0
Otu000095,0
Otu000096,0.005675093
Otu000097,0.037588472
Otu000098,0.046349649
Otu000099,0.000727866
Otu000100,0
Otu000101,0.041314894
Otu000102,0.006716066
Otu000103,0.400699012
Otu000104,0.001886223
Otu000105,0.01168892
Otu000106,0.065265913
Otu000107,0.003506122
Otu000108,0
Otu000109,0.001688277
Otu000110,0.155281785
Otu000111,0.042418247
Otu000112,0
Otu000113,0.070085369
Otu000114,0.003957262
Otu000115,0.032666327
Otu000116,0.004187555
Otu000117,0
Otu000118,0
Otu000119,0
Otu000120,0.053264829
Otu000121,0
Otu000122,0
Otu000123,0
Otu000124,0
Otu000125,0.438499818
Otu000126,0.093084662
Otu000127,0
Otu000128,0.011054444
Otu000129,0.082574491
Otu000130,0
Otu000131,0.193858599
Otu000132,0
Otu000133,0
Otu000134,0.017235313
Otu000135,0.019596614
Otu000136,0.011787713
Otu000137,0.122248583
Otu000138,0.094952456
Otu000139,0
Otu000140,0.018300094
Otu000141,0.233315529
Otu000142,0.029477064
Otu000143,0
Otu000144,0
Otu000145,0.128848635
Otu000146,0.317164815
Otu000147,0.000761105
Otu000148,0.002206921
Otu000149,0.00234928
Otu000150,0.112756941
Otu000151,0.000844138
Otu000152,0.12480897
Otu000153,0
Otu000154,0.011060204
Otu000155,0
Otu000156,0
Otu000157,0
Otu000158,0
Otu000159,0.015339718
Otu000160,0.004824248
Otu000161,0
Otu000162,0.063265029
Otu000163,0.002162606
Otu000164,0
Otu000165,0
Otu000166,0.000976047
Otu000167,0
Otu000168,0.023745567
Otu000169,0.000791452
Otu000170,0.019620954
Otu000171,0.000270326
Otu000172,0.075271735
Otu000173,0
Otu000174,0.020812743
Otu000175,0
Otu000176,0.001450996
Otu000177,0
Otu000178,0
Otu000179,0
Otu000180,0
Otu000181,0.01107205
Otu000182,0.045742189
Otu000183,0
Otu000184,0
Otu000185,0.013541674
Otu000186,0.00105527
Otu000187,0.002551417
Otu000188,0
Otu000189,0
Otu000190,0.005176075
Otu000191,0
Otu000192,0.073711336
Otu000193,0.004134729
Otu000194,0
Otu000195,0.056637186
Otu000196,0.017789074
Otu000197,0.006358479
Otu000198,0
Otu000199,0.000131909
Otu000200,0.010970307
Otu000201,0
Otu000202,0
Otu000203,0.010778686
Otu000204,0
Otu000205,0.004066848
Otu000206,0
Otu000207,0.002901992
Otu000208,0.021248706
Otu000209,0.000263817
Otu000210,0.000131909
Otu000211,0
Otu000212,0.052144022
Otu000213,0
Otu000214,0
Otu000215,0
Otu000216,0
Otu000217,0
Otu000218,0
Otu000219,0
Otu000220,0.000844138
Otu000221,0
Otu000222,0
Otu000223,0.00395801
Otu000224,0
Otu000225,0
Otu000226,0
Otu000227,0.00745848
Otu000228,0.043776102
Otu000229,0.09344495
Otu000230,0.0015455
Otu000231,0
Otu000232,0.022171315
Otu000233,0
Otu000234,0
Otu000235,0.009420889
Otu000236,0
Otu000237,0.000844138
Otu000238,0.000628741
Otu000239,0
Otu000240,0.003297718
Otu000241,0.006109813
Otu000242,0.000131909
Otu000243,0.002485496
Otu000244,0.012338922
Otu000245,0.003252855
Otu000246,0
Otu000247,0.001538843
Otu000248,0.007449285
Otu000249,0
Otu000250,0
Otu000251,0.002934534
Otu000252,0
Otu000253,0.018768204
Otu000254,0.007370049
Otu000255,0.091397777
Otu000256,0.003473412
Otu000257,0
Otu000258,0
Otu000259,0
Otu000260,0
Otu000261,0.058925774
Otu000262,0
Otu000263,0
Otu000264,0.008865528
Otu000265,0.001582905
Otu000266,0
Otu000267,0.011527453
Otu000268,0
Otu000269,0
Otu000270,0
Otu000271,0.002233984
Otu000272,0.004788276
Otu000273,0.004946147
Otu000274,0.011784831
Otu000275,0
Otu000276,0
Otu000277,0
Otu000278,0.008652608
Otu000279,0.009790141
Otu000280,0.005849223
Otu000281,0.012069962
Otu000282,0
Otu000283,0
Otu000284,0
Otu000285,0.009537838
Otu000286,0
Otu000287,0.00036782
Otu000288,0.007656808
Otu000289,0
Otu000290,0.006653684
Otu000291,0.011470895
Otu000292,0.116648818
Otu000293,0
Otu000294,0.004509157
Otu000295,0.002273365
Otu000296,0.004352484
Otu000297,0.004398987
Otu000298,0.007861529
Otu000299,0.000844138
Otu000300,0
Otu000301,0.001911683
Otu000302,0
Otu000303,0.004754198
Otu000304,0
Otu000305,0
Otu000306,0
Otu000307,0.000891568
Otu000308,0
Otu000309,0.012914234
Otu000310,0
Otu000311,0.017099109
Otu000312,0
Otu000313,0
Otu000314,0
Otu000315,0.004718417
Otu000316,0
Otu000317,0.002532415
Otu000318,0.012393076
Otu000319,0.034344184
Otu000320,0.001886223
Otu000321,0.017170617
Otu000322,0
Otu000323,0.002255465
Otu000324,0.004783316
Otu000325,0.003928391
Otu000326,0.012587005
Otu000327,0.028633136
Otu000328,0
Otu000329,0
Otu000330,0.00609556
Otu000331,0.008907356
Otu000332,0
Otu000333,0.008126051
Otu000334,0.014101549
Otu000335,0.035036219
Otu000336,0
Otu000337,0
Otu000338,0.002318545
Otu000339,0
Otu000340,0.003492457
Otu000341,0.031960056
Otu000342,0.007525305
Otu000343,0.016193057
Otu000344,0
Otu000345,0
Otu000346,0.046901542
Otu000347,0
Otu000348,0
Otu000349,0.003194037
Otu000350,0.006206967
Otu000351,0
Otu000352,0
Otu000353,0
Otu000354,0
Otu000355,0.053831024
Otu000356,0.006338127
Otu000357,0.000797219
Otu000358,0
Otu000359,0
Otu000360,0
Otu000361,0.013590473
Otu000362,0
Otu000363,0
Otu000364,0.040071229
Otu000365,0
Otu000366,0
Otu000367,0.006243495
Otu000368,0
Otu000369,0
Otu000370,0
Otu000371,0.004096994
Otu000372,0.001864565
Otu000373,0
Otu000374,0.001652672
Otu000375,0
Otu000376,0
Otu000377,0.003431251
Otu000378,0.001187178
Otu000379,0
Otu000380,0
Otu000381,0
Otu000382,0.002477247
Otu000383,0
Otu000384,0
Otu000385,0.006502071
Otu000386,0.002911462
Otu000387,0.000761105
Otu000388,0
Otu000389,0
Otu000390,0.005328416
Otu000391,0
Otu000392,0.008777923
Otu000393,0.004865864
Otu000394,0
Otu000395,0
Otu000396,0
Otu000397,0.001595921
Otu000398,0
Otu000399,0
Otu000400,0.001594439
Otu000401,0
Otu000402,0
Otu000403,0.014521944
Otu000404,0.004325213
Otu000405,0
Otu000406,0
Otu000407,0.006666649
Otu000408,0
Otu000409,0
Otu000410,0.008222589
Otu000411,0.000810977
Otu000412,0
Otu000413,0
Otu000414,0
Otu000415,0
Otu000416,0
Otu000417,0
Otu000418,0
Otu000419,0
Otu000420,0.003534999
Otu000421,0.06331082
Otu000422,0.008778008
Otu000423,0.008705747
Otu000424,0
Otu000425,0
Otu000426,0
Otu000427,0
Otu000428,0.000270326
Otu000429,0.00110346
Otu000430,0
Otu000431,0.003672985
Otu000432,0
Otu000433,0.00073564
Otu000434,0.005822925
Otu000435,0
Otu000436,0.000761105
Otu000437,0
Otu000438,0
Otu000439,0
Otu000440,0
Otu000441,0.008226113
Otu000442,0
Otu000443,0
