Group,Average
Otu000001,5.258978444
Otu000002,10.63972202
Otu000003,6.193150917
Otu000004,10.73520013
Otu000005,12.53647278
Otu000006,0
Otu000007,11.46413611
Otu000008,0.642740323
Otu000009,0.003966659
Otu000010,0.007500398
Otu000011,7.827254294
Otu000012,1.476280275
Otu000013,0.098590101
Otu000014,1.339278234
Otu000015,0.000675311
Otu000016,0
Otu000017,0.006707692
Otu000018,2.229931915
Otu000019,1.012595578
Otu000020,0
Otu000021,0.421746706
Otu000022,1.552807308
Otu000023,0.13668542
Otu000024,1.017836
Otu000025,0.119627593
Otu000026,1.531080239
Otu000027,0.000877193
Otu000028,0.297715171
Otu000029,0.405318471
Otu000030,1.874779402
Otu000031,1.136935924
Otu000032,0.007041799
Otu000033,0.02100388
Otu000034,2.052203808
Otu000035,0.560749377
Otu000036,0.697851343
Otu000037,0.379750964
Otu000038,0.001099416
Otu000039,1.368827366
Otu000040,0.065994113
Otu000041,0.38170658
Otu000042,0.184336852
Otu000043,0.021734011
Otu000044,0.118741374
Otu000045,0.000646684
Otu000046,0.036318421
Otu000047,0.795811435
Otu000048,0.008974254
Otu000049,0.290557025
Otu000050,0.044951723
Otu000051,0.2748702
Otu000052,0.103299454
Otu000053,0.001523877
Otu000054,0.017191161
Otu000055,0.29761838
Otu000056,0.000697131
Otu000057,0.572453724
Otu000058,0.294870093
Otu000059,0.083319141
Otu000060,0
Otu000061,0.003921706
Otu000062,0
Otu000063,0
Otu000064,0.003336097
Otu000065,0.215785423
Otu000066,0.001454425
Otu000067,0.02103224
Otu000068,0.25348374
Otu000069,0.156820716
Otu000070,0.000422878
Otu000071,0.009859527
Otu000072,0.159647722
Otu000073,0.419573255
Otu000074,0.035235675
Otu000075,0
Otu000076,0.341565161
Otu000077,0.057300341
Otu000078,0.010583544
Otu000079,0
Otu000080,0.302913269
Otu000081,0
Otu000082,0.030020282
Otu000083,0
Otu000084,0.033255031
Otu000085,0.007553147
Otu000086,0.00316601
Otu000087,0
Otu000088,0.020239107
Otu000089,0.01256693
Otu000090,0.122265133
Otu000091,0
Otu000092,0.180876618
Otu000093,0.015320144
Otu000094,0
Otu000095,0
Otu000096,0.001943944
Otu000097,0.004911792
Otu000098,0.048204597
Otu000099,0
Otu000100,0
Otu000101,0.015353384
Otu000102,0.018608381
Otu000103,0.511560353
Otu000104,0.002419725
Otu000105,0.063251091
Otu000106,0.187327186
Otu000107,0.003149222
Otu000108,0
Otu000109,0.003065938
Otu000110,0.280162994
Otu000111,0.010360558
Otu000112,0
Otu000113,0.062081068
Otu000114,0.001500074
Otu000115,0.008514942
Otu000116,0.062073674
Otu000117,0
Otu000118,0.007379208
Otu000119,0
Otu000120,0.094682871
Otu000121,0.003760613
Otu000122,0.000697131
Otu000123,0.000697131
Otu000124,0.005906692
Otu000125,0.378941116
Otu000126,0.106586369
Otu000127,0
Otu000128,0.008071347
Otu000129,0.330410747
Otu000130,0.000646684
Otu000131,0.303046839
Otu000132,0.000646684
Otu000133,0.008108838
Otu000134,0.033231974
Otu000135,0.003594767
Otu000136,0.010309983
Otu000137,0.114330416
Otu000138,0.057031268
Otu000139,0.012505181
Otu000140,0.094236303
Otu000141,0.160653129
Otu000142,0.010130088
Otu000143,0.001847483
Otu000144,0.003880105
Otu000145,0.092141183
Otu000146,0.332134615
Otu000147,0.000402285
Otu000148,0.000462513
Otu000149,0.032569935
Otu000150,0.095136702
Otu000151,0.010430317
Otu000152,0.175699935
Otu000153,0
Otu000154,0.003987004
Otu000155,0
Otu000156,0
Otu000157,0.00944872
Otu000158,0
Otu000159,0.003655574
Otu000160,0.001779782
Otu000161,0.000474901
Otu000162,0.145994887
Otu000163,0
Otu000164,0
Otu000165,0
Otu000166,0.012332622
Otu000167,0
Otu000168,0.027723212
Otu000169,0
Otu000170,0.050709772
Otu000171,0
Otu000172,0.075983868
Otu000173,0
Otu000174,0.023270183
Otu000175,0
Otu000176,0
Otu000177,0
Otu000178,0
Otu000179,0
Otu000180,0
Otu000181,0.002554323
Otu000182,0.119904942
Otu000183,0
Otu000184,0
Otu000185,0.057984385
Otu000186,0
Otu000187,0.002062692
Otu000188,0.00940653
Otu000189,0
Otu000190,0.011165934
Otu000191,0
Otu000192,0.025389418
Otu000193,0.001774591
Otu000194,0
Otu000195,0.076589463
Otu000196,0.005058219
Otu000197,0.007204753
Otu000198,0.000402285
Otu000199,0
Otu000200,0.003984444
Otu000201,0.001109197
Otu000202,0
Otu000203,0.004608864
Otu000204,0
Otu000205,0.000462513
Otu000206,0
Otu000207,0.003211403
Otu000208,0.004366618
Otu000209,0.000137568
Otu000210,0.002166916
Otu000211,0.000804985
Otu000212,0.057027999
Otu000213,0
Otu000214,0
Otu000215,0.001352088
Otu000216,0
Otu000217,0
Otu000218,0
Otu000219,0
Otu000220,0.004639806
Otu000221,0
Otu000222,0.00943002
Otu000223,0.002320136
Otu000224,0
Otu000225,0.002034224
Otu000226,0
Otu000227,0.002301891
Otu000228,0.03796864
Otu000229,0.051687385
Otu000230,0.011982098
Otu000231,0.006315169
Otu000232,0.120418788
Otu000233,0
Otu000234,0
Otu000235,0.001533594
Otu000236,0
Otu000237,0.008740887
Otu000238,0.009534399
Otu000239,0
Otu000240,0.001254016
Otu000241,0.003043304
Otu000242,0.004821692
Otu000243,0.003333094
Otu000244,0.011566072
Otu000245,0.014888534
Otu000246,0
Otu000247,0.000952994
Otu000248,0.003423571
Otu000249,0
Otu000250,0.000697131
Otu000251,0.000825406
Otu000252,0
Otu000253,0.002340533
Otu000254,0.004711349
Otu000255,0.120129703
Otu000256,0.002050623
Otu000257,0
Otu000258,0
Otu000259,0
Otu000260,0
Otu000261,0.075205558
Otu000262,0.000697131
Otu000263,0.012511101
Otu000264,0.003031201
Otu000265,0.008780369
Otu000266,0
Otu000267,0.001108103
Otu000268,0
Otu000269,0
Otu000270,0
Otu000271,0.009857048
Otu000272,0.00142949
Otu000273,0.002225097
Otu000274,0.020953663
Otu000275,0
Otu000276,0.002738078
Otu000277,0
Otu000278,0.003435373
Otu000279,0
Otu000280,0.005972519
Otu000281,0.042073652
Otu000282,0
Otu000283,0
Otu000284,0
Otu000285,0.002139134
Otu000286,0
Otu000287,0
Otu000288,0.029582938
Otu000289,0
Otu000290,0.003433702
Otu000291,0.039464908
Otu000292,0.097017499
Otu000293,0
Otu000294,0.001427895
Otu000295,0.004837742
Otu000296,0.005576092
Otu000297,0.001120009
Otu000298,0.004222648
Otu000299,0.00748346
Otu000300,0.006102672
Otu000301,0.005155935
Otu000302,0
Otu000303,0.00201009
Otu000304,0
Otu000305,0
Otu000306,0
Otu000307,0.004442619
Otu000308,0
Otu000309,0.000476497
Otu000310,0
Otu000311,0.048598269
Otu000312,0.002127309
Otu000313,0.011686881
Otu000314,0
Otu000315,0.003145736
Otu000316,0.000646684
Otu000317,0.004462441
Otu000318,0.001293368
Otu000319,0.036482768
Otu000320,0.009359958
Otu000321,0.050550721
Otu000322,0
Otu000323,0.002942735
Otu000324,0.006860429
Otu000325,0.002263281
Otu000326,0
Otu000327,0.013217309
Otu000328,0
Otu000329,0.000646684
Otu000330,0.010437272
Otu000331,0.002905257
Otu000332,0
Otu000333,0
Otu000334,0.021925425
Otu000335,0.056310586
Otu000336,0.004392473
Otu000337,0
Otu000338,0.001375871
Otu000339,0
Otu000340,0.007187362
Otu000341,0.018065131
Otu000342,0.000885391
Otu000343,0.022081806
