Group,Average
Otu000001,23.91617527
Otu000002,18.06087848
Otu000003,0.258563289
Otu000004,0.702718881
Otu000005,2.107827878
Otu000006,0.035714396
Otu000007,4.098034102
Otu000008,0.507421379
Otu000009,0.012475722
Otu000010,2.81806685
Otu000011,0.097692746
Otu000012,0.656509963
Otu000013,3.07745448
Otu000014,0.372001953
Otu000015,2.353491139
Otu000016,0.005592285
Otu000017,0.004801521
Otu000018,0.613132904
Otu000019,0.171507574
Otu000020,0.222617014
Otu000021,0.103359783
Otu000022,1.01996014
Otu000023,0.002161542
Otu000024,0.075126707
Otu000025,0.008860499
Otu000026,0.114217219
Otu000027,0.021196235
Otu000028,0.625437249
Otu000029,0.917990548
Otu000030,0.026234754
Otu000031,0.121086949
Otu000032,0.710761045
Otu000033,0.229149539
Otu000034,0.137130071
Otu000035,0.018432463
Otu000036,0.249539154
Otu000037,0.10557684
Otu000038,0.083781544
Otu000039,0.067743075
Otu000040,0.000165513
Otu000041,0.498902262
Otu000042,0.004762476
Otu000043,0.4438909
Otu000044,0.588564422
Otu000045,0.447942483
Otu000046,0.764839954
Otu000047,0.133998813
Otu000048,0.625103493
Otu000049,0.886538177
Otu000050,0.112136723
Otu000051,0.400980727
Otu000052,0.356604678
Otu000053,0.458297154
Otu000054,0.346273231
Otu000055,0.16597197
Otu000056,0
Otu000057,0.148882927
Otu000058,0.194993835
Otu000059,0.310594927
Otu000060,0.290565389
Otu000061,0.577455766
Otu000062,0.014872182
Otu000063,0.03648383
Otu000064,0.177113816
Otu000065,0.170234115
Otu000066,0.265760904
Otu000067,0.003269962
Otu000068,0.081932032
Otu000069,0.232004265
Otu000070,0.347915737
Otu000071,0.228616539
Otu000072,0.044696742
Otu000073,0.007006557
Otu000074,0.200858515
Otu000075,0
Otu000076,0.006406377
Otu000077,0.312726884
Otu000078,0.321369834
Otu000079,0.22018334
Otu000080,0.161567726
Otu000081,0
Otu000082,0.218659955
Otu000083,0.288474044
Otu000084,0.109986919
Otu000085,0.008206186
Otu000086,0.001249741
Otu000087,0.148266753
Otu000088,0.069059145
Otu000089,0.001175415
Otu000090,0.263110029
Otu000091,0.356771891
Otu000092,0.056821812
Otu000093,0.135628898
Otu000094,0
Otu000095,0.00485276
Otu000096,0.026991512
Otu000097,0.001161521
Otu000098,0.106267617
Otu000099,0.197537491
Otu000100,0.000184181
Otu000101,0.001549044
Otu000102,0.253847164
Otu000103,0.043555176
Otu000104,0.383926222
Otu000105,0.273921519
Otu000106,0.133403851
Otu000107,0.176466646
Otu000108,0.000141058
