Gene,Sample,OTU,GeneCountPerGenome,OTUAbundanceInSample,CountContributedByOTU,ContributionPercentOfSample,ContributionPercentOfAllSamples,Kingdom,Phylum,Class,Order,Family,Genus,Species
K01183,Average,574742,1,0.002393882,0.002393882,1.58E-05,1.58E-05,,,,,,,
K01183,Average,364538,1,0.001978631,0.001978631,1.31E-05,1.31E-05,,,,,,,
K01183,Average,624227,1,0.041314894,0.041314894,0.000272537,0.000272537,,,,,,,
K01183,Average,1111517,1,0.00254753,0.00254753,1.68E-05,1.68E-05,,,,,,,
K01183,Average,974121,2,0.003926915,0.00785383,5.18E-05,5.18E-05,,,,,,,
K01183,Average,854368,1,0.000270326,0.000270326,1.78E-06,1.78E-06,,,,,,,
K01183,Average,164660,2,0.002283314,0.004566628,3.01E-05,3.01E-05,,,,,,,
K01183,Average,975335,1,0.002086152,0.002086152,1.38E-05,1.38E-05,,,,,,,
K01183,Average,571698,1,0.002770083,0.002770083,1.83E-05,1.83E-05,,,,,,,
K01183,Average,939811,3,3.033274522,9.099823566,0.060027732,0.060027732,,,,,,,
K01183,Average,4395040,1,0.000727866,0.000727866,4.80E-06,4.80E-06,,,,,,,
K01183,Average,410196,3,0.001839101,0.005517303,3.64E-05,3.64E-05,,,,,,,
K01183,Average,290401,1,0.003297718,0.003297718,2.18E-05,2.18E-05,,,,,,,
K01183,Average,511866,1,0.001187178,0.001187178,7.83E-06,7.83E-06,,,,,,,
K01183,Average,585394,3,0.001290216,0.003870648,2.55E-05,2.55E-05,,,,,,,
K01183,Average,589071,2,0.010923895,0.02184779,0.000144121,0.000144121,,,,,,,
K01183,Average,2224797,1,0.00148897,0.00148897,9.82E-06,9.82E-06,,,,,,,
K01183,Average,2297613,1,0.000131909,0.000131909,8.70E-07,8.70E-07,,,,,,,
K01183,Average,1052264,1,0.001351629,0.001351629,8.92E-06,8.92E-06,,,,,,,
K01183,Average,1051517,1,0.000810978,0.000810978,5.35E-06,5.35E-06,,,,,,,
K01183,Average,1025153,1,0.001351629,0.001351629,8.92E-06,8.92E-06,,,,,,,
K01183,Average,887484,1,0.006614377,0.006614377,4.36E-05,4.36E-05,,,,,,,
K01183,Average,287021,2,0.000363933,0.000727866,4.80E-06,4.80E-06,,,,,,,
K01183,Average,741010,3,0.007525305,0.022575915,0.000148924,0.000148924,,,,,,,
K01183,Average,745482,1,0.001351629,0.001351629,8.92E-06,8.92E-06,,,,,,,
K01183,Average,1129515,1,0.001892281,0.001892281,1.25E-05,1.25E-05,,,,,,,
K01183,Average,561830,1,0.001091798,0.001091798,7.20E-06,7.20E-06,,,,,,,
K01183,Average,592139,1,0.002679438,0.002679438,1.77E-05,1.77E-05,,,,,,,
K01183,Average,814909,1,0.006414146,0.006414146,4.23E-05,4.23E-05,,,,,,,
K01183,Average,577170,1,0.002770083,0.002770083,1.83E-05,1.83E-05,,,,,,,
K01183,Average,525816,1,0.00036782,0.00036782,2.43E-06,2.43E-06,,,,,,,
K01183,Average,922761,1,0.002638175,0.002638175,1.74E-05,1.74E-05,,,,,,,
K01183,Average,592129,1,0.000363933,0.000363933,2.40E-06,2.40E-06,,,,,,,
K01183,Average,765455,1,0.00547658,0.00547658,3.61E-05,3.61E-05,,,,,,,
K01183,Average,966091,2,0.00036782,0.00073564,4.85E-06,4.85E-06,,,,,,,
K01183,Average,917443,1,0.000270326,0.000270326,1.78E-06,1.78E-06,,,,,,,
K01183,Average,851567,1,0.001846722,0.001846722,1.22E-05,1.22E-05,,,,,,,
K01183,Average,1010927,3,3.123742278,9.371226834,0.061818066,0.061818066,,,,,,,
K01183,Average,585063,1,0.002093209,0.002093209,1.38E-05,1.38E-05,,,,,,,
K01183,Average,310558,1,0.005822925,0.005822925,3.84E-05,3.84E-05,,,,,,,
K01183,Average,1074625,1,0.008732543,0.008732543,5.76E-05,5.76E-05,,,,,,,
K01183,Average,514272,1,0.00117491,0.00117491,7.75E-06,7.75E-06,,,,,,,
K01183,Average,906197,1,0.000810977,0.000810977,5.35E-06,5.35E-06,,,,,,,
K01183,Average,331093,1,0.002901992,0.002901992,1.91E-05,1.91E-05,,,,,,,
K01183,Average,139292,1,0.00152221,0.00152221,1.00E-05,1.00E-05,,,,,,,
K01183,Average,325947,2,0.001178798,0.002357596,1.56E-05,1.56E-05,,,,,,,
K03791,Average,830893,2,0.001440881,0.002881762,0.030942356,0.030942356,,,,,,,
K03791,Average,1124040,1,0.00964504,0.00964504,0.10356173,0.10356173,,,,,,,
K03791,Average,817734,2,0.001864565,0.00372913,0.040040804,0.040040804,,,,,,,
K03791,Average,219331,2,0.001522209,0.003044418,0.032688843,0.032688843,,,,,,,
K03791,Average,646549,1,0.008295113,0.008295113,0.089067153,0.089067153,,,,,,,
K03791,Average,581409,1,0.007833636,0.007833636,0.084112134,0.084112134,,,,,,,
K03791,Average,813980,2,0.001746839,0.003493678,0.037512684,0.037512684,,,,,,,
K03791,Average,1033018,1,0.010920649,0.010920649,0.117258332,0.117258332,,,,,,,
K03791,Average,1074016,1,0.007721918,0.007721918,0.082912584,0.082912584,,,,,,,
K03791,Average,974121,1,0.003926915,0.003926915,0.042164482,0.042164482,,,,,,,
K03791,Average,164660,1,0.002283314,0.002283314,0.024516637,0.024516637,,,,,,,
K03791,Average,2111163,1,0.009420889,0.009420889,0.101154953,0.101154953,,,,,,,
K03791,Average,964989,1,0.003825353,0.003825353,0.04107398,0.04107398,,,,,,,
K03791,Average,562576,1,0.000131909,0.000131909,0.001416347,0.001416347,,,,,,,
K03791,Average,541859,1,0.00655079,0.00655079,0.070337826,0.070337826,,,,,,,
K03791,Average,1129515,1,0.001892281,0.001892281,0.020317997,0.020317997,,,,,,,
K03791,Average,922761,1,0.002638175,0.002638175,0.028326888,0.028326888,,,,,,,
K03791,Average,794948,1,0.001081303,0.001081303,0.011610279,0.011610279,,,,,,,
K03791,Average,1088647,1,0.002638174,0.002638174,0.028326877,0.028326877,,,,,,,
K03791,Average,325947,1,0.001178798,0.001178798,0.012657113,0.012657113,,,,,,,
K01452,Average,593437,1,0.014455906,0.014455906,0.001699509,0.001699509,,,,,,,
K01452,Average,773900,1,0.205688504,0.205688504,0.02418177,0.02418177,,,,,,,
K01452,Average,579705,1,0.004467968,0.004467968,0.000525277,0.000525277,,,,,,,
K01452,Average,1108289,1,0.000761105,0.000761105,8.95E-05,8.95E-05,,,,,,,
K01452,Average,228207,1,0.003172318,0.003172318,0.000372954,0.000372954,,,,,,,
K01452,Average,91845,1,0.001257482,0.001257482,0.000147836,0.000147836,,,,,,,
K01452,Average,722628,1,0.013937074,0.013937074,0.001638512,0.001638512,,,,,,,
K01452,Average,622288,1,0.001455731,0.001455731,0.000171143,0.000171143,,,,,,,
K01452,Average,822584,1,0.003729973,0.003729973,0.000438514,0.000438514,,,,,,,
K01452,Average,555568,1,0.00072044,0.00072044,8.47E-05,8.47E-05,,,,,,,
K01452,Average,705967,1,0.09149026,0.09149026,0.010756053,0.010756053,,,,,,,
K01452,Average,1087462,1,0.006595436,0.006595436,0.000775392,0.000775392,,,,,,,
K01452,Average,326605,1,0.00073564,0.00073564,8.65E-05,8.65E-05,,,,,,,
K01452,Average,188150,1,0.032386114,0.032386114,0.003807474,0.003807474,,,,,,,
K01452,Average,217239,1,0.003376554,0.003376554,0.000396965,0.000396965,,,,,,,
K01452,Average,1097359,1,0.00631686,0.00631686,0.000742642,0.000742642,,,,,,,
K01452,Average,936354,1,0.009436834,0.009436834,0.001109441,0.001109441,,,,,,,
K01452,Average,769643,1,0.005540166,0.005540166,0.00065133,0.00065133,,,,,,,
K01452,Average,238484,1,0.000810977,0.000810977,9.53E-05,9.53E-05,,,,,,,
K01452,Average,580625,1,0.000791452,0.000791452,9.30E-05,9.30E-05,,,,,,,
K01452,Average,208315,1,0.000270326,0.000270326,3.18E-05,3.18E-05,,,,,,,
K01452,Average,939811,1,3.033274522,3.033274522,0.35660694,0.35660694,,,,,,,
K01452,Average,256215,1,0.001081303,0.001081303,0.000127123,0.000127123,,,,,,,
K01452,Average,512485,1,0.00073564,0.00073564,8.65E-05,8.65E-05,,,,,,,
K01452,Average,225487,1,0.010554051,0.010554051,0.001240787,0.001240787,,,,,,,
K01452,Average,683891,1,0.003971776,0.003971776,0.000466942,0.000466942,,,,,,,
K01452,Average,1848083,1,0.008193988,0.008193988,0.000963326,0.000963326,,,,,,,
K01452,Average,568345,1,4.535319932,4.535319932,0.53319492,0.53319492,,,,,,,
K01452,Average,779725,1,0.000131909,0.000131909,1.55E-05,1.55E-05,,,,,,,
K01452,Average,813945,1,0.002770083,0.002770083,0.000325665,0.000325665,,,,,,,
K01452,Average,192970,1,0.00073564,0.00073564,8.65E-05,8.65E-05,,,,,,,
K01452,Average,1011088,1,0.495099356,0.495099356,0.058206359,0.058206359,,,,,,,
K01452,Average,582083,1,0.005822924,0.005822924,0.000684572,0.000684572,,,,,,,
K01452,Average,804175,1,0.000844138,0.000844138,9.92E-05,9.92E-05,,,,,,,
