#Sample	Metric	Value
L0_7	Weighted NSTI	0.55602
L0_8	Weighted NSTI	nan
L0_9	Weighted NSTI	0.55602
L0_B	Weighted NSTI	nan
L10_7	Weighted NSTI	0.56055820513
L10_8	Weighted NSTI	0.561383333286
L10_9	Weighted NSTI	0.56119178572
L10_B	Weighted NSTI	0.55602
L11_7	Weighted NSTI	0.557257692288
L11_8	Weighted NSTI	0.558719664433
L11_9	Weighted NSTI	0.56336543481
L11_B	Weighted NSTI	0.55602
L12_7	Weighted NSTI	0.558165333333
L12_9	Weighted NSTI	nan
L12_B	Weighted NSTI	0.55602
L13_7	Weighted NSTI	0.5585340625
L13_8	Weighted NSTI	0.55836320389
L13_9	Weighted NSTI	0.559237999993
L13_B	Weighted NSTI	0.557807777778
L14_7	Weighted NSTI	0.558433499999
L14_8	Weighted NSTI	0.559595555556
L14_9	Weighted NSTI	0.558386176474
L14_B	Weighted NSTI	0.55602
L16_9	Weighted NSTI	0.559238000056
L16_B	Weighted NSTI	0.55602
L1_7	Weighted NSTI	0.558945454554
L17_8	Weighted NSTI	0.562972338739
L17_9	Weighted NSTI	0.559238000015
L1_8	Weighted NSTI	0.558701666697
L18_9	Weighted NSTI	0.568557662297
L18_B	Weighted NSTI	0.55602
L1_9	Weighted NSTI	0.559238000007
L19_8	Weighted NSTI	0.559237999962
L19_B	Weighted NSTI	0.55602
L1_B	Weighted NSTI	0.57211
L20_7	Weighted NSTI	0.55602
L20_8	Weighted NSTI	0.566746666871
L20_9	Weighted NSTI	0.558031249886
L20_B	Weighted NSTI	0.62762142808
L2_B	Weighted NSTI	0.55602
L3_7	Weighted NSTI	0.55602
L3_B	Weighted NSTI	nan
L4_7	Weighted NSTI	0.562123103413
L4_8	Weighted NSTI	0.561383333333
L4_9	Weighted NSTI	0.559328224329
L5_B	Weighted NSTI	nan
L6_7	Weighted NSTI	nan
L6_B	Weighted NSTI	0.72309
L8_9	Weighted NSTI	0.57211
L8_B	Weighted NSTI	0.5600425
L9_7	Weighted NSTI	0.562456000183
L9_8	Weighted NSTI	0.55602
L9_9	Weighted NSTI	0.660438751732
L9_B	Weighted NSTI	0.55602
S16_4	Weighted NSTI	0.568892000186
S16_5	Weighted NSTI	0.561383333333
S16_A	Weighted NSTI	nan
S17_4	Weighted NSTI	0.55602
S17_5	Weighted NSTI	nan
S17_6	Weighted NSTI	nan
S17_A	Weighted NSTI	nan
S18_4	Weighted NSTI	nan
S18_5	Weighted NSTI	nan
S18_6	Weighted NSTI	nan
S18_A	Weighted NSTI	nan
S19_4	Weighted NSTI	nan
S19_5	Weighted NSTI	nan
S19_6	Weighted NSTI	nan
S19_A	Weighted NSTI	nan
S20_1_4	Weighted NSTI	0.57211
S20_1_5	Weighted NSTI	nan
S20_1_6	Weighted NSTI	nan
S20_1_A	Weighted NSTI	nan
S20_2_4	Weighted NSTI	nan
S20_2_5	Weighted NSTI	nan
S20_2_6	Weighted NSTI	nan
S20_2_A	Weighted NSTI	nan
S20_3_4	Weighted NSTI	nan
S20_3_5	Weighted NSTI	nan
S20_3_6	Weighted NSTI	nan
S20_3_A	Weighted NSTI	nan
S20_4_4	Weighted NSTI	nan
S20_4_5	Weighted NSTI	nan
S20_4_6	Weighted NSTI	nan
S20_4_A	Weighted NSTI	0.62271
S16_6	Weighted NSTI	0.57211
