# Constructed from biom file
#OTU ID	ASV1546	ASV3611	ASV3898	ASV3897	ASV0242	ASV0284	ASV0201	ASV0262	ASV1654	ASV3913
356606	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
845502	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
964300	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3401140	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
621037	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
237452	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
3278095	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
424016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
