Group,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Control,Control,Control
ASV000001,96.77423738,68.24274806,78.66462011,94.26627794,90.12483639,10.21209741,86.06971303,49.62381711,40.6870229,45.17329218,13.41093846,1.098997146,4.719465578,2.278338962,13.01092716,95.10146561,33.30367673,87.38276411,98.06649396,96.65562282,96.65033497,96.13784201,99.24163976,98.12041143,80.98280098,19.10588612,21.10049322,13.08941148,13.82440476,0.294011318,0,1.372574207
ASV000002,0.004649059,0,0,0.819418677,2.2723784,49.06520031,5.784230018,1.600827939,4.11365564,9.510621468,2.344747073,7.069660795,25.8820176,48.06713787,76.41202402,0,0,0,0.002590674,0,0,0,0,0,0.049140049,0,0,0,0,0.373128102,0.086095566,3.055779813
ASV000003,0.094463884,0.111113738,0.49884881,0,1.913420687,17.2034564,2.444036643,0.653983353,0.016963528,0.0711474,36.90962002,25.57806674,52.038488,18.54328968,4.553816581,0,11.38192878,0,0,0,0,0,0,0,0,0.015994882,0.007706535,0,0,0.127226463,0,1.011977686
ASV000004,0.001264734,0,0.383729854,0.916600406,3.437804645,21.57109191,2.198525623,0.31634885,0,0.662595269,4.836735407,8.357238818,3.959146295,8.414675127,3.379508646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121191136
ASV000005,0.012804357,0.122934348,0,0.134729216,0.017497256,0.659858602,0.279432497,2.333016961,0.203562341,2.262710642,8.839996168,5.517964754,0.539125077,0.416004212,0.065332897,0.653889515,0.039312243,0.212351796,0.056994819,0.142240108,0.0419958,0.059443944,0,0.069921063,0,0,14.44204686,0.441685568,2.12797619,0.169635284,12.52281098,24.19819726
ASV000006,0,0,0,0.002208676,0,0,0,0,0,6.053761057,3.69693237,7.8094141,1.170105348,3.138809035,0.64134682,0,0,0,0,0,0,0,0,0,0,14.72328855,2.9824291,24.77020413,15.40178571,12.88623312,3.422298752,0.080937173
ASV000007,0.116221073,0.156032057,2.993092863,0.340136054,0.018896968,0.094265515,0.436871552,4.351434669,3.579304495,3.91644448,1.020376512,3.038780171,0.773261296,0.493545938,0.042085156,0.146561443,0,0.389311626,0.143350604,0.20295235,0.0219978,0.015285586,0.015228117,0,2.113022113,4.854446577,4.778051788,0.555091321,0.669642857,23.23440259,11.02900949,5.607795505
ASV000008,0.010988686,0.633584718,0.460475825,0,0,0,0,0,0,0,0,0,0,0,0,0.050732807,46.39879167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033251365,0,0.072417289,0,0,0,0,0,0.024364988,0,0,0,0,0,0.610119048,0.042408821,0,0.225402364
ASV000010,0,0,0,0,0,0,0,1.221247332,0.771840543,0,0.384636051,0.281531532,0,0.007992647,0.024711303,0,0,0,0,0,0,0,0,0,0,0.895713372,0.223489519,0,0.25297619,0,0,8.155861625
ASV000011,0.000845284,0,0,0.004417351,0.009149968,0,0,0,0,0,0,0,0.001027538,0,0,0,0.002069065,0.283135728,0,0,0,0,0.001522812,0.062560951,0.098280098,0.007997441,0.007706535,0,0,0.409836066,0,0.046168052
ASV000012,0,0,0,0,0,0,0,0,0,0.218915065,7.01084844,0.422297297,0,0.339156173,0.00029403,0.005636979,0,0,0,0,0,0,0,0,0.049140049,0,0.724414303,0,0,0,0.07204611,3.975014577
ASV000013,0,0,0,0.050799541,0.006778972,0,0,0,1.085665818,1.070565608,2.185781382,4.576421169,0.768126024,1.355647828,0.101290544,0,0,0,0,0,0.0019998,0,0.010659682,0.042320643,0,3.918746001,4.909062885,9.347021607,10.61011905,0.593723494,2.841153681,0.053560663
ASV000014,0,0,0,0,0,0,0,0,0,0.010041975,0.429594549,5.751189419,0.778377771,0.464565909,0.037319219,0,0,0,0,0,0,0,0,0,0,7.469609725,2.936189889,3.497672198,7.87202381,0,4.842875592,0.036247644
