Group,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Control,Control,Control
ASV000001,23.77562726,17.9193693,2.517985612,30.01604645,39.00877572,14.04561825,28.23537332,28.04801572,18.23055752,13.98537136,12.71442837,29.81854641,23.02904564,17.20562339,25.56058127,29.51673497,45.52690514,7.923484831,10.3963886,3.522130593,2.680276297,1.772611893,49.56779452,18.38402179,12.71729186,0.053377329,28.9975145,9.977349943,29.85856987,34.55238488,43.11659504,36.17998163,47.46974697,9.475374732,39.2970123,10.79196587,11.69546941,13.84870543,26.00305428,23.26974268,20.87946359,12.69465715,14.28761769,16.57312644,0.373253334,1.70910836,1.78304496
ASV000002,25.34743434,5.871230828,13.48920863,5.664126411,23.13336211,25.93037215,12.74963273,12.37463543,23.96230994,30.11153601,17.20490752,13.71372615,16.11341632,27.58169793,34.47213935,14.25887978,21.05189688,19.46834793,12.98729855,9.398407517,2.976794776,8.367761353,12.2252408,0.862460281,0.457456542,0,2.734051367,0.011325028,21.43210365,6.31503039,9.330375711,13.88633813,4.858819215,7.155603141,4.829525483,5.619731502,3.241475946,5.786418502,5.692072747,6.455190772,12.22516763,22.71358513,27.16734766,42.30769231,0.005958055,0.428397656,0.055370986
ASV000003,0,0.602607383,0,0.999035871,0.043159258,0.180072029,0,0.00233296,0.008838451,0.064977285,0.017006803,0.018291409,0.138312586,0.168270697,0.028871138,0.008538251,0.190860514,6.515154087,3.015413754,6.867058369,8.924702813,5.643425563,0.024697456,0.862460281,0.640439158,0,0,0.351075878,0.019780437,0.10301844,0.041591571,0.010203041,0.036670334,0.035688794,0.007029877,0.031220731,0,0,0,0.665483585,0.031186652,0.632366859,1.070349973,2.348134698,0,0,0
ASV000004,0,0,0,0.86774927,0.014386419,0.180072029,0.326966438,0.569462667,0.260273919,1.947704532,0.061191679,0.122305669,2.466574458,0.682258497,0.67125397,0.62329235,0.641314438,10.62452863,17.56443303,5.266549678,10.32645102,9.894038302,0,0.090785293,0.091491308,0,0.165700083,12.97848245,0,0.236942413,0.152502426,0.081624324,0.183351669,0.017844397,0.042179262,0.135289832,0.056048575,0.027642127,0.138831043,0.835551612,0.015593326,0.696894089,0.111032155,0.041267745,0,0.084638745,0.204081633
ASV000005,0,0.391146426,0,14.55500674,0,0.180072029,0.092031772,0.405710953,0.500363992,0.800189017,1.345473161,0.921781937,0.795297372,0.676528443,0.639976903,0.230532787,0.652410664,17.37038279,8.324082422,15.23647411,12.95692864,8.794495925,0,0,0,0,0,0.011325028,0,0,0,0,0,0,0,0,0,0,0.013883104,0,0,2.142304052,0.008882572,0.033014196,0.003950071,0.000883041,0.37593985
ASV000006,0.010307153,0.185808383,0,0.02096502,0.057545677,0,0.019459382,0.132929453,0.060874256,0,0,0.002856816,0,0,0,0,0,0,0,0,0,0,0.024697456,0,0,0,0,0.158550396,0.019780437,0,0.083183142,0.061218243,0.073340667,0,0,0,0,0,0,0,0,0.008603631,0,0,0.003263708,32.52271568,0
ASV000007,6.098085994,8.597040039,2.458033573,2.118781601,0.00719321,0,0.149429472,6.284604646,0.690169169,0.6406198,16.80736592,5.107044896,2.051636699,2.587023002,1.587912617,0.05976776,0.035176824,8.206703842,13.08918423,8.43112641,12.71158593,14.88208016,2.988392196,0.49931911,0,0,0.082850041,0,0,0,0,0,0,0,0,0,0.009341429,0,0.013883104,0,0,1.135679257,0,0,0.005958055,0.000825355,0
ASV000008,0,0,0,0,0,0,0.012058726,0.00233296,0.003554425,0,0.004251701,0.002856816,0.023052098,0.030752672,0.238186893,0.008538251,5.888189067,1.683230654,1.324036113,0.062403994,0.064564787,0.079466066,0,0,0,0.004852484,0,0,0,0,0,0,0.018335167,0,0,0.031220731,0.018682858,0,0.305428294,0,0.202713239,14.06693625,0.159886303,0.718058765,0.617823736,11.70083651,0
ASV000009,0,0,0,0.029086678,0.237375917,0,0.003014681,0,0,0,0,0,0,0,0.086613415,0,0.004472472,0.013455541,0,0,0,0.006377754,0,0.045392646,0.54894785,0,0,0,0,0,0.679328989,1.989592899,0.238357169,3.104925054,2.221441125,8.387969612,26.21205044,20.34460518,15.10481744,37.56285123,11.50787463,8.823023316,13.68804406,5.162594916,0,0.107701784,0
ASV000010,0,0.020742585,9.652278177,8.455964889,0.107898144,2.881152461,4.861264898,3.698231803,4.625471136,1.976423659,1.777500813,1.919008426,1.348547718,1.669110435,4.20075065,3.039617486,0.820726577,0.030290265,0.00402285,0,0,0.003188877,0,0.045392646,0,0,0.828500414,0,3.995648304,3.688060163,3.535283516,3.254769921,5.335533553,18.79014989,5.159929701,2.351961703,3.092013078,4.901870451,4.859086492,0.155279503,2.432558865,0,0,0.024760647,0,0.199874948,0
