Group,daily_1_mean,daily_1_std,daily_2_mean,daily_2_std,daily_3_mean,daily_3_std,daily_4_mean,daily_4_std,krusk_stats,krusk_p
Otu000004,0.3304096,0.056152243,0.270755634,0.043059005,0.170703871,0.028151206,0.055332443,0.012183692,9.974358974,0.018785356
Otu000003,0.20525124,0.076602312,0.322953997,0.028917593,0.189156853,0.027291711,0.100340465,0.027742411,8.025641026,0.045484745
Otu000005,0.019889632,0.00670851,0.025355217,0.00979561,0.110536125,0.054175735,0.086408723,0.029814288,8.641025641,0.034464733
Otu000007,0.050780761,0.010361007,0.062394568,0.017401585,0.076664405,0.030774875,0.135077301,0.03225175,5.820512821,0.120676795
Otu000014,0.011995867,0.00194964,0.008737894,0.003149787,0.040033671,0.018522328,0.084325285,0.047088308,8.948717949,0.029980537
Otu000002,0.000655258,0.000463398,0.005840371,0.002221585,0.041998119,0.004203635,0.07192266,0.028424304,9.974358974,0.018785356
Otu000009,0,0,0.000322373,0.000455904,0.003960511,0.001379457,0.051028698,0.003886711,10.17293233,0.017151923
Otu000043,0.00064294,0.000454691,0.002480819,0.000390786,0.010248018,0.000934754,0.057983341,0.028174406,10.38461538,0.015564397
Otu000038,0.03331738,0.00902682,0.013469376,0.003476657,0.006613333,0.002610779,0.001993863,0.001418601,9.974358974,0.018785356
Otu000030,0.050830115,0.007433766,0.033306154,0.003085482,0.011574429,0.002066462,0.002978238,0.001631303,10.38461538,0.015564397
Otu000052,0.00064294,0.000454691,0.005526498,0.002417282,0.025800602,0.003054854,0.003651604,0.00097165,9.666666667,0.021622838
Otu000001,0.037279188,0.002693852,0.014834921,0.007448994,0.00991337,0.000757482,0.016561218,0.00418776,7.666666667,0.053427223
Otu000035,0.030201634,0.011792939,0.01200284,0.005727167,0.009269037,0.002654019,0.009613667,0.00452278,6.384615385,0.094325762
Otu000027,0.035313578,0.003468455,0.021361258,0.006339344,0.016864533,0.00166348,0.014599717,0.002037416,7.307692308,0.062711091
Otu000059,0.00032457,0.000459011,0.012933119,0.014936814,0.002309953,0.000927726,0.004312134,0.001269911,6.921637427,0.074437842
Otu000033,0.031493221,0.0047459,0.0194198,0.004247226,0.009597745,0.002086227,0.002311571,0.000924313,10.38461538,0.015564397
Otu000013,0.005217344,0.001722921,0.013373494,0.010185323,0.017818728,0.007705208,0.034527206,0.012726617,6.692307692,0.082379204
Otu000020,0.000973628,1.51E-05,0.003359552,0.002051867,0.02149572,0.004993918,0.019227871,0.012260198,9.461538462,0.023744066
Otu000018,0.010054483,0.002985808,0.011818847,0.003063075,0.012536066,0.005781236,0.027168185,0.004149988,6.58974359,0.086189641
Otu000053,0.011096146,0.004498331,0.018263746,0.008309386,0.01919747,0.004561477,0.01362873,0.007450073,2.538461538,0.468380304
Otu000048,0.001622685,0.000459886,0.006398008,0.005211429,0.014210509,0.002442351,0.009593567,0.005302469,6.282051282,0.098665736
Otu000015,0.002602513,0.000490041,0.007219799,0.008186836,0.001324431,0.000474885,0.001328871,0.000481762,2.282051282,0.515968123
Otu000036,0,0,0.003376551,0.002579675,0.011228678,0.003604743,0.008284234,0.000514589,9.206521739,0.026667426
Otu000190,0,0,0,0,0.003301716,0.000923343,0.01255563,0.00353002,10.64940239,0.013780921
Otu000025,0.012969412,0.000760291,0.00753212,0.00225258,0.004302001,0.00095208,0.004637654,0.001249141,8.743589744,0.032901591
