Group,S19,Day 1,Day 2,Day 3,Day 4
ASV000001,2.680276297,3.787661658,2.21443299,1.159502743,1.772611893
ASV000002,2.976794776,0.066838266,0.665439676,5.257409727,8.367761353
ASV000003,8.924702813,31.81298131,27.47290921,17.99029587,5.643425563
ASV000004,10.32645102,19.65799438,32.82051481,19.55357843,9.894038302
ASV000005,12.95692864,1.923695412,2.648437874,11.9817112,8.794495925
ASV000006,0,0,0,0,0
ASV000007,12.71158593,5.195149323,7.054815767,8.888330868,14.88208016
ASV000008,0.064564787,0.213953118,0.041374662,0.042389827,0.079466066
ASV000009,0,0,0,0.003090999,0.006377754
ASV000010,0,0.000527635,0,0,0.003188877
ASV000011,13.92733575,1.028254285,0.919269509,3.942126176,7.634832542
ASV000012,0.616415082,0.001582905,0.024355344,0.479022288,5.631365383
ASV000013,0,0,0,0,0
ASV000014,2.052773351,0.962109339,1.15285669,1.370189875,2.766708396
ASV000015,0,0,0,0,0.003376553
ASV000016,0,0,0,0,0
ASV000017,0.002114388,0.014246142,0.004413842,0,0
ASV000018,1.695081626,0.448473647,1.925794839,1.594581449,2.889154868
ASV000019,1.549952724,3.412760624,2.184606776,1.746077316,1.473676927
ASV000020,0,0,0,0,0
ASV000021,0.267332415,0.954746945,0.548721891,0.391251913,0.386247541
ASV000022,2.072057253,0.075136198,0.366837686,2.156671544,1.937003908
ASV000023,0.295220085,4.963157878,3.414764579,1.266605498,0.309905149
ASV000024,0.893768549,2.918149131,1.181159635,0.97446432,0.992775958
ASV000025,0.265941782,3.078070037,1.886672522,0.967241279,0.209987488
ASV000026,1.36506907,0.984217657,0.912349976,0.302549097,0.168732893
ASV000027,0.004385965,0,0.004413842,0,0
ASV000028,0.284682394,0.184493556,0.242641288,0.085522189,0.169052416
ASV000029,0.520152815,0.098579874,0.102813058,0.515727393,0.871790585
ASV000030,3.236833484,0.248017563,0.145281015,0.991022825,1.894433294
ASV000031,1.313009526,0.172297438,0.596871186,1.460154337,0.883033837
ASV000032,0,0,0,0,0
ASV000033,0,0.007278656,0,0.003090999,0
ASV000034,1.0293981,0.031727996,0.141274601,0.791917374,4.695982403
ASV000035,0.689252903,1.061827472,1.842038306,1.995517226,1.34810155
ASV000036,0.574674705,0.811599552,0.348405974,0.324468982,0.439709364
