OTU,Contribution
Otu000004,0.16278825621016615
Otu000003,0.14164547852360401
Otu000005,0.066129013277129348
Otu000007,0.051106301203808831
Otu000014,0.050645581792838804
Otu000002,0.047766448521953012
Otu000009,0.045846094078316336
Otu000043,0.033582263413496016
Otu000038,0.030253325755693328
Otu000030,0.029465479022368849
Otu000052,0.026931485144231632
Otu000001,0.024855744802637976
Otu000035,0.024354923108571968
Otu000027,0.020814559869180998
Otu000059,0.019399267278376001
Otu000033,0.01924988304920338
Otu000013,0.018175069282826185
Otu000020,0.0175631237745708
Otu000018,0.014457391655403301
Otu000053,0.012647221780278
Otu000048,0.0124168411961395
Otu000015,0.011602947990359099
Otu000036,0.011329223331308449
Otu000190,0.010746762621886501
Otu000025,0.010216112395674
