OTU,Contribution
Otu00002,0.328202699
Otu00008,0.094254906
Otu00055,0.085917316
Otu00013,0.067551109
Otu00003,0.064606101
Otu00001,0.059639102
Otu00005,0.046880514
Otu00046,0.040776394
Otu00018,0.030388788
Otu00015,0.02378139
Otu00006,0.020010747
Otu00022,0.01759134
Otu00040,0.016677975
Otu00069,0.01432242
Otu00045,0.01254595
Otu00052,0.012308074
Otu00010,0.011625528
Otu00140,0.011528565
