Group,S19,Day 1,Day 2,Day 3,Day 4
ASV000001,2.278338962,0.664314646,4.026614093,13.65130985,13.01092716
ASV000002,48.06713787,1.958654256,29.1993274,62.24375647,76.41202402
ASV000003,18.54328968,1.396049054,5.66513187,9.089263059,4.553816581
ASV000004,8.414675127,0.205239647,10.68570419,13.61358856,3.379508646
ASV000005,0.416004212,2.431365748,1.517945003,0.041858012,0.065332897
ASV000006,3.138809035,14.5573422,4.704492238,0.253599074,0.64134682
ASV000007,0.493545938,1.413017014,3.223439144,0.003528137,0.042085156
ASV000008,0,0,0,0,0
ASV000009,0,0,0,0,0.033251365
ASV000010,0.007992647,0.275727762,1.007366143,0,0.024711303
ASV000011,0,0.008048614,8.64271076,0.001860096,0
ASV000012,0.339156173,0,0,0,0.00029403
ASV000013,1.355647828,5.094900188,0.317802592,0.016189089,0.101290544
ASV000014,0.464565909,1.856984762,2.328394899,0.012600489,0.037319219
ASV000015,0.590492178,1.569428958,3.287942617,0,0.03479794
ASV000016,0.984045064,7.875750021,1.431103832,0.09174528,0.053384741
ASV000017,0.090823244,1.706125252,0,0.175647103,0.01323967
ASV000018,0,0,0,0,0
ASV000019,0,0.116374408,0.262531984,0.004536176,0.004742759
ASV000020,0.095695602,0,0,0.010297799,0
ASV000021,0.55548895,0.48010945,2.469894271,0,0.076309308
ASV000022,0.005994485,0,0.072833212,0,0.015323398
ASV000023,0,0,0,0,0
ASV000024,0.01198897,7.084558852,0.012325463,0,0.049211419
ASV000025,0.079926468,3.072947407,0.052823411,0.012600489,0
ASV000026,0,0,2.509112038,0,0
ASV000027,0,0,0,0,0
ASV000028,0.369659913,2.692364434,1.685065754,0.061677831,0.064081396
ASV000029,0,0.016097227,0,0,0
ASV000030,0,15.44528955,0,0,0.000773288
ASV000031,0,0,0,0,0
ASV000032,0,0,0,0,0
ASV000033,0.020450267,2.111872146,1.572284543,0,0
ASV000034,0,0,0,0,0
ASV000035,0,0,0.453321223,0,0
ASV000036,0,0,0,0,0
ASV000037,1.287456786,0.422552215,0,0,0.058806061
ASV000038,0.485024434,0.808859628,0.024277737,0,0.036808774
ASV000039,0.309634282,0.589141566,0.034628681,0.019656763,0.012788092
ASV000040,0.107384168,2.901298325,0.048555475,0,0.024754502
ASV000041,0,0,0,0,0
ASV000042,0,0,0,0,0
ASV000043,3.057187388,0,0.024277737,0,0
ASV000044,0,0,0,0,0
ASV000045,0.713969911,0.944520069,0.221483942,0.039193618,0.006762697
ASV000046,0,0,0,0,0
ASV000047,0.115483859,0.222625304,0.754417521,0.001704115,0.008892807
ASV000048,0,0.590479134,0,0.000643612,0.032864721
ASV000049,0.041899654,1.157956598,0.121388687,0,0
ASV000050,0.117412578,0.143051127,0.569027992,0.075460673,0.03295492
ASV000051,0,0,0,0,0
ASV000052,0.015985294,0,0.24576168,0,0
ASV000053,0.026672411,0.160972273,0.002347707,0,0.036412831
ASV000054,0,0,0,0,0
ASV000055,0,0,0,0.032761271,0
ASV000056,1.192552142,0,0,0,0
ASV000057,0,0,0,0,0
ASV000058,0,0.844748858,0,0,0
ASV000059,0.036399076,0.451604804,0,0.040321564,0.027838352
ASV000060,0,0.076461829,0,0,0
ASV000061,0.001998162,0.104631977,0.024277737,0,0
ASV000062,0.319705871,0,0,0,0
ASV000063,0,0,0.242777373,0.082504764,0.015817701
ASV000064,0.134387919,0.060364602,0.007043122,0,0.046397253
ASV000065,0,0,0,0,0
ASV000066,0.003996323,0,0.024277737,0,0
ASV000067,0.163000656,0,0,0,0
ASV000068,0,0,0,0,0
ASV000069,0.007992647,0.103150044,0.048555475,0,0.005437335
ASV000070,0,0,4.240766074,0,0
ASV000071,0,0,0,0,0
ASV000072,0,0.333253987,0,0,0.037504446
ASV000073,0.183830876,0,0,0,0
ASV000074,0,0,0,0,0
ASV000075,0,0,0,0,0
ASV000076,0,0,0.008803902,0,0
ASV000077,0,0.004024307,0.435340231,0,0
ASV000078,0.049241375,0.084977918,0.501595987,0,0
ASV000079,0,0,0,0,0
ASV000080,0,0,0,0.009576372,0
ASV000081,0.084206981,0,0,0,0
ASV000082,0,0,0,0,0
ASV000083,0,0,0,0,0
ASV000084,0.016841396,0.501260415,0,0.021168821,0.006425941
ASV000085,0,0.168462407,0,0,0
ASV000086,0,0.425824539,0.019368584,0.006816458,0
ASV000087,0.377517209,0,0.36416606,0,0
ASV000088,0,0,0,0,0
ASV000089,0,0,0.475539053,0,0
ASV000090,0,0,0,0,0.020582121
ASV000091,0,0,0,0,0
ASV000092,0,0.799086758,0,0,0
ASV000093,0,0,0,0,0
ASV000094,0.041981695,0,0.026411706,0,0
ASV000095,0,0,0,0,0
ASV000096,0,0,0.270573251,0,0
ASV000097,0,0,0,0,0
ASV000098,0,1.347031963,0,0,0.008403154
ASV000099,0,0,0,0,0
ASV000100,0,0,0,0,0
ASV000101,0,0,0,0,0
ASV000102,0,0,0,0,0
ASV000103,0,0,0,0,0
ASV000104,0.001025862,0,0.000586927,0.147811193,0.041704206
ASV000105,0,0,0,0,0
ASV000106,0,0,0,0,0
ASV000107,0.168965575,0.261842418,0,0.000643612,0.014334792
ASV000108,0,0,0,0,0
ASV000109,0.143620677,0.165525114,0,0,0
ASV000110,0,0,0,0,0
ASV000111,0.138688661,0,0,0,0
ASV000112,0,0,0,0,0
ASV000113,0.00259964,0,0,0.003286914,0.000880947
ASV000114,0,0.016097227,0,0,0
ASV000115,0.192240541,0,0,0,0
ASV000116,0,0,0,0,0
ASV000117,0,0,0,0,0
ASV000118,0,0,0.011738536,0,0
ASV000119,0.186458315,0,0,0,0
ASV000120,0,0,0,0,0
ASV000121,0,0,0,0,0
ASV000122,0,0,0,0,0
ASV000123,0,0,0,0,0
ASV000124,0.052437932,0.09172313,0.097110949,0.002556172,0
ASV000125,0,0,0,0,0
ASV000126,0,0,0,0,0
ASV000127,0,0,0,0,0
ASV000128,0,0.020121534,0,0,0
ASV000129,0,0,0,0,0
ASV000130,0,0,0,0,0
ASV000131,0.034284271,0,0,0,0.053513515
ASV000132,0,0,0,0,0
ASV000133,0,1.2043379,0,0,0
ASV000134,0,0,0,0,0
ASV000135,0,0,0.201941242,0,0
ASV000136,0,0,0,0,0
ASV000137,0.034284271,0.181093807,0,0,0
ASV000138,0.028269486,0,0,0,0
ASV000139,0,0,0,0,0
ASV000140,0.033081314,0.370145222,0,0,0
ASV000141,0,0,0,0,0
ASV000142,0,0,0,0,0
ASV000143,0,0,0,0,0.033225424
ASV000144,0,0,0,0,0
ASV000145,0,0,0,0,0
ASV000146,0,0,0,0,0
ASV000147,0,0,0,0,0.00029403
ASV000148,0,0,0,0,0
ASV000149,0,0,0.169944161,0,0
ASV000150,0,0,0,0,0
ASV000151,0,0,0,0,0
ASV000152,0,0,0,0,0
ASV000153,0,0,0,0,0
ASV000154,0,0.293774397,0,0,0
ASV000155,0,0,0,0,0
ASV000156,0,0,0,0,0
ASV000157,0.001998162,0.004024307,0,0,0
ASV000158,0.171841905,0.324167924,0,0,0
ASV000159,0,0,0,0,0
ASV000160,0.001998162,0.273652863,0.024277737,0,0
ASV000161,0,0,0,0,0
ASV000162,0.309715062,0,0,0,0
ASV000163,0,0,0,0,0
ASV000164,0,0,0,0,0.033813485
ASV000165,0.033081314,0,0,0,0
ASV000166,0.001025862,0,0.101538335,0,0
ASV000167,0,0,0,0,0
ASV000168,0,0,0,0,0
ASV000169,0,0.002644873,0,0,0
ASV000170,0.067706891,0,0,0,0
ASV000171,0,0,0,0,0.015465751
ASV000172,0.004210349,0.433759158,0,0,0
ASV000173,0,0,0,0,0
ASV000174,0,0,0,0,0
ASV000175,0,0,0.194221899,0,0
ASV000176,0,0,0,0,0
ASV000177,0,0.565068493,0,0,0
ASV000178,0,0,0,0,0
ASV000179,0.001998162,0,0,0,0
ASV000180,0,0.44433865,0,0,0
ASV000181,0,0,0,0,0
ASV000182,0,0,0,0,0
ASV000183,0.090275854,0,0,0,0
ASV000184,0,0,0.990163507,0,0
ASV000185,0.005022185,0,0,0,0
ASV000186,0,0,0,0,0
ASV000187,0,0,0,0,0
ASV000188,0,0,0,0,0
ASV000189,0,0,0,0,0
ASV000190,0,0,0,0,0.057996567
ASV000191,0,0.878995434,0,0,0
ASV000192,0.303720577,0,0,0,0
ASV000193,0,0,0,0,0
ASV000194,0.038005671,0.256062207,0,0,0
ASV000195,0,0.391441191,0,0,0
ASV000196,0,0,0,0,0.043222455
