Group,L0_G,L1_G,L3_G,L4_G,L6_G,L8_G,L9_G,L10_G,L11_G,L12_G,L13_G,L14_G,L16_G,L17_G,L18_G,L19_G,L20_G,S16_G,S17_G,S18_G,S19_G,S20_G,L0_R,L1_R,L2_R,L3_R,L5_R,L6_R,L8_R,L9_R,L10_R,L11_R,L12_R,L13_R,L14_R,L16_R,L18_R,L19_R,L20_R,S16_R,S17_R,S18_R,S19_R,S20_R
Otu000011,0,0.015225335,0.299760192,0.132245315,0.050352467,0.060422961,0,0.003437017,0,0,0,0,0.080850081,0.084976967,0.945643543,0.503799846,0.219608954,0.597296448,3.247484909,12.41705155,14.47481243,7.178446758,0,0.04576659,0,0,0.414937759,0.124645892,0.019896538,0.020693223,0.027866797,0,0.037023325,0.018040772,0.049428047,0.114547537,0.121552127,0.313653137,0.222562248,2.153800607,0.640424867,2.121068709,0.888572952,0.520188259
Otu000012,0.032669062,3.090742996,0,0.036066904,0.014386419,0.120845921,0.087670877,0.274961334,1.660904197,1.37842603,1.097758743,0.138558987,0.750750751,0.192316293,0.654491205,0.392793101,0.591527345,0.770946543,0.419852448,0.185804534,0.610932476,5.59417609,0.074645434,0.091533181,0.091575092,0,0.829875519,0,0.019896538,0.041386446,0.027866797,0.112832085,1.036653091,2.670034277,8.395706821,21.94106009,24.4226274,17.29704797,9.361524551,0.096217897,0.187441425,0.632448479,0.875244358,0.70596978
Otu000013,0.010889687,0.182704019,0,2.363885007,0,4.712990937,4.73422736,1.539783468,5.783622916,8.623176791,4.582311115,5.803642122,4.677754678,8.336687687,0.050530571,0,0,0.562865825,0.05767941,0,0,0,0.199054491,0.823798627,20.51282051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000014,0.032669062,1.035322777,0.599520384,0.486903205,0.143864192,0,0.084423808,0.13404365,0.291041183,0.288507774,0.307705102,0.162311956,0.796950797,0.429357306,1.91775548,1.041755614,0.180646075,0.357779075,0.795439302,1.056431491,1.792604502,2.723990811,0,1.922196796,0,0,0,2.016997167,0.049741345,0.113812726,0.055733593,0.030772387,0.037023325,0,0.120039542,0.322815787,0.177653109,0.405904059,0.166921686,0.370068833,1.562011871,1.979090479,2.67904745,7.369333664
Otu000015,0,0,0.35971223,1.349503329,0.985469717,8.821752266,14.38776504,2.622443719,5.214670226,2.019554416,0.153852551,0.003958828,0.046200046,0.044724719,0.055343006,0.648962514,0.01948144,0,0,0,0,0.002983561,0,0.091533181,1.465201465,0,0.082987552,0,0.079586152,7.697878945,4.486554271,1.097548467,3.739355794,0.072163089,1.11566163,0.093720712,0,0,0,0,0,0,0,0
Otu000016,0.032669062,0,0,0,0.115091354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099527246,0.640732265,0.366300366,0,0.497925311,0,0,0.237972064,0.905670893,1.005231306,2.44353943,15.33465632,1.037988985,3.540560242,2.935951379,1.411439114,5.64751704,2.531270816,14.604811,4.728305296,12.32450684,8.335397572
Otu000017,0,0,0,0.001502788,0,0,0,0,0,0.01602821,0,0,0,0.017889888,0,0.017077961,0.00177104,0.011975869,0.028169014,0,0.002679528,0,0,0,0.274725275,44.43420031,0,0,0,0,0,0,0,0,0,0.010413412,0.009350164,0,0,0,0,0,0,0
Otu000018,0,1.157125457,1.738609113,0.800985829,0,0.060422961,0.441601455,0.725210517,0.391702044,0.128225677,0.602935673,0.839271576,1.074151074,0.688760678,0.909550278,0.461104944,0.39139983,1.022439784,2.877263581,2.017306365,1.709539121,2.792612704,0,0,0,0,0,0.011331445,0.009948269,0,0,0,0.037023325,0,0,0,0,0,0,0,0,0.176397195,0.026657189,0
Otu000019,0,0,0,0.052597568,0,0,0.301977465,0.1237326,0.328241936,0.224394935,0.099796249,0.17418844,0.900900901,0.13864663,0.377776174,0.452565964,0.232006234,0.470052844,0.655935614,0.796305144,1.580921758,1.482829609,0.049763623,0,0,0,0,0.203966006,0,0.051733057,0,0.030772387,0,0,0.063550346,0.031240237,0.168302945,0.046125461,0.069550702,0.11102065,0.031240237,0.06883793,0.097743025,0.074312608
Otu000020,0.054448437,0.319732034,0.479616307,0.429797274,0.316501223,0.060422961,1.331298503,0.05155525,0.393890323,0.176310306,0,0,0,0,0,0,0,0,0,0,0,0,0.024881811,0.04576659,0.274725275,0,0.165975104,0.940509915,0.029844807,0.113812726,0.027866797,0.010257462,0.074046649,0.054122316,0.15534529,0.333229199,0.430107527,0.304428044,0.264292669,3.019761676,0.452983443,1.20466377,1.870446064,2.865163901
