Group,S2014plt4,S2015plt4,S2016plt4,S2024plt4,S2025plt4,S2026plt4,S2034plt4,S2035plt4,S2036plt4,S2045plt4,S2046plt4,S204Aplt4
Otu00043,32,0,0,0,0,11,0,0,0,0,0,0
Otu00044,0,0,0,0,2,0,0,0,0,0,0,0
Otu00045,57,8,11,1,23,10,0,1,0,0,0,16
Otu00046,22,0,205,0,0,0,0,0,0,1,1,40
Otu00047,0,0,0,0,0,0,0,0,0,0,0,0
Otu00048,0,0,0,0,0,0,0,0,0,0,0,0
Otu00049,0,0,0,0,0,0,0,0,0,0,0,0
Otu00050,0,0,0,0,0,0,0,0,0,0,0,0
Otu00051,0,0,0,0,0,0,0,0,0,0,0,0
Otu00052,57,0,0,2,0,16,0,0,0,0,0,8
Otu00053,0,0,0,0,0,0,0,0,0,0,0,0
Otu00054,0,12,0,0,0,0,0,0,0,0,0,12
Otu00055,0,477,0,0,0,0,0,0,0,0,0,0
Otu00056,3,0,0,0,0,7,0,0,0,1,0,21
Otu00057,0,0,0,0,0,0,0,0,0,0,0,0
Otu00058,0,0,0,0,0,0,0,0,0,0,0,0
Otu00059,0,0,0,0,0,0,0,0,0,0,0,0
Otu00060,0,0,0,0,0,0,0,0,0,0,0,0
Otu00061,0,0,0,0,0,0,0,0,0,0,0,0
Otu00062,2,10,19,1,1,0,0,0,0,0,1,0
Otu00063,0,0,0,0,0,0,0,0,0,0,0,0
Otu00064,0,0,0,0,11,0,0,0,0,0,0,0
Otu00065,0,0,0,0,0,0,0,0,0,0,0,0
Otu00066,0,0,0,0,0,0,0,0,0,0,0,0
Otu00067,1,4,12,1,0,0,0,1,0,0,0,8
Otu00068,0,0,0,0,0,0,0,0,0,0,0,0
Otu00069,57,0,23,0,1,0,0,0,0,2,1,0
Otu00070,0,0,0,0,0,0,0,0,0,0,0,0
Otu00071,0,0,0,0,0,0,0,0,0,0,0,0
Otu00072,17,14,1,0,0,2,0,1,0,0,0,2
Otu00073,0,0,0,0,0,0,0,0,0,0,0,0
Otu00074,0,0,0,0,0,0,0,0,0,0,0,0
Otu00075,0,0,0,0,0,0,0,0,0,0,0,0
Otu00076,0,0,0,0,0,0,0,0,0,0,0,0
