OTU,ID
ASV3087,367995
ASV0932,207866
ASV1947,356640
ASV6096,758719
ASV5686,537954
ASV0163,785526
ASV0050,785526
ASV2577,571263
ASV2985,1044235
ASV1894,813980
ASV1593,1014707
ASV1842,748537
ASV1960,582973
ASV1527,832113
ASV0534,917635
ASV3998,917635
ASV0703,917635
ASV0311,4409038
ASV1010,817401
ASV2346,1118618
ASV2386,249173
ASV2024,681987
ASV3989,1108960
ASV4205,1108960
ASV1305,1108960
ASV2179,1108960
ASV2878,1108960
ASV0681,804483
ASV1998,591699
ASV1278,591699
ASV6269,591699
ASV2135,591699
ASV0136,544841
ASV1040,544841
ASV3979,544841
ASV1424,544841
ASV4192,544841
ASV2743,515709
ASV1594,746436
ASV1935,1108289
ASV1766,254401
ASV2625,254401
ASV0200,548468
ASV0903,1105814
ASV1422,1105814
ASV3867,1105814
ASV0951,1105814
ASV1839,822584
ASV1613,886061
ASV4208,152713
ASV3876,820313
ASV4010,820313
ASV3133,820313
ASV4747,820313
ASV4962,820313
ASV6272,820313
ASV1540,820313
ASV2178,820313
ASV1826,820313
ASV6266,820313
ASV2351,820313
ASV1497,820313
ASV4240,544324
ASV3831,544324
ASV3805,1848083
ASV0371,1848083
ASV3716,207153
ASV2259,4462592
ASV2896,804449
ASV3200,160406
ASV0922,318367
ASV3385,213177
ASV4189,588165
ASV1008,386892
ASV3002,579026
ASV2794,91845
ASV6585,91845
ASV5540,91845
ASV6582,91845
ASV4755,91845
ASV1151,593437
ASV0107,593437
ASV0280,593437
ASV5241,593437
ASV0999,593437
ASV2923,593437
ASV4939,593437
ASV0561,580625
ASV0658,580625
ASV2928,580625
ASV2530,941803
ASV2823,369953
ASV3649,568345
ASV1013,568345
ASV5399,568345
ASV1381,568345
ASV0178,568345
ASV6348,568345
ASV0052,568345
ASV0400,568345
ASV0001,568345
ASV2112,219331
ASV2875,969805
ASV4955,1101488
ASV0150,1101488
ASV1224,1101488
ASV0597,1101488
ASV0192,1101488
ASV1857,1101488
ASV1516,1101488
ASV6370,1101488
ASV0319,1101488
ASV1553,1101488
ASV0014,1101488
ASV0120,1101488
ASV3471,1101488
ASV5848,1101488
ASV5550,1101488
ASV2718,256361
ASV3811,548736
ASV3827,548736
ASV1760,91903
ASV1453,91903
ASV3225,223237
ASV3203,934235
ASV2682,147648
ASV2591,147648
ASV1391,201191
ASV2188,550142
ASV3091,317811
ASV1653,546740
ASV0147,546740
ASV5996,546740
ASV0245,546740
ASV4496,546740
ASV0702,546740
ASV5679,546740
ASV5687,546740
ASV5032,546740
ASV5776,546740
ASV0197,546740
ASV5904,546740
ASV5262,546740
ASV1955,546740
ASV3589,572586
ASV6471,572586
ASV1739,4333237
ASV6029,542278
ASV2140,761545
ASV4225,849118
ASV4230,1953633
ASV1338,582083
ASV1848,582083
ASV0687,942823
ASV0335,942823
ASV2482,235468
ASV4258,213764
ASV3618,722628
ASV0344,722628
ASV0043,722628
ASV0123,722628
ASV5170,722628
ASV2738,586505
ASV3990,823246
ASV6265,854272
ASV0878,854272
ASV1076,854272
ASV3519,153521
ASV0577,866365
ASV0182,694548
ASV1625,694548
ASV6487,694548
ASV1582,694548
ASV6327,694548
ASV0026,694548
ASV6179,694548
ASV1277,163716
ASV3300,567336
ASV4447,914108
ASV0172,789831
ASV0961,789831
ASV3629,789831
ASV1816,789831
ASV2142,589946
ASV6495,555568
ASV3899,1053775
ASV2734,1053775
ASV1528,541299
ASV1501,541299
ASV6474,543065
ASV4231,543065
ASV2953,610753
ASV2344,998905
ASV2367,998905
ASV0843,998905
ASV1578,998905
ASV2491,322226
ASV2715,985179
ASV3096,607212
ASV3394,607212
ASV1474,607212
ASV1287,607212
ASV1853,4435655
ASV5459,152417
ASV3054,992510
ASV1320,335000
ASV4746,821717
ASV1387,821717
ASV5107,821717
ASV1039,754410
ASV0065,773900
ASV0757,773900
ASV0152,265832
ASV4282,265832
ASV5935,265832
ASV4832,540846
ASV0447,540846
ASV6595,540846
ASV0523,540846
ASV0479,540846
ASV0073,540846
ASV0076,540846
ASV3366,540846
ASV2573,540846
ASV1712,578551
ASV2272,578551
ASV3420,807415
ASV1120,278075
ASV3514,749896
ASV0916,909097
ASV1530,676066
ASV5332,592272
ASV6570,804175
ASV0712,804175
ASV5837,804175
ASV1485,804175
ASV4686,804175
ASV3518,1111551
ASV4131,573413
ASV3984,573413
ASV0855,573413
ASV0950,573413
ASV0254,573413
ASV1242,60649
ASV1417,297968
ASV3573,4310798
ASV0858,257891
ASV2349,1093466
ASV1175,249034
ASV1993,716887
ASV1302,1140434
ASV5806,368902
ASV2811,645729
ASV1596,808095
ASV2365,50794
ASV1294,143392
ASV2450,5860
ASV2449,5860
ASV0212,5860
ASV1720,779725
ASV2061,148878
ASV0746,4453083
ASV2612,878663
ASV0343,188150
ASV5631,188150
ASV3957,188150
ASV0425,188150
ASV3596,683891
ASV1117,683891
ASV1923,830893
ASV2045,830893
ASV1085,557722
ASV0414,150582
ASV1566,569576
ASV2348,4344055
ASV4251,205602
ASV2925,719608
ASV6092,217239
ASV0109,217239
ASV3000,4404862
ASV0271,579705
ASV0978,579705
ASV0672,894719
ASV1061,812921
ASV3281,812921
ASV1480,569481
ASV0738,569481
ASV0930,569481
ASV0228,569481
ASV0068,569481
ASV4816,583102
ASV2597,217798
ASV2409,564309
ASV4091,564309
ASV4074,770205
ASV2673,390344
ASV1448,819472
ASV3265,1024056
ASV1222,1123707
ASV0301,1123707
ASV4040,545247
ASV3922,545247
ASV2968,746799
ASV2825,570385
ASV2735,570385
ASV6361,517116
ASV0075,342749
ASV2712,4164931
ASV3860,560228
ASV3404,872014
ASV6605,806566
ASV1588,132939
ASV6434,608293
ASV3991,608293
ASV2173,785501
ASV2962,1109067
ASV1364,590099
ASV0689,590099
ASV0946,615514
ASV2624,4343672
ASV5087,588835
ASV3985,588835
ASV0895,105042
ASV2385,168671
ASV0168,1011088
ASV0436,1011088
ASV0141,1011088
ASV0700,1011088
ASV1806,1011088
ASV0458,1011088
ASV2675,1011088
ASV4713,1011088
ASV0817,1011088
ASV6271,1011088
ASV1024,1011088
ASV6448,1011088
ASV3182,1011088
ASV3663,509047
ASV1832,266579
ASV1927,2994818
ASV2036,110755
ASV6224,705967
ASV0403,705967
ASV0088,705967
ASV1132,705967
ASV1498,1060565
ASV2487,879040
ASV1851,285497
ASV3147,247509
ASV1541,575885
ASV3934,4388411
ASV0747,572218
ASV3650,421125
ASV3592,811449
ASV3511,1106494
ASV0234,68458
ASV5767,593700
ASV1046,562576
ASV0691,918212
ASV1612,170549
ASV1734,825256
