Group,L0_G,L1_G,L8_G,L9_G,L10_G,L12_G,L13_G,L14_G,L17_G,L19_G,L20_G,S16_G,S17_G,S18_G,S19_G,S20_2_G
Otu00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00040,0,0,0,0,0.001953125,0,0,0,0.082741912,0.005859375,0.005859375,0,0.004892368,0.005532285,0.000652316,0.000656168
Otu00041,0,0,0,0.002929688,0,0,0,0,0,0.358398438,0.002929688,0.001466276,0,0,0,0
Otu00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00043,0,0,0.005853659,0,0,0,0,0,0,0,0.004892396,0,0,0,0,0.003587736
Otu00044,0,0,0,0,0,0.003917728,0,0,0,0,0,0.004403131,0,0,0,0.000637349
Otu00045,0,0.000988142,0.013658537,0.001953125,0.003580729,0,0,0.004399799,0,0,0.007502933,0.004891411,0.007731823,0.002277377,0.003913894,0.010919172
Otu00046,0,0,0,0,0,0,0,0,0,0,0,0,0.000976563,0.002935421,0.001304631,0
Otu00047,0,0,0,0,0,0,0,0,0,0.005859375,0,0,0,0,0.000977837,0
Otu00048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00050,0.001632387,0.002964427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00052,0,0.000988142,0,0.004882813,0,0,0,0,0.01762834,0.00390625,0.004892396,0,0.011089367,0.002926829,0.000325521,0.005874694
Otu00053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00054,0,0,0.010731707,0,0.000325203,0,0,0,0.012242899,0,0,0,0,0.000654236,0.012720157,0
Otu00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000654236,0,0
Otu00056,0.000979432,0.000988142,0,0,0.000650407,0,0,0.005386876,0.033778924,0.000976563,0.002931285,0.000489237,0.003530649,0.000981354,0.009458578,0.002283105
Otu00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00058,0,0,0,0,0,0,0,0,0,0,0,0.001466276,0,0,0,0
Otu00059,0.000977517,0.074110672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00061,0,0,0,0,0,0.003917728,0,0,0,0,0,0,0,0,0,0
Otu00062,0,0,0,0,0,0,0,0,0,0,0.022545517,0.007826832,0.005139495,0.000654236,0.005217252,0.000646758
Otu00063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00064,0.001304633,0.000988142,0.003902439,0,0.001302083,0.002938296,0,0.000979432,0.006366308,0,0,0.000977517,0.005789263,0.002927784,0.005870841,0.003505417
Otu00065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00066,0,0.001976285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00067,0,0,0,0,0,0,0,0,0,0,0.009154515,0.006845967,0.001302083,0.000326158,0.003260305,0.000328084
Otu00068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00069,0,0,0,0,0,0,0,0,0,0,0.000981354,0.003913416,0.025882488,0.00357819,0.000977837,0.000318674
Otu00070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00071,0,0.045454545,0,0.004882813,0.001302083,0,0,0,0,0,0,0,0,0,0,0
Otu00072,0,0,0,0,0,0,0,0,0,0,0.001630474,0,0.008804351,0.005203252,0.007173562,0.000652316
Otu00073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00077,0,0,0.016585366,0,0,0,0.002938296,0,0.000976563,0,0.000654236,0.003424179,0,0,0.030658839,0.000318674
Otu00078,0,0,0.04097561,0,0,0,0,0,0,0,0.002289827,0,0,0,0,0
Otu00079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00081,0,0,0,0,0,0,0,0,0,0,0.006538517,0.000488759,0.008153947,0.000326158,0.001302083,0.009901354
