Group,L0_G,L0_L,L0_R,L10_G,L10_L,L10_R,L11_L,L11_R,L12_G,L12_L,L12_R,L13_G,L13_L,L13_R,L14_G,L14_L,L14_R,L15_L,L16_L,L17_G,L17_L,L1_G,L18_L,L18_R,L19_G,L19_L,L1_L,L1_R,L20_G,L20_L,L20_R,L2_L,L3_L,L4_L,L5_L,L6_L,L8_G,L8_L,L8_R,L9_G,L9_L,L9_R,S16_G,S16_R,S17_G,S17_R,S18_G,S19_G,S20_1_G,S20_1_R,S20_2_G,S20_2_R,S20_3_G,S20_4_G,S20_4_R
Otu00001,0.95955513252333058,0.26001955034213098,0.9375,0.89224679634424764,0.0,0.95988258317025443,0.00098231827111984276,0.96180215475024489,0.0029382957884427031,0.0,0.95485770363101075,0.10088148873653281,0.0,0.98626104023552508,0.66894006354363245,0.0,0.97254901960784312,0.0,0.0,0.48546347024975511,0.0,0.62154150197628455,0.0,0.76251226692836116,0.3837890625,0.00097751710654936461,0.2102665350444225,0.32810969637610188,0.42763834688762836,0.0,0.17595307917888564,0.017647058823529412,0.00096061479346781938,0.0076628352490421452,0.0,0.0,0.71512195121951216,0.0,0.85589094449853942,0.9296875,0.0,0.97360703812316718,0.16871543539683176,0.19019607843137254,0.010336538461538461,0.12426614481409001,0.046746199252685604,0.022501070205479451,0.0062091503267973852,0.21896383186705767,0.032863160433084369,0.076998050682261204,0.13548656525387717,0.1293221953375093,0.13013698630136986
Otu00002,0.0,0.0,0.0,0.02213415007040237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47698334965719885,0.0,0.0,0.048818709538711452,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0390625,0.0,0.0,0.0,0.088797049332155265,0.0,0.0,0.0,0.0,0.0,0.00095877277085330771,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.028839145829866113,0.0,0.067257612179487183,0.0,0.25182516421051743,0.46606493089530332,0.017961065704820742,0.0,0.23596868968017989,0.00097465886939571145,0.61310049178549597,0.75539890837348089,0.0
Otu00003,0.0,0.0,0.0,0.0,0.22189349112426035,0.0,0.34086444007858546,0.0,0.0,0.18842001962708538,0.0,0.0,0.35952848722986247,0.0,0.0,0.25691699604743085,0.00098039215686274508,0.57296767874632715,0.51859099804305286,0.0,0.18413320274240941,0.0,0.751953125,0.0009813542688910696,0.0,0.17497556207233628,0.0,0.0,0.0,0.7009803921568627,0.0,0.10588235294117647,0.084534101825168101,0.30268199233716475,0.023010546500479387,0.40704500978473579,0.0,0.36506378802747791,0.0029211295034079843,0.0,0.64607843137254906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087917099511700611,0.0,0.0,0.0,0.0
Otu00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00097943192948090111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otu00005,0.00097847358121330719,0.0,0.0,0.019202241365766152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16846229187071499,0.0,0.0,0.02002675521368338,0.0,0.0,0.0,0.0,0.0068359375,0.0,0.00098814229249011851,0.0,0.0,0.0,0.0,0.0,0.11459353574926542,0.00065423617926071303,0.0,0.0,0.013725490196078431,0.00096061479346781938,0.00095785440613026815,0.0,0.0,0.0058536585365853658,0.0,0.0,0.0,0.0,0.0,0.460123136548236,0.0,0.24802684294871793,0.0,0.51663363774785687,0.184781805487606,0.012735505160968497,0.0,0.051685911458479873,0.0,0.091409873490136406,0.045853869705094218,0.0
Otu00006,0.0,0.021505376344086023,0.0,0.0,0.16074950690335305,0.0,0.079567779960707269,0.0,0.00097943192948090111,0.60157016683022568,0.0019627085377821392,0.0,0.26719056974459726,0.0,0.0,0.23221343873517786,0.0,0.31635651322233105,0.34442270058708413,0.0,0.41625857002938293,0.0,0.0302734375,0.0,0.0,0.34897360703812319,0.47384007897334651,0.0,0.0,0.055882352941176473,0.0,0.542156862745098,0.47742555235350626,0.29022988505747127,0.010546500479386385,0.048923679060665359,0.0,0.27183513248282631,0.0,0.0,0.097058823529411767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027230971128608922,0.0,0.0,0.0,0.0
Otu00007,0.0019559906877626718,0.05865102639296188,0.0,0.0,0.20118343195266272,0.0,0.26031434184675833,0.0,0.0,0.028459273797841019,0.0,0.0,0.14341846758349705,0.0,0.0,0.30928853754940711,0.0,0.059745347698334964,0.076320939334637961,0.001953125,0.31243878550440746,0.0,0.0556640625,0.0,0.0,0.16715542521994134,0.029615004935834157,0.030362389813907934,0.0,0.1803921568627451,0.0,0.0058823529411764705,0.024975984630163303,0.0,0.091083413231064239,0.048923679060665359,0.0,0.19823356231599606,0.0038948393378773127,0.0,0.18529411764705883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045837661783672832,0.0,0.0,0.0,0.0
Otu00008,0.0013052703404628056,0.0,0.0009765625,0.034187367249773282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21645445641527913,0.0,0.0,0.02000382217338334,0.0,0.0,0.0,0.0,0.00341796875,0.0,0.00098814229249011851,0.0,0.0,0.0,0.0,0.022704837117472853,0.0,0.00652159746074583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048780487804878049,0.0,0.0,0.009765625,0.0,0.0,0.073860408261645555,0.0,0.079266826923076919,0.0,0.040212479523111758,0.084405449893998688,0.0019607843137254902,0.0,0.090853288742794094,0.0,0.13943114488806449,0.035051528359024461,0.0
Otu00009,0.0013043126167297621,0.027370478983382209,0.0048828125,0.0029303245270711023,0.0,0.00097847358121330719,0.003929273084479371,0.0,0.85014691478942217,0.057899901864573111,0.0009813542688910696,0.011753183153770812,0.0019646365422396855,0.0019627085377821392,0.20846611404409834,0.029644268774703556,0.0029411764705882353,0.0029382957884427031,0.0029354207436399216,0.035248071743388835,0.0088148873653281102,0.00098814229249011851,0.005859375,0.040235525024533855,0.0234375,0.026392961876832845,0.011846001974333662,0.0,0.032345343927245702,0.00098039215686274508,0.032258064516129031,0.028431372549019607,0.03073967339097022,0.0,0.02109300095877277,0.0,0.061463414634146341,0.0,0.0077896786757546254,0.0048828125,0.00098039215686274508,0.0,0.020043404820249716,0.070588235294117646,0.020933493589743588,0.0088062622309197647,0.0048876173476229802,0.0091254127935420735,0.040519678190911068,0.010752688172043012,0.22584075056308525,0.17641325536062377,0.0013062299414732328,0.0022907918897749012,0.017612524461839529
Otu00010,0.0,0.0039100684261974585,0.0068359375,0.0,0.0,0.00097847358121330719,0.0019646365422396855,0.0,0.0029382957884427031,0.0058881256133464181,0.0009813542688910696,0.0058765915768854062,0.0,0.0,0.0019550416855784623,0.0,0.00098039215686274508,0.00097943192948090111,0.0019569471624266144,0.021546067733839373,0.00097943192948090111,0.00098814229249011851,0.001953125,0.0,0.005859375,0.037145650048875857,0.0029615004935834156,0.0,0.025416181100752371,0.0039215686274509803,0.0,0.013725490196078431,0.044188280499519693,0.02681992337164751,0.0,0.0,0.0,0.0039254170755642784,0.0019474196689386564,0.0009765625,0.0,0.00097751710654936461,0.014186910452929011,0.14509803921568629,0.056870621173917411,0.0039138943248532287,0.0055303701221506817,0.0042381411040443573,0.022868142690866299,0.0,0.01347627087029009,0.016569200779727095,0.00032679738562091501,0.00065359477124183002,0.021526418786692758
