Group,Day 1,Day 2,Day 3,Day 4
ASV000001,55.0,1277.3333333333333,7119.0,11798.666666666666
ASV000002,170.0,7566.0,32285.0,68074.333333333328
ASV000003,115.66666666666667,1380.6666666666667,4716.0,3925.6666666666665
ASV000004,17.0,1826.3333333333333,7454.333333333333,2814.6666666666665
ASV000005,164.0,95.0,24.0,67.666666666666671
ASV000006,1498.0,269.33333333333331,118.0,533.66666666666663
ASV000007,84.666666666666671,191.33333333333334,2.3333333333333335,34.333333333333336
ASV000008,0.0,0.0,0.0,0.0
ASV000009,0.0,0.0,0.0,28.666666666666668
ASV000010,24.666666666666668,60.666666666666664,0.0,27.333333333333332
ASV000011,0.66666666666666663,4895.0,1.0,0.0
ASV000012,0.0,0.0,0.0,0.33333333333333331
ASV000013,468.33333333333331,15.666666666666666,6.333333333333333,103.66666666666667
ASV000014,183.33333333333334,67.333333333333329,8.3333333333333339,32.333333333333336
ASV000015,130.66666666666666,124.33333333333333,0.0,30.0
ASV000016,582.33333333333337,39.0,44.333333333333336,36.0
ASV000017,122.0,0.0,115.33333333333333,9.3333333333333339
ASV000018,0.0,0.0,0.0,0.0
ASV000019,14.666666666666666,34.666666666666664,3.0,3.3333333333333335
ASV000020,0.0,0.0,5.333333333333333,0.0
ASV000021,28.333333333333332,137.0,0.0,80.0
ASV000022,0.0,1.0,0.0,10.333333333333334
ASV000023,0.0,0.0,0.0,0.0
ASV000024,837.66666666666663,7.0,0.0,42.333333333333336
ASV000025,365.66666666666669,30.0,8.3333333333333339,0.0
ASV000026,0.0,1425.0,0.0,0.0
ASV000027,0.0,0.0,0.0,0.0
ASV000028,188.66666666666666,75.333333333333329,36.0,68.333333333333329
ASV000029,1.3333333333333333,0.0,0.0,0.0
ASV000030,1279.3333333333333,0.0,0.0,0.66666666666666663
ASV000031,0.0,0.0,0.0,0.0
ASV000032,0.0,0.0,0.0,0.0
ASV000033,123.33333333333333,115.33333333333333,0.0,0.0
ASV000034,0.0,0.0,0.0,0.0
ASV000035,0.0,244.0,0.0,0.0
ASV000036,0.0,0.0,0.0,0.0
ASV000037,35.0,0.0,0.0,66.666666666666671
ASV000038,82.666666666666671,0.33333333333333331,0.0,27.0
ASV000039,65.0,19.666666666666668,13.0,12.0
ASV000040,221.66666666666666,0.66666666666666663,0.0,18.0
ASV000041,0.0,0.0,0.0,0.0
ASV000042,0.0,0.0,0.0,0.0
ASV000043,0.0,0.33333333333333331,0.0,0.0
ASV000044,0.0,0.0,0.0,0.0
