Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Day 1,Day 2,Day 3,Day 4
ASV00001,Eukaryota,NA,NA,NA,NA,NA,NA,0.664314646014618,4.026614093432887,13.651309847027244,13.010927162072425
ASV00002,Eukaryota,NA,NA,NA,NA,NA,NA,1.9586542563762201,29.199327398971203,62.24375646539364,76.41202401614258
ASV00003,Eukaryota,Incertae_Sedis,NA,NA,NA,NA,NA,1.3960490538161003,5.66513187031376,9.089263058647287,4.553816581210568
ASV00004,Eukaryota,Ochrophyta,Chrysophyceae,Ochromonadales,Ochromonadales_fa,Paraphysomonas,NA,0.20523964747072318,10.68570418796942,13.613588562771733,3.3795086464608084
ASV00005,Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,NA,2.4313657478390396,1.5179450030086628,0.041858011811008566,0.0653328973119629
ASV00006,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA,14.557342201898111,4.704492238311871,0.2535990738660951,0.6413468200934771
ASV00007,Eukaryota,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,NA,1.4130170137790634,3.2234391442343107,0.0035281368917113986,0.042085156021752564
ASV00010,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,0.27572776178448705,1.0073661434457228,0.0,0.024711303386654174
ASV00011,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Amphora,NA,0.008048613626302869,8.642710760163943,0.0018600964042498787,0.0
ASV00013,Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Navicula,NA,5.094900188428505,0.31780259232812325,0.01618908855431439,0.10129054427440769
ASV00014,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Pelagostrobilidium,NA,1.856984761652883,2.3283948990087406,0.012600488898969281,0.03731921945425549
ASV00015,Eukaryota,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,NA,1.5694289583075902,3.2879426170435138,0.0,0.03479793996195425
ASV00016,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA,7.875750021401729,1.4311038319192904,0.0917452802250397,0.053384740861570405
ASV00017,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Pelagostrobilidium,NA,1.706125251809133,0.0,0.1756471025706525,0.013239669811430306
ASV00021,Eukaryota,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,NA,0.4801094501198196,2.469894271498499,0.0,0.07630930808782742
ASV00024,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Tintinnidium,NA,7.08455885150198,0.012325462645044284,0.0,0.04921141910286161
ASV00025,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella-Candida_clade,NA,3.0729474065209526,0.05282341133590407,0.012600488898969281,0.0
ASV00026,Eukaryota,Chlorophyta_ph,Chlorophyceae,NA,NA,NA,NA,0.0,2.5091120384554433,0.0,0.0
ASV00028,Eukaryota,Arthropoda,Insecta,Thysanoptera,NA,NA,NA,2.6923644338997748,1.6850657542161336,0.061677830770747843,0.0640813962803059
ASV00030,Eukaryota,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,NA,15.445289548875204,0.0,0.0,0.0007732875547100945
