Sample_ID,treatment0,treatment1,treatment2_daily_r,treatment3_daily,treatment4_LG,treatment5_RG,treatment6_beg_end,treatment7_beginning,treatment8_beg_end,treatment9_long_GR,treatment10_short_GR,treatment11_beg_end_S,treatment12_LS,coverage,nseqs,bergerparker,chao,chao_lci,chao_hci,shannon,shannon_lci,shannon_hci
L12_B,L12_R,R,,,,R,,,,R,,,,0.878075,935,0.392513,359.5,292.925352,469.136767,3.338838,3.19478,3.482896
L13_7,L13_G,G,,,G,G,,,,G,,,G,0.862791,860,0.189535,447.666667,343.5607,623.282282,3.650099,3.515814,3.784385
L13_8,L13_G,G,,,G,G,,,,G,,,G,0.857754,935,0.208556,425.45,343.131442,557.183519,3.626545,3.497623,3.755467
L13_9,L13_G,G,,,G,G,,,,G,,,G,0.898023,961,0.186264,347.12,265.652931,489.670404,3.402922,3.288492,3.517352
L13_A,L13_L,L,,,L,,,,,,,,,0.883243,925,0.168649,495,352.940693,749.838835,3.866799,3.760198,3.973399
L13_B,L13_R,R,,,,R,,,,R,,,,0.869006,855,0.203509,778.6,472.122043,1383.148942,3.446544,3.325066,3.568022
L14_7,L14_G,G,,,G,G,,,,G,,,G,0.893443,976,0.344262,368.689655,292.098112,499.549164,3.435733,3.3008,3.570666
L14_8,L14_G,G,,,G,G,,,,G,,,G,0.883822,921,0.271444,351.028571,285.750156,460.351067,3.59513,3.463849,3.72641
L14_9,L14_G,G,,,G,G,,,,G,,,G,0.806593,910,0.198901,793,586.84837,1122.748246,3.83016,3.694298,3.966021
L14_A,L14_L,L,,,L,,,,,,,,,0.901247,962,0.245322,431.0625,302.334504,670.017334,3.4144,3.300143,3.528657
L14_B,L14_R,R,,,,R,,,,R,,,,0.887931,928,0.360991,379,292.3358,528.601589,3.343291,3.205675,3.480907
L15_A,L13_L,L,,,L,,,,,,,,,0.912429,1062,0.187382,620.333333,376.436304,1121.259013,3.393705,3.291907,3.495503
L16_9,L16_G,G,,,G,G,,,,G,,,G,0.925,1000,0.221,277.75,212.91305,399.462293,3.476187,3.368881,3.583494
L16_A,L16_L,L,,,L,,,,,,,,,0.90239,1004,0.13745,669.111111,399.615323,1219.440914,3.374031,3.273912,3.474151
L16_B,L16_R,R,,,,R,,,,R,,,,0.945165,1003,0.211366,240,167.87737,394.849907,3.186565,3.090197,3.282933
L17_8,L17_G,G,,,G,G,,,,G,,,G,0.948293,1025,0.270244,204.866667,157.146402,304.170379,3.12636,3.019365,3.233356
L17_9,L17_G,G,,,G,G,,,,G,,,G,0.932362,961,0.219563,231.047619,183.476802,322.579648,3.322714,3.207847,3.437582
L17_A,L17_L,L,,,L,,,,,,,,,0.907895,988,0.190283,399.9375,281.026043,622.040543,3.371509,3.265897,3.477121
