Gene,Sample,OTU,GeneCountPerGenome,OTUAbundanceInSample,CountContributedByOTU,ContributionPercentOfSample,ContributionPercentOfAllSamples
K03933,L19_8,797229,1,0.008538251,0.008538251,0.023809523,6.97E-05
K03933,L19_8,939811,1,0.324453552,0.324453552,0.904761906,0.002650268
K03933,L19_8,1104592,1,0.025614754,0.025614754,0.071428571,0.000209232
K03933,L1_B,585394,2,0.090785293,0.181570586,1,0.001483142
K03933,L20_7,256215,1,0.013417416,0.013417416,0.002369668,0.000109599
K03933,L20_7,797229,1,5.548101436,5.548101436,0.97985782,0.045319139
K03933,L20_7,939811,1,0.06708708,0.06708708,0.011848341,0.000547994
K03933,L20_7,839235,1,0.03354354,0.03354354,0.005924171,0.000273997
K03933,L20_8,922761,2,0.017471827,0.034943654,0.003891051,0.000285434
K03933,L20_8,797229,1,8.805800646,8.805800646,0.980544747,0.071929346
K03933,L20_8,939811,1,0.139774614,0.139774614,0.015564202,0.001141736
K03933,L20_9,236204,1,0.0066346,0.0066346,0.001913876,5.42E-05
K03933,L20_9,797229,1,3.310665119,3.310665119,0.955023923,0.027042853
K03933,L20_9,939811,1,0.145961188,0.145961188,0.042105263,0.00119227
K03933,L20_9,1104592,1,0.0033173,0.0033173,0.000956938,2.71E-05
K03933,L20_B,797229,1,0.305428294,0.305428294,1,0.002494862
K03933,L3_B,797229,1,0.004852484,0.004852484,1,3.96E-05
K03933,L4_7,939811,1,0.008922996,0.008922996,1,7.29E-05
K03933,L4_8,922761,2,0.17452007,0.34904014,1,0.002851101
K03933,L4_9,922761,2,0.015723765,0.03144753,0.666666667,0.000256876
K03933,L4_9,939811,1,0.015723765,0.015723765,0.333333333,0.000128438
K03933,L5_B,922761,2,0.828500414,1.657000828,0.5,0.013535054
K03933,L5_B,817734,1,0.828500414,0.828500414,0.25,0.006767527
K03933,L5_B,646549,2,0.414250207,0.828500414,0.25,0.006767527
K03933,L6_7,939811,1,0.071932096,0.071932096,1,0.00058757
K03933,L6_B,939811,1,2.185730465,2.185730465,1,0.017853932
K03933,L8_B,939811,1,0.059341312,0.059341312,1,0.000484724
K03933,L9_7,922761,2,0.010551862,0.021103724,0.105263155,0.000172384
K03933,L9_7,817734,1,0.010551862,0.010551862,0.052631577,8.62E-05
K03933,L9_7,939811,1,0.126622348,0.126622348,0.631578948,0.001034303
K03933,L9_7,839235,1,0.04220745,0.04220745,0.210526319,0.000344768
K03933,L9_8,939811,1,0.019391118,0.019391118,1,0.000158395
K03933,L9_9,922761,2,0.009044044,0.018088088,0.068965514,0.000147751
K03933,L9_9,797229,1,0.036176178,0.036176178,0.137931036,0.000295502
K03933,L9_9,817734,1,0.009044044,0.009044044,0.034482757,7.39E-05
K03933,L9_9,646549,2,0.018088088,0.036176176,0.137931029,0.000295502
K03933,L9_9,939811,1,0.144704712,0.144704712,0.551724145,0.001182007
K03933,L9_9,839235,1,0.018088089,0.018088089,0.068965518,0.000147751
K03933,S16_4,797229,1,1.200222006,1.200222006,0.508823529,0.009803899
K03933,S16_4,939811,1,1.137782712,1.137782712,0.482352941,0.00929387
K03933,S16_4,839235,1,0.020813098,0.020813098,0.008823529,0.00017001
K03933,S16_5,797229,1,2.638471239,2.638471239,0.666666667,0.021552102
K03933,S16_5,939811,1,1.31923562,1.31923562,0.333333333,0.010776051
K03933,S16_A,922761,2,0.236616386,0.473232772,0.800000001,0.003865557
K03933,S16_A,646549,2,0.029577048,0.059154096,0.099999999,0.000483195
K03933,S16_A,839235,1,0.007394262,0.007394262,0.0125,6.04E-05
K03933,S16_A,836783,1,0.051759834,0.051759834,0.087499999,0.000422795
K03933,S17_4,797229,1,0.020913939,0.020913939,0.005208333,0.000170834
K03933,S17_4,939811,1,3.785422984,3.785422984,0.942708333,0.030920868
K03933,S17_4,585394,2,0.104569696,0.209139392,0.052083333,0.001708335
K03933,S17_5,797229,1,0.096548395,0.096548395,0.106666667,0.000788646
K03933,S17_5,939811,1,0.808592808,0.808592808,0.893333333,0.006604914
K03933,S17_6,797229,1,3.854646004,3.854646004,0.773178808,0.03148631
K03933,S17_6,817734,1,0.00825406,0.00825406,0.001655629,6.74E-05
K03933,S17_6,939811,1,1.106044036,1.106044036,0.221854305,0.009034616
K03933,S17_6,839235,1,0.01650812,0.01650812,0.003311258,0.000134845
K03933,S17_A,797229,1,0.202713239,0.202713239,0.764705883,0.001655844
K03933,S17_A,585394,2,0.031186652,0.062373304,0.235294117,0.00050949
K03933,S18_4,797229,1,0.187211982,0.187211982,0.087248322,0.001529223
K03933,S18_4,939811,1,1.958525346,1.958525346,0.912751678,0.015998028
K03933,S18_5,939811,1,0.887978143,0.887978143,1,0.007253365
K03933,S18_6,877752,1,0.021523892,0.021523892,0.003257329,0.000175816
K03933,S18_6,939811,1,6.586310804,6.586310804,0.996742671,0.053799654
K03933,S18_A,974121,2,0.038716338,0.077432676,0.005451242,0.000632501
K03933,S18_A,797229,1,14.06693625,14.06693625,0.990308904,0.114904432
K03933,S18_A,939811,1,0.060225416,0.060225416,0.004239855,0.000491946
K03933,S19_4,939811,1,0.289473684,0.289473684,1,0.002364538
K03933,S19_5,877752,1,0.007147452,0.007147452,0.005128205,5.84E-05
K03933,S19_5,797229,1,0.142949039,0.142949039,0.102564103,0.001167666
K03933,S19_5,817734,1,0.021442356,0.021442356,0.015384616,0.00017515
K03933,S19_5,646549,2,0.042884712,0.085769424,0.061538462,0.000700599
K03933,S19_5,939811,1,1.115002502,1.115002502,0.799999999,0.009107792
K03933,S19_5,839235,1,0.021442356,0.021442356,0.015384616,0.00017515
K03933,S19_6,797229,1,0.050745322,0.050745322,0.012618297,0.000414508
K03933,S19_6,646549,2,0.006343165,0.01268633,0.003154574,0.000103627
K03933,S19_6,939811,1,3.95813511,3.95813511,0.984227129,0.03233165
K03933,S19_A,922761,2,0.048854148,0.097708296,0.209523809,0.000798121
K03933,S19_A,797229,1,0.159886303,0.159886303,0.342857143,0.001306016
K03933,S19_A,646549,2,0.075501865,0.15100373,0.323809523,0.00123346
K03933,S19_A,839235,1,0.057736721,0.057736721,0.123809525,0.000471617
K03933,S20_1_4,922761,2,0.031658093,0.063316186,0.011820331,0.000517192
K03933,S20_1_4,974121,2,0.037989711,0.075979422,0.014184397,0.000620631
K03933,S20_1_4,797229,1,0.528690146,0.528690146,0.098699764,0.004318555
K03933,S20_1_4,646549,2,0.058567471,0.117134942,0.021867612,0.000956806
K03933,S20_1_4,939811,1,4.565096952,4.565096952,0.852245863,0.037289561
K03933,S20_1_4,585394,2,0.003165809,0.006331618,0.001182033,5.17E-05
K03933,S20_1_5,256215,1,0.012975638,0.012975638,0.001416932,0.00010599
K03933,S20_1_5,797229,1,0.038926915,0.038926915,0.004250797,0.000317971
K03933,S20_1_5,646549,2,0.022707368,0.045414736,0.004959263,0.000370966
K03933,S20_1_5,939811,1,9.05699549,9.05699549,0.989018774,0.073981207
K03933,S20_1_5,1104592,1,0.00324391,0.00324391,0.000354233,2.65E-05
K03933,S20_1_6,797229,1,0.074242292,0.074242292,0.018743109,0.000606441
K03933,S20_1_6,939811,1,3.88680234,3.88680234,0.981256891,0.031748976
K03933,S20_1_A,974121,2,0.025392526,0.050785052,0.144578313,0.000414833
K03933,S20_1_A,797229,1,0.245461086,0.245461086,0.698795181,0.002005026
K03933,S20_1_A,426919,1,0.029624614,0.029624614,0.08433735,0.000241986
K03933,S20_1_A,817734,1,0.025392526,0.025392526,0.072289156,0.000207416
K03933,S20_2_4,797229,1,0.074349442,0.074349442,0.058823529,0.000607316
K03933,S20_2_4,939811,1,1.189591078,1.189591078,0.941176471,0.009717062
K03933,S20_2_5,974121,2,0.009133254,0.018266508,0.004728132,0.000149208
K03933,S20_2_5,797229,1,0.036533017,0.036533017,0.009456265,0.000298416
K03933,S20_2_5,817734,1,0.009133254,0.009133254,0.002364066,7.46E-05
K03933,S20_2_5,646549,2,0.018266508,0.036533016,0.009456265,0.000298416
K03933,S20_2_5,939811,1,3.708101196,3.708101196,0.959810875,0.030289272
K03933,S20_2_5,164660,2,0.027399763,0.054799526,0.014184397,0.000447625
K03933,S20_2_6,326605,1,0.008827684,0.008827684,0.003968254,7.21E-05
K03933,S20_2_6,797229,1,0.013241525,0.013241525,0.005952381,0.000108162
K03933,S20_2_6,817734,1,0.013241525,0.013241525,0.005952381,0.000108162
K03933,S20_2_6,939811,1,2.189265536,2.189265536,0.984126984,0.017882807
K03933,S20_2_A,974121,2,0.059772863,0.119545726,0.158730158,0.000976498
K03933,S20_2_A,797229,1,0.549910341,0.549910341,0.73015873,0.00449189
K03933,S20_2_A,839235,1,0.011954573,0.011954573,0.015873016,9.76E-05
K03933,S20_2_A,573270,1,0.071727436,0.071727436,0.095238095,0.000585899
K03933,S20_3_4,797229,1,0.034581136,0.034581136,0.02173913,0.000282473
K03933,S20_3_4,939811,1,1.55615112,1.55615112,0.97826087,0.012711273
K03933,S20_3_5,797229,1,0.055637982,0.055637982,0.019736842,0.000454474
K03933,S20_3_5,939811,1,2.763353116,2.763353116,0.980263158,0.022572187
K03933,S20_3_6,797229,1,0.036950363,0.036950363,0.023255814,0.000301826
K03933,S20_3_6,939811,1,1.527281684,1.527281684,0.96124031,0.012475455
K03933,S20_3_6,585394,2,0.012316788,0.024633576,0.015503876,0.000201217
K03933,S20_3_A,922761,2,0.201235168,0.402470336,0.135831382,0.003287541
K03933,S20_3_A,326605,1,1.308028589,1.308028589,0.441451991,0.010684507
K03933,S20_3_A,974121,2,0.159600305,0.31920061,0.107728337,0.00260736
K03933,S20_3_A,797229,1,0.117965443,0.117965443,0.039812646,0.00096359
K03933,S20_3_A,817734,1,0.124904587,0.124904587,0.042154567,0.001020271
K03933,S20_3_A,646549,2,0.052043578,0.104087156,0.035128806,0.000850226
K03933,S20_3_A,839235,1,0.405939907,0.405939907,0.137002342,0.003315882
K03933,S20_3_A,836783,1,0.180417736,0.180417736,0.06088993,0.001473725
K03933,S20_4_4,797229,1,0.076533053,0.076533053,0.037735849,0.000625153
K03933,S20_4_4,939811,1,1.951592844,1.951592844,0.962264151,0.015941401
K03933,S20_4_5,797229,1,0.131685575,0.131685575,0.040752351,0.001075661
K03933,S20_4_5,939811,1,3.09967585,3.09967585,0.959247649,0.025319408
K03933,S20_4_6,797229,1,0.030179568,0.030179568,0.032258064,0.000246519
K03933,S20_4_6,939811,1,0.905387052,0.905387052,0.967741936,0.007395568
K03933,S20_4_A,974121,2,0.00825355,0.0165071,0.021857926,0.000134837
K03933,S20_4_A,797229,1,0.718058765,0.718058765,0.950819669,0.005865395
K03933,S20_4_A,839235,1,0.020633873,0.020633873,0.027322405,0.000168546
K03933,S16_6,974121,2,0.02611958,0.05223916,0.017160686,0.000426711
K03933,S16_6,797229,1,1.210998718,1.210998718,0.397815913,0.009891928
K03933,S16_6,646549,2,0.047490146,0.094980292,0.031201248,0.000775837
K03933,S16_6,939811,1,1.669278625,1.669278625,0.548361934,0.013635344
K03933,S16_6,839235,1,0.007123522,0.007123522,0.002340094,5.82E-05
K03933,S16_6,1104592,1,0.009498029,0.009498029,0.003120125,7.76E-05
K01183,L0_7,4424725,1,0.029620853,0.029620853,0.142857143,9.87E-06
K01183,L0_7,939811,3,0.029620853,0.088862559,0.428571429,2.96E-05
K01183,L0_7,328043,3,0.029620853,0.088862559,0.428571429,2.96E-05
K01183,L0_8,939811,3,0.036873156,0.110619468,0.6,3.69E-05
K01183,L0_8,836783,2,0.036873156,0.073746312,0.4,2.46E-05
K01183,L0_9,4424725,1,0.030921459,0.030921459,0.142857143,1.03E-05
K01183,L0_9,316869,3,0.030921459,0.092764377,0.428571429,3.09E-05
K01183,L0_9,939811,3,0.030921459,0.092764377,0.428571429,3.09E-05
K01183,L0_B,316869,3,0.074092368,0.222277104,0.473684211,7.41E-05
K01183,L0_B,328043,3,0.049394912,0.148184736,0.315789474,4.94E-05
K01183,L0_B,79309,2,0.049394912,0.098789824,0.210526316,3.29E-05
K01183,L10_7,4424725,1,0.00699888,0.00699888,0.002439024,2.33E-06
K01183,L10_7,797229,1,0.00699888,0.00699888,0.002439024,2.33E-06
K01183,L10_7,275246,3,0.713885778,2.141657334,0.746341464,0.000713657
K01183,L10_7,939811,3,0.209966406,0.629899218,0.219512196,0.000209899
K01183,L10_7,1010927,3,0.02799552,0.08398656,0.029268292,2.80E-05
K01183,L10_8,275246,3,1.339060132,4.017180396,0.929824561,0.001338632
K01183,L10_8,939811,3,0.101061142,0.303183426,0.070175439,0.000101029
K01183,L10_9,275246,3,1.36383009,4.09149027,0.880733945,0.001363394
K01183,L10_9,939811,3,0.170478762,0.511436286,0.110091744,0.000170424
K01183,L10_9,585394,3,0.014206563,0.042619689,0.009174312,1.42E-05
K01183,L10_B,275246,3,0.305004852,0.915014556,1,0.000304907
K01183,L11_7,275246,3,0.316725546,0.950176638,1,0.000316624
K01183,L11_8,797229,1,0.005360206,0.005360206,0.003773585,1.79E-06
K01183,L11_8,275246,3,0.375214408,1.125643224,0.792452832,0.000375094
K01183,L11_8,939811,3,0.042881646,0.128644938,0.090566037,4.29E-05
K01183,L11_8,1010927,3,0.053602058,0.160806174,0.113207547,5.36E-05
K01183,L11_9,797229,1,0.00530307,0.00530307,0.001694915,1.77E-06
K01183,L11_9,275246,3,0.869703558,2.609110674,0.833898306,0.000869425
K01183,L11_9,554415,1,0.00530307,0.00530307,0.001694915,1.77E-06
K01183,L11_9,646549,1,0.01060614,0.01060614,0.00338983,3.53E-06
K01183,L11_9,939811,3,0.127273692,0.381821076,0.122033899,0.000127233
K01183,L11_9,1010927,3,0.01060614,0.03181842,0.010169491,1.06E-05
K01183,L11_9,1033018,2,0.042424564,0.084849128,0.027118644,2.83E-05
K01183,L11_B,275246,3,0.173451689,0.520355067,0.531249998,0.000173396
K01183,L11_B,208171,3,0.142842568,0.428527704,0.4375,0.000142797
K01183,L11_B,585394,3,0.010203041,0.030609123,0.031250001,1.02E-05
K01183,L12_7,275246,3,2.642159678,7.926479034,0.859813084,0.002641315
K01183,L12_7,939811,3,0.229753016,0.689259048,0.074766355,0.00022968
K01183,L12_7,1010927,3,0.172314762,0.516944286,0.056074766,0.00017226
K01183,L12_7,208171,3,0.028719127,0.086157381,0.009345794,2.87E-05
