Gene,Sample,OTU,GeneCountPerGenome,OTUAbundanceInSample,CountContributedByOTU,ContributionPercentOfSample,ContributionPercentOfAllSamples
K01183,L9_7,275246,3,1.287327214,3.861981642,0.857142858,0.001286916
K01183,L9_7,817734,1,0.010551862,0.010551862,0.00234192,3.52E-06
K01183,L9_7,939811,3,0.126622348,0.379867044,0.084309133,0.000126582
K01183,L9_7,1010927,3,0.04220745,0.12662235,0.028103045,4.22E-05
K01183,L9_7,839235,1,0.04220745,0.04220745,0.009367682,1.41E-05
K01183,L9_8,275246,3,0.077564476,0.232693428,0.800000008,7.75E-05
K01183,L9_8,939811,3,0.019391118,0.058173354,0.199999992,1.94E-05
K01183,L9_9,922761,1,0.009044044,0.009044044,0.003144654,3.01E-06
K01183,L9_9,4424725,1,0.235145157,0.235145157,0.081761006,7.84E-05
K01183,L9_9,797229,1,0.036176178,0.036176178,0.012578616,1.21E-05
K01183,L9_9,275246,3,0.596906936,1.790720808,0.622641509,0.000596716
K01183,L9_9,817734,1,0.009044044,0.009044044,0.003144654,3.01E-06
K01183,L9_9,646549,1,0.018088088,0.018088088,0.006289308,6.03E-06
K01183,L9_9,939811,3,0.144704712,0.434114136,0.150943396,0.000144658
K01183,L9_9,1010927,3,0.108528534,0.325585602,0.113207547,0.000108494
K01183,L9_9,839235,1,0.018088089,0.018088089,0.006289308,6.03E-06
K01183,L9_B,275246,3,0.473884826,1.421654478,0.867924529,0.000473733
K01183,L9_B,208171,3,0.05150922,0.15452766,0.094339622,5.15E-05
K01183,L9_B,328043,3,0.020603688,0.061811064,0.037735849,2.06E-05
K01183,S16_4,797229,1,1.200222006,1.200222006,0.014473354,0.000399946
K01183,S16_4,275246,3,24.85083946,74.55251838,0.899021166,0.024842892
K01183,S16_4,1074016,2,0.027750798,0.055501596,0.000669288,1.85E-05
K01183,S16_4,939811,3,1.137782712,3.413348136,0.041161215,0.001137419
K01183,S16_4,1010927,3,0.985153324,2.955459972,0.035639588,0.000984838
K01183,S16_4,839235,1,0.020813098,0.020813098,0.000250983,6.94E-06
K01183,S16_4,208171,3,0.235881781,0.707645343,0.008533423,0.000235806
K01183,S16_4,741010,3,0.006937699,0.020813097,0.000250983,6.94E-06
K01183,S16_5,797229,1,2.638471239,2.638471239,0.036647804,0.000879209
K01183,S16_5,275246,3,21.04956834,63.14870503,0.87712207,0.021042837
K01183,S16_5,939811,3,1.31923562,3.95770686,0.054971706,0.001318814
K01183,S16_5,1010927,3,0.601416238,1.804248714,0.025060631,0.000601224
K01183,S16_5,1033018,2,0.019400524,0.038801048,0.000538938,1.29E-05
K01183,S16_5,208171,3,0.135803667,0.407411001,0.005658852,0.00013576
K01183,S16_A,922761,1,0.236616386,0.236616386,0.041450777,7.88E-05
K01183,S16_A,941487,2,0.051759834,0.103519668,0.018134715,3.45E-05
K01183,S16_A,275246,3,1.671103224,5.013309672,0.878238342,0.001670569
K01183,S16_A,646549,1,0.029577048,0.029577048,0.005181347,9.86E-06
K01183,S16_A,906197,1,0.022182786,0.022182786,0.00388601,7.39E-06
K01183,S16_A,839235,1,0.007394262,0.007394262,0.001295337,2.46E-06
K01183,S16_A,581409,2,0.007394262,0.014788524,0.002590674,4.93E-06
K01183,S16_A,1033018,2,0.022182786,0.044365572,0.007772021,1.48E-05
K01183,S16_A,836783,2,0.051759834,0.103519668,0.018134715,3.45E-05
K01183,S16_A,208171,3,0.044365572,0.133096716,0.023316062,4.44E-05
K01183,S17_4,797229,1,0.020913939,0.020913939,9.53E-05,6.97E-06
K01183,S17_4,275246,3,68.68137614,206.0441284,0.939090649,0.068659411
K01183,S17_4,939811,3,3.785422984,11.35626895,0.05175865,0.003784212
K01183,S17_4,1010927,3,0.376450904,1.129352712,0.005147269,0.000376331
K01183,S17_4,746675,2,0.020913939,0.041827878,0.00019064,1.39E-05
K01183,S17_4,208171,3,0.135940605,0.407821815,0.001858736,0.000135897
K01183,S17_4,4481782,3,0.031370909,0.094112727,0.000428939,3.14E-05
K01183,S17_4,585394,3,0.104569696,0.313709088,0.001429797,0.000104536
K01183,S17_5,797229,1,0.096548395,0.096548395,0.000888099,3.22E-05
K01183,S17_5,275246,3,34.32295438,102.9688631,0.947158082,0.034311978
K01183,S17_5,939811,3,0.808592808,2.425778424,0.022313499,0.000808334
K01183,S17_5,1010927,3,0.657735941,1.973207823,0.018150533,0.000657526
K01183,S17_5,208171,3,0.416364953,1.249094859,0.011489787,0.000416232
K01183,S17_6,797229,1,3.854646004,3.854646004,0.243832398,0.001284471
K01183,S17_6,275246,3,2.45145581,7.35436743,0.465213419,0.002450672
K01183,S17_6,817734,1,0.00825406,0.00825406,0.000522125,2.75E-06
K01183,S17_6,939811,3,1.106044036,3.318132108,0.20989427,0.00110569
K01183,S17_6,1010927,3,0.309527248,0.928581744,0.058739068,0.000309428
K01183,S17_6,839235,1,0.01650812,0.01650812,0.00104425,5.50E-06
K01183,S17_6,208171,3,0.109366295,0.328098885,0.020754471,0.000109331
K01183,S17_A,797229,1,0.202713239,0.202713239,0.41935484,6.75E-05
K01183,S17_A,275246,3,0.031186652,0.093559956,0.193548387,3.12E-05
K01183,S17_A,208171,3,0.031186652,0.093559956,0.193548387,3.12E-05
K01183,S17_A,585394,3,0.031186652,0.093559956,0.193548387,3.12E-05
K01183,S18_4,797229,1,0.187211982,0.187211982,0.003306206,6.24E-05
K01183,S18_4,275246,3,16.41705069,49.25115208,0.869786368,0.0164118
K01183,S18_4,1074016,2,0.115207374,0.230414748,0.004069176,7.68E-05
K01183,S18_4,939811,3,1.958525346,5.875576038,0.103763988,0.001957899
K01183,S18_4,1010927,3,0.230414746,0.691244238,0.012207528,0.000230341
K01183,S18_4,581409,2,0.014400922,0.028801844,0.000508647,9.60E-06
K01183,S18_4,1033018,2,0.028801844,0.057603688,0.001017294,1.92E-05
K01183,S18_4,208171,3,0.100806452,0.302419356,0.005340794,0.000100774
K01183,S18_5,275246,3,9.68579235,29.05737705,0.857315598,0.009682695
K01183,S18_5,939811,3,0.887978143,2.663934429,0.07859734,0.000887694
K01183,S18_5,1010927,3,0.382513662,1.147540986,0.033857316,0.000382391
K01183,S18_5,208171,3,0.31420765,0.94262295,0.027811366,0.000314107
K01183,S18_5,4481782,3,0.027322404,0.081967212,0.00241838,2.73E-05
K01183,S18_6,877752,1,0.021523892,0.021523892,0.000568505,7.17E-06
K01183,S18_6,275246,3,5.51011623,16.53034869,0.436611711,0.005508354
K01183,S18_6,939811,3,6.586310804,19.75893241,0.521887436,0.006584204
K01183,S18_6,1010927,3,0.301334482,0.904003446,0.023877203,0.000301238
K01183,S18_6,208171,3,0.215238916,0.645716748,0.017055145,0.00021517
K01183,S18_A,974121,2,0.038716338,0.077432676,0.004023245,2.58E-05
K01183,S18_A,4433019,3,0.060225415,0.180676245,0.009387573,6.02E-05
K01183,S18_A,797229,1,14.06693625,14.06693625,0.730889584,0.004687479
K01183,S18_A,275246,3,1.393788178,4.181364534,0.217255252,0.001393342
K01183,S18_A,939811,3,0.060225416,0.180676248,0.009387573,6.02E-05
K01183,S18_A,1010927,3,0.051621784,0.154865352,0.008046491,5.16E-05
K01183,S18_A,581409,2,0.021509077,0.043018154,0.002235136,1.43E-05
K01183,S18_A,962736,1,0.021509077,0.021509077,0.001117568,7.17E-06
K01183,S18_A,1033018,2,0.137658092,0.275316184,0.014304873,9.17E-05
K01183,S18_A,208171,3,0.021509077,0.064527231,0.003352705,2.15E-05
K01183,S19_4,275246,3,17.98684211,53.96052632,0.932469304,0.01798109
K01183,S19_4,939811,3,0.289473684,0.868421052,0.015006821,0.000289381
K01183,S19_4,1010927,3,0.52631579,1.57894737,0.02728513,0.000526147
K01183,S19_4,208171,3,0.486842105,1.460526315,0.025238745,0.000486686
K01183,S19_5,877752,1,0.007147452,0.007147452,9.72E-05,2.38E-06
K01183,S19_5,797229,1,0.142949039,0.142949039,0.001944012,4.76E-05
K01183,S19_5,275246,3,21.4423558,64.3270674,0.874805599,0.021435498
K01183,S19_5,817734,1,0.021442356,0.021442356,0.000291602,7.15E-06
K01183,S19_5,646549,1,0.042884712,0.042884712,0.000583204,1.43E-05
K01183,S19_5,939811,3,1.115002502,3.345007506,0.045489891,0.001114646
K01183,S19_5,1010927,3,0.95775856,2.87327568,0.03907465,0.000957452
K01183,S19_5,839235,1,0.021442356,0.021442356,0.000291602,7.15E-06
K01183,S19_5,581409,2,0.007147452,0.014294904,0.000194401,4.76E-06
K01183,S19_5,1033018,2,0.014294904,0.028589808,0.000388802,9.53E-06
K01183,S19_5,208171,3,0.893431491,2.680294473,0.036450233,0.000893146
K01183,S19_5,325947,2,0.014294904,0.028589808,0.000388802,9.53E-06
K01183,S19_6,797229,1,0.050745322,0.050745322,0.000565691,1.69E-05
K01183,S19_6,275246,3,22.58166825,67.74500475,0.755197285,0.022574446
K01183,S19_6,646549,1,0.006343165,0.006343165,7.07E-05,2.11E-06
K01183,S19_6,939811,3,3.95813511,11.87440533,0.132371659,0.003956869
K01183,S19_6,1010927,3,2.65144307,7.95432921,0.088672041,0.002650595
K01183,S19_6,208171,3,0.67871868,2.03615604,0.022698345,0.000678502
K01183,S19_6,4481782,3,0.006343165,0.019029495,0.000212134,6.34E-06
K01183,S19_6,741010,3,0.006343165,0.019029495,0.000212134,6.34E-06
K01183,S19_A,922761,1,0.048854148,0.048854148,0.042145594,1.63E-05
K01183,S19_A,797229,1,0.159886303,0.159886303,0.137931034,5.33E-05
K01183,S19_A,275246,3,0.22206431,0.66619293,0.574712644,0.000221993
K01183,S19_A,646549,1,0.075501865,0.075501865,0.065134099,2.52E-05
K01183,S19_A,1010927,3,0.008882572,0.026647716,0.022988505,8.88E-06
K01183,S19_A,839235,1,0.057736721,0.057736721,0.049808429,1.92E-05
K01183,S19_A,581409,2,0.03553029,0.07106058,0.061302683,2.37E-05
K01183,S19_A,741010,3,0.017765145,0.053295435,0.045977012,1.78E-05
K01183,S20_1_4,922761,1,0.031658093,0.031658093,0.000153475,1.05E-05
K01183,S20_1_4,974121,2,0.037989711,0.075979422,0.000368341,2.53E-05
K01183,S20_1_4,797229,1,0.528690146,0.528690146,0.00256304,0.000176174
K01183,S20_1_4,275246,3,58.14325288,174.4297586,0.845619043,0.058124658
K01183,S20_1_4,1074016,2,0.074396517,0.148793034,0.000721335,4.96E-05
K01183,S20_1_4,646549,1,0.058567471,0.058567471,0.00028393,1.95E-05
K01183,S20_1_4,939811,3,4.565096952,13.69529086,0.06639348,0.004563637
K01183,S20_1_4,1010927,3,2.757419866,8.272259598,0.040103136,0.002756538
K01183,S20_1_4,581409,2,0.006331619,0.012663238,6.14E-05,4.22E-06
K01183,S20_1_4,1033018,2,0.079145231,0.158290462,0.000767377,5.27E-05
K01183,S20_1_4,746675,2,0.069647804,0.139295608,0.000675292,4.64E-05
K01183,S20_1_4,208171,3,2.817570241,8.452710723,0.040977946,0.002816669
K01183,S20_1_4,741010,3,0.087059755,0.261179265,0.001266172,8.70E-05
K01183,S20_1_4,585394,3,0.003165809,0.009497427,4.60E-05,3.16E-06
K01183,S20_1_5,797229,1,0.038926915,0.038926915,0.000244111,1.30E-05
K01183,S20_1_5,275246,3,35.56622442,106.6986733,0.669107775,0.03555485
K01183,S20_1_5,646549,1,0.022707368,0.022707368,0.000142398,7.57E-06
K01183,S20_1_5,906197,1,0.009731729,0.009731729,6.10E-05,3.24E-06
K01183,S20_1_5,939811,3,9.05699549,27.17098647,0.170389357,0.009054099
K01183,S20_1_5,1010927,3,2.73137185,8.19411555,0.051385329,0.002730498
K01183,S20_1_5,581409,2,0.032439096,0.064878192,0.000406851,2.16E-05
K01183,S20_1_5,1033018,2,0.051902552,0.103805104,0.000650962,3.46E-05
K01183,S20_1_5,1104592,1,0.00324391,0.00324391,2.03E-05,1.08E-06
K01183,S20_1_5,208171,3,5.709280826,17.12784248,0.107408764,0.005707455
K01183,S20_1_5,325947,2,0.009731729,0.019463458,0.000122055,6.49E-06
K01183,S20_1_5,741010,3,0.00324391,0.00973173,6.10E-05,3.24E-06
K01183,S20_1_6,797229,1,0.074242292,0.074242292,0.000720064,2.47E-05
K01183,S20_1_6,275246,3,24.26412788,72.79238364,0.706001949,0.024256368
K01183,S20_1_6,939811,3,3.88680234,11.66040702,0.113092465,0.003885559
K01183,S20_1_6,1010927,3,0.882173116,2.646519348,0.025668177,0.000881891
K01183,S20_1_6,208171,3,5.310507467,15.9315224,0.154517345,0.005308809
K01183,S20_1_A,974121,2,0.025392526,0.050785052,0.001179941,1.69E-05
K01183,S20_1_A,797229,1,0.245461086,0.245461086,0.005703048,8.18E-05
K01183,S20_1_A,275246,3,0.600956452,1.802869356,0.041887906,0.000600764
K01183,S20_1_A,426919,1,0.029624614,0.029624614,0.000688299,9.87E-06
K01183,S20_1_A,817734,1,0.025392526,0.025392526,0.00058997,8.46E-06
K01183,S20_1_A,581409,2,0.008464175,0.01692835,0.000393314,5.64E-06
K01183,S20_1_A,1033018,2,0.076177578,0.152355156,0.003539823,5.08E-05
K01183,S20_1_A,208171,3,13.54691269,40.64073808,0.944247788,0.01354258
K01183,S20_1_A,741010,3,0.025392526,0.076177578,0.001769911,2.54E-05
K01183,S20_2_4,797229,1,0.074349442,0.074349442,0.000365764,2.48E-05
K01183,S20_2_4,275246,3,62.60223048,187.8066914,0.923920995,0.06258221
K01183,S20_2_4,939811,3,1.189591078,3.568773234,0.017556693,0.001189211
K01183,S20_2_4,1010927,3,2.52788104,7.58364312,0.037307974,0.002527073
K01183,S20_2_4,208171,3,1.412639405,4.237918215,0.020848574,0.001412188
K01183,S20_2_5,974121,2,0.009133254,0.018266508,8.22E-05,6.09E-06
K01183,S20_2_5,797229,1,0.036533017,0.036533017,0.000164312,1.22E-05
K01183,S20_2_5,275246,3,62.32532652,186.9759796,0.840946434,0.062305394
K01183,S20_2_5,817734,1,0.009133254,0.009133254,4.11E-05,3.04E-06
K01183,S20_2_5,1074016,2,0.018266508,0.036533016,0.000164312,1.22E-05
K01183,S20_2_5,646549,1,0.018266508,0.018266508,8.22E-05,6.09E-06
K01183,S20_2_5,939811,3,3.708101196,11.12430359,0.050032862,0.003706915
K01183,S20_2_5,1010927,3,5.973148232,17.9194447,0.080594808,0.005971238
K01183,S20_2_5,581409,2,0.04566627,0.09133254,0.000410779,3.04E-05
K01183,S20_2_5,208171,3,2.009315919,6.027947757,0.027111403,0.002008673
K01183,S20_2_5,4481782,3,0.009133254,0.027399762,0.000123234,9.13E-06
K01183,S20_2_5,164660,2,0.027399763,0.054799526,0.000246467,1.83E-05
K01183,S20_2_6,797229,1,0.013241525,0.013241525,5.63E-05,4.41E-06
K01183,S20_2_6,275246,3,72.0868644,216.2605932,0.919197794,0.07206381
K01183,S20_2_6,817734,1,0.013241525,0.013241525,5.63E-05,4.41E-06
K01183,S20_2_6,939811,3,2.189265536,6.567796608,0.027915877,0.002188565
K01183,S20_2_6,1010927,3,2.551200564,7.653601692,0.032531002,0.002550385
K01183,S20_2_6,208171,3,1.584569209,4.753707627,0.020205242,0.001584062
K01183,S20_2_6,325947,2,0.004413842,0.008827684,3.75E-05,2.94E-06
K01183,S20_2_A,974121,2,0.059772863,0.119545726,0.027027027,3.98E-05
K01183,S20_2_A,797229,1,0.549910341,0.549910341,0.124324324,0.000183245
K01183,S20_2_A,275246,3,0.382546324,1.147638972,0.259459459,0.000382424
K01183,S20_2_A,839235,1,0.011954573,0.011954573,0.002702703,3.98E-06
K01183,S20_2_A,581409,2,0.023909146,0.047818292,0.010810811,1.59E-05
K01183,S20_2_A,208171,3,0.812910938,2.438732814,0.551351351,0.000812651
K01183,S20_2_A,741010,3,0.035863718,0.107591154,0.024324324,3.59E-05
K01183,S20_3_4,797229,1,0.034581136,0.034581136,0.000305717,1.15E-05
K01183,S20_3_4,275246,3,32.2555546,96.76666381,0.855472333,0.032245239
K01183,S20_3_4,939811,3,1.55615112,4.66845336,0.041271782,0.001555653
K01183,S20_3_4,1010927,3,2.783781448,8.351344344,0.073830633,0.002782891
K01183,S20_3_4,208171,3,1.097951068,3.293853204,0.029119535,0.0010976
K01183,S20_3_5,797229,1,0.055637982,0.055637982,0.000396589,1.85E-05
K01183,S20_3_5,275246,3,37.94510386,113.8353116,0.811421773,0.037932969
K01183,S20_3_5,939811,3,2.763353116,8.290059348,0.05909181,0.002762469
K01183,S20_3_5,1010927,3,5.100148368,15.3004451,0.109062066,0.005098517
K01183,S20_3_5,208171,3,0.936572699,2.809718097,0.020027761,0.000936273
K01183,S20_3_6,797229,1,0.036950363,0.036950363,0.00022899,1.23E-05
K01183,S20_3_6,275246,3,47.48121691,142.4436507,0.882757041,0.047466032
K01183,S20_3_6,939811,3,1.527281684,4.581845052,0.028394779,0.001526793
K01183,S20_3_6,1010927,3,4.089173544,12.26752063,0.076024731,0.004087866
K01183,S20_3_6,208171,3,0.665106541,1.995319623,0.012365468,0.000664894
K01183,S20_3_6,585394,3,0.012316788,0.036950364,0.00022899,1.23E-05
K01183,S20_3_A,922761,1,0.201235168,0.201235168,0.050699301,6.71E-05
K01183,S20_3_A,974121,2,0.159600305,0.31920061,0.08041958,0.000106366
K01183,S20_3_A,941487,2,0.041634862,0.083269724,0.020979021,2.77E-05
K01183,S20_3_A,797229,1,0.117965443,0.117965443,0.02972028,3.93E-05
K01183,S20_3_A,275246,3,0.360835472,1.082506416,0.272727273,0.00036072
K01183,S20_3_A,817734,1,0.124904587,0.124904587,0.031468532,4.16E-05
K01183,S20_3_A,646549,1,0.052043578,0.052043578,0.013111888,1.73E-05
K01183,S20_3_A,839235,1,0.405939907,0.405939907,0.102272727,0.00013527
K01183,S20_3_A,1033018,2,0.027756574,0.055513148,0.013986014,1.85E-05
K01183,S20_3_A,836783,2,0.180417736,0.360835472,0.090909091,0.00012024
K01183,S20_3_A,208171,3,0.37471376,1.12414128,0.283216784,0.000374594
K01183,S20_3_A,222753,3,0.013878287,0.041634861,0.01048951,1.39E-05
K01183,S20_4_4,797229,1,0.076533053,0.076533053,0.001119821,2.55E-05
K01183,S20_4_4,275246,3,19.16196307,57.48588922,0.84112542,0.019155835
K01183,S20_4_4,939811,3,1.951592844,5.854778532,0.085666293,0.001950969
K01183,S20_4_4,1010927,3,1.415861476,4.247584428,0.062150056,0.001415409
K01183,S20_4_4,581409,2,0.009566632,0.019133264,0.000279955,6.38E-06
K01183,S20_4_4,208171,3,0.220032527,0.660097581,0.009658455,0.000219962
K01183,S20_4_5,797229,1,0.131685575,0.131685575,0.002363636,4.39E-05
K01183,S20_4_5,275246,3,13.38128039,40.14384117,0.720545455,0.013377001
K01183,S20_4_5,939811,3,3.09967585,9.29902755,0.166909091,0.003098685
K01183,S20_4_5,1010927,3,1.904376012,5.713128036,0.102545455,0.001903767
K01183,S20_4_5,208171,3,0.141815234,0.425445702,0.007636364,0.00014177
K01183,S20_4_6,797229,1,0.030179568,0.030179568,0.000303628,1.01E-05
K01183,S20_4_6,275246,3,26.88999547,80.6699864,0.811598603,0.026881396
K01183,S20_4_6,939811,3,0.905387052,2.716161156,0.027326552,0.000905098
K01183,S20_4_6,1010927,3,4.768371812,14.30511544,0.143919842,0.004766847
K01183,S20_4_6,208171,3,0.558322015,1.674966045,0.016851374,0.000558143
K01183,S20_4_A,974121,2,0.00825355,0.0165071,0.014134277,5.50E-06
K01183,S20_4_A,797229,1,0.718058765,0.718058765,0.614840983,0.000239276
K01183,S20_4_A,275246,3,0.08253549,0.24760647,0.212014132,8.25E-05
K01183,S20_4_A,1010927,3,0.00825355,0.02476065,0.021201416,8.25E-06
K01183,S20_4_A,839235,1,0.020633873,0.020633873,0.017667845,6.88E-06
K01183,S20_4_A,581409,2,0.00825355,0.0165071,0.014134277,5.50E-06
K01183,S20_4_A,1033018,2,0.024760648,0.049521296,0.042402828,1.65E-05
K01183,S20_4_A,208171,3,0.00825355,0.02476065,0.021201416,8.25E-06
K01183,S20_4_A,741010,3,0.016507098,0.049521294,0.042402826,1.65E-05
K01183,S16_6,974121,2,0.02611958,0.05223916,0.000834693,1.74E-05
K01183,S16_6,797229,1,1.210998718,1.210998718,0.019349698,0.000403537
K01183,S16_6,275246,3,17.88003989,53.64011968,0.857077816,0.017874322
K01183,S16_6,646549,1,0.047490146,0.047490146,0.000758812,1.58E-05
K01183,S16_6,939811,3,1.669278625,5.007835875,0.080016694,0.001668745
K01183,S16_6,1010927,3,0.759842332,2.279526996,0.036422962,0.000759599
K01183,S16_6,839235,1,0.007123522,0.007123522,0.000113822,2.37E-06
K01183,S16_6,1033018,2,0.011872536,0.023745072,0.000379406,7.91E-06
K01183,S16_6,1104592,1,0.009498029,0.009498029,0.000151762,3.16E-06
K01183,S16_6,208171,3,0.102103813,0.306311439,0.004894335,0.000102071
K03791,L0_8,818369,1,0.036873156,0.036873156,1,0.004810274
K03791,L11_9,554415,1,0.00530307,0.00530307,0.090909085,0.00069181
K03791,L11_9,646549,1,0.01060614,0.01060614,0.181818169,0.00138362
K03791,L11_9,1033018,1,0.042424564,0.042424564,0.727272746,0.00553448
K03791,L13_9,974121,1,0.012755102,0.012755102,1,0.001663962
K03791,L14_8,922761,1,0.013627691,0.013627691,1,0.001777795
K03791,L1_7,818369,1,0.063572791,0.063572791,1,0.008293364
K03791,L17_8,922761,1,0.046129008,0.046129008,0.6,0.006017742
K03791,L17_8,646549,1,0.030752672,0.030752672,0.4,0.004011828
K03791,L1_8,541859,1,0.029129042,0.029129042,0.142857144,0.003800018
K03791,L1_8,818369,1,0.17477425,0.17477425,0.857142856,0.022800109
K03791,L18_9,2353709,1,0.033682995,0.033682995,0.197183099,0.004394102
K03791,L18_9,569456,1,0.012029641,0.012029641,0.070422535,0.001569322
K03791,L18_9,2111163,1,0.014435569,0.014435569,0.084507041,0.001883187
K03791,L18_9,325947,1,0.110672698,0.110672698,0.647887326,0.014437765
K03791,L18_B,325947,1,0.009341429,0.009341429,1,0.001218633
K03791,L1_9,818369,1,0.062227754,0.062227754,1,0.008117898
K03791,L20_7,2111163,1,0.03354354,0.03354354,1,0.00437591
K03791,L20_8,922761,1,0.017471827,0.017471827,0.222222226,0.002279281
K03791,L20_8,2111163,1,0.05241548,0.05241548,0.666666667,0.006837842
K03791,L20_8,554415,1,0.008735913,0.008735913,0.111111107,0.00113964
K03791,L20_9,236204,1,0.0066346,0.0066346,0.090909098,0.000865514
K03791,L20_9,2111163,1,0.033172997,0.033172997,0.454545451,0.004327571
K03791,L20_9,1124040,1,0.013269198,0.013269198,0.181818169,0.001731028
K03791,L20_9,1033018,1,0.0099519,0.0099519,0.136363648,0.001298271
K03791,L20_9,359570,1,0.009951899,0.009951899,0.136363634,0.001298271
K03791,L20_B,2111163,1,0.041649313,0.041649313,0.600000006,0.005433345
K03791,L20_B,1074016,1,0.027766208,0.027766208,0.399999994,0.00362223
K03791,L4_8,922761,1,0.17452007,0.17452007,1,0.02276695
K03791,L4_9,922761,1,0.015723765,0.015723765,0.833333333,0.002051238
K03791,L4_9,818369,1,0.003144753,0.003144753,0.166666667,0.000410248
K03791,L5_B,922761,1,0.828500414,0.828500414,0.285714286,0.108081707
K03791,L5_B,817734,2,0.828500414,1.657000828,0.571428571,0.216163415
K03791,L5_B,646549,1,0.414250207,0.414250207,0.142857143,0.054040854
K03791,L6_7,4327501,1,0.035966048,0.035966048,1,0.004691937
K03791,L9_7,922761,1,0.010551862,0.010551862,0.333333333,0.001376539
K03791,L9_7,817734,2,0.010551862,0.021103724,0.666666667,0.002753078
K03791,L9_9,922761,1,0.009044044,0.009044044,0.2,0.001179837
K03791,L9_9,817734,2,0.009044044,0.018088088,0.4,0.002359675
K03791,L9_9,646549,1,0.018088088,0.018088088,0.4,0.002359675
K03791,S16_4,579033,1,0.006937699,0.006937699,0.142857137,0.000905055
K03791,S16_4,1124040,1,0.013875398,0.013875398,0.285714274,0.00181011
K03791,S16_4,1074016,1,0.027750798,0.027750798,0.571428589,0.00362022
K03791,S16_5,1124040,1,0.019400524,0.019400524,0.4,0.002530888
K03791,S16_5,1033018,1,0.019400524,0.019400524,0.4,0.002530888
K03791,S16_5,541859,1,0.009700262,0.009700262,0.2,0.001265444
K03791,S16_A,922761,1,0.236616386,0.236616386,0.666666669,0.030867701
K03791,S16_A,941487,1,0.051759834,0.051759834,0.145833333,0.00675231
K03791,S16_A,646549,1,0.029577048,0.029577048,0.083333333,0.003858463
K03791,S16_A,581409,1,0.007394262,0.007394262,0.020833333,0.000964616
K03791,S16_A,1033018,1,0.022182786,0.022182786,0.0625,0.002893847
K03791,S16_A,780788,1,0.007394262,0.007394262,0.020833333,0.000964616
K03791,S17_6,2111163,1,0.010317575,0.010317575,0.3125,0.001345975
K03791,S17_6,817734,2,0.00825406,0.01650812,0.5,0.002153561
K03791,S17_6,359570,1,0.006190545,0.006190545,0.1875,0.000807585
K03791,S18_4,1074016,1,0.115207374,0.115207374,0.727272724,0.015029334
K03791,S18_4,581409,1,0.014400922,0.014400922,0.090909092,0.001878667
K03791,S18_4,1033018,1,0.028801844,0.028801844,0.181818184,0.003757334
K03791,S18_6,877752,1,0.021523892,0.021523892,1,0.002807891
K03791,S18_A,974121,1,0.038716338,0.038716338,0.149999998,0.005050725
K03791,S18_A,1124040,1,0.060225416,0.060225416,0.233333336,0.007856684
K03791,S18_A,581409,1,0.021509077,0.021509077,0.083333334,0.002805958
K03791,S18_A,1033018,1,0.137658092,0.137658092,0.533333332,0.017958134
K03791,S19_5,877752,1,0.007147452,0.007147452,0.055555556,0.000932418
K03791,S19_5,817734,2,0.021442356,0.042884712,0.333333333,0.005594509
K03791,S19_5,646549,1,0.042884712,0.042884712,0.333333333,0.005594509
K03791,S19_5,581409,1,0.007147452,0.007147452,0.055555556,0.000932418
K03791,S19_5,1033018,1,0.014294904,0.014294904,0.111111111,0.001864836
K03791,S19_5,325947,1,0.014294904,0.014294904,0.111111111,0.001864836
K03791,S19_6,2111163,1,0.01268633,0.01268633,0.181818177,0.00165499
K03791,S19_6,1124040,1,0.050745322,0.050745322,0.727272735,0.006619962
K03791,S19_6,646549,1,0.006343165,0.006343165,0.090909088,0.000827495
K03791,S19_A,922761,1,0.048854148,0.048854148,0.305555555,0.006373249
K03791,S19_A,646549,1,0.075501865,0.075501865,0.47222222,0.009849567
K03791,S19_A,581409,1,0.03553029,0.03553029,0.222222225,0.004635091
K03791,S20_1_4,922761,1,0.031658093,0.031658093,0.093896715,0.004129945
K03791,S20_1_4,974121,1,0.037989711,0.037989711,0.112676056,0.004955933
K03791,S20_1_4,2111163,1,0.026909379,0.026909379,0.079812208,0.003510453
K03791,S20_1_4,1124040,1,0.022160664,0.022160664,0.065727697,0.002890961
K03791,S20_1_4,1074016,1,0.074396517,0.074396517,0.220657276,0.009705369
K03791,S20_1_4,646549,1,0.058567471,0.058567471,0.17370892,0.007640397
K03791,S20_1_4,581409,1,0.006331619,0.006331619,0.018779344,0.000825989
K03791,S20_1_4,1033018,1,0.079145231,0.079145231,0.234741783,0.010324861
K03791,S20_1_5,2111163,1,0.016219548,0.016219548,0.090909091,0.002115915
K03791,S20_1_5,1124040,1,0.032439096,0.032439096,0.181818183,0.00423183
K03791,S20_1_5,646549,1,0.022707368,0.022707368,0.127272732,0.002962281
K03791,S20_1_5,581409,1,0.032439096,0.032439096,0.181818183,0.00423183
K03791,S20_1_5,1033018,1,0.051902552,0.051902552,0.290909084,0.006770928
K03791,S20_1_5,794948,1,0.012975638,0.012975638,0.072727271,0.001692732
K03791,S20_1_5,325947,1,0.009731729,0.009731729,0.054545456,0.001269549
K03791,S20_1_6,2111163,1,0.065507905,0.065507905,0.319148938,0.008545809
K03791,S20_1_6,1124040,1,0.06114071,0.06114071,0.297872336,0.007976088
K03791,S20_1_6,541859,1,0.078609486,0.078609486,0.382978726,0.010254971
