OTU,ID
ASV2707,658233
ASV0790,830688
ASV5503,565301
ASV5509,565301
ASV4841,565301
ASV2242,237863
ASV0028,237863
ASV6143,237863
ASV0274,237863
ASV6148,237863
ASV0631,237863
ASV1808,237863
ASV6486,237863
ASV1145,798260
ASV0142,798260
ASV0025,829116
ASV6594,829116
ASV0931,829116
ASV3808,576629
ASV0636,576629
ASV2486,278130
ASV6454,922761
ASV2927,922761
ASV0763,922761
ASV1502,922761
ASV1895,922761
ASV1018,922761
ASV0306,922761
ASV3699,560243
ASV2145,550484
ASV0190,368334
ASV1240,564411
ASV1507,766159
ASV1789,511452
ASV2269,2105446
ASV2871,545495
ASV1021,544125
ASV0143,789777
ASV1055,789777
ASV1727,789777
ASV1009,789777
ASV0072,789777
ASV0207,789777
ASV1081,789777
ASV3598,789777
ASV2672,789777
ASV2571,2353709
ASV4167,902836
ASV0411,238484
ASV2459,1067865
ASV3301,224548
ASV1212,588520
ASV0390,1033018
ASV1214,1033018
ASV1260,1033018
ASV1138,1033018
ASV1983,1033018
ASV1877,877752
ASV2037,574566
ASV3082,4455120
ASV3128,955582
ASV3237,580695
ASV0059,901786
ASV0522,4424725
ASV3272,337914
ASV0741,252003
ASV1153,646909
ASV1122,1106324
ASV0908,1106324
ASV2683,1106324
ASV2001,610433
ASV6040,1051459
ASV4751,1051459
ASV4054,1051459
ASV0378,1051459
ASV1282,1051459
ASV0457,1051459
ASV3293,1051459
ASV6052,236204
ASV6267,236204
ASV4026,710141
ASV2977,661229
ASV3207,569456
ASV1425,566216
ASV3134,99071
ASV2758,163857
ASV2204,625554
ASV2674,279220
ASV3018,140826
ASV2503,2818167
ASV0538,210046
ASV0023,2556149
ASV5985,2556149
ASV2020,2556149
ASV5009,2556149
ASV2027,426919
ASV2211,576501
ASV1996,576501
ASV2726,576501
ASV1062,576501
ASV0917,576501
ASV1398,326605
ASV0302,326605
ASV3407,250187
ASV1146,4406944
ASV2092,759916
ASV4613,533417
ASV4950,533417
ASV4714,533417
ASV5717,533417
ASV5145,533417
ASV0069,533417
ASV5862,533417
ASV5912,533417
ASV5478,533417
ASV5516,533417
ASV6558,533417
ASV6058,533417
ASV5968,533417
ASV0419,4264515
ASV3235,312863
ASV0924,348567
ASV2522,897411
ASV0486,225487
ASV1914,225487
ASV0021,4308674
ASV2141,311942
ASV0187,626739
ASV2767,782472
ASV1845,546813
ASV1831,941487
ASV0546,315334
ASV2582,4433019
ASV0478,6859
ASV0391,579765
ASV0338,584010
ASV2648,1784974
ASV1600,1784974
ASV6228,1784974
ASV1283,266984
ASV1184,569939
ASV0008,797229
ASV0235,2111163
ASV1162,226108
ASV0492,585221
ASV1681,107275
ASV1858,1140859
ASV0517,846710
ASV2117,846710
ASV2578,846710
ASV1095,846710
ASV2113,593908
ASV2936,4327501
ASV0100,1084952
ASV0613,275246
ASV0004,275246
ASV3892,352392
ASV1677,352392
ASV2307,74812
ASV0949,634948
ASV0006,558264
ASV0857,979107
ASV0968,979107
ASV3125,979107
ASV0656,1045587
ASV1468,554415
ASV5585,974121
ASV1324,974121
ASV0186,974121
ASV1394,974121
ASV0495,974121
ASV1205,974121
ASV6268,974121
ASV2363,974121
ASV3218,806405
ASV2542,316869
ASV1790,579033
ASV0129,80188
ASV2075,823476
ASV1994,593894
ASV2261,47013
ASV2039,311155
ASV3227,653179
ASV1865,583850
ASV3919,888396
ASV1995,888396
ASV4737,888396
ASV1368,888396
ASV0965,888396
ASV1105,888396
ASV2497,798562
ASV0372,817734
ASV3395,282458
ASV4358,248432
ASV4725,248432
ASV0357,248432
ASV0130,248432
ASV3994,1106060
ASV6330,1010927
ASV0035,1010927
ASV3584,1141660
ASV0347,509913
ASV0308,509913
ASV3410,509913
ASV6442,788632
ASV0488,788632
ASV1002,788632
ASV1804,788632
ASV1536,788632
ASV0992,873972
ASV4905,936354
ASV0315,936354
ASV1584,153559
ASV1731,153559
ASV0307,80664
ASV1367,1052930
ASV0844,250626
ASV1669,792868
ASV1060,1074016
ASV2289,1074016
ASV2264,1074016
ASV0824,648741
ASV2863,930283
ASV3098,1011361
ASV1571,577152
ASV0920,791738
ASV0111,791738
ASV6464,1569332
ASV0494,1569332
ASV0082,1569332
ASV0822,646549
ASV6270,646549
ASV0649,646549
ASV0554,646549
ASV2586,230476
ASV0238,522986
ASV6022,522986
ASV2177,522986
ASV3136,145000
ASV1304,579147
ASV3451,36221
ASV0149,939892
ASV1617,939892
ASV0116,939892
ASV5117,939892
ASV3344,226125
ASV0298,226125
ASV0317,226125
ASV0888,226125
ASV3481,226125
ASV1649,226125
ASV1881,226125
ASV0349,349828
ASV6258,333882
ASV3178,333882
ASV1903,813945
ASV1233,813945
ASV0556,939811
ASV0024,939811
ASV4239,939811
ASV0115,559996
ASV3721,98909
ASV1252,717565
ASV3672,906197
ASV1869,3038080
ASV1043,3038080
ASV1296,4421846
ASV1229,1083508
ASV2337,1086274
ASV0336,839235
ASV4198,554795
ASV1504,568229
ASV0767,581409
ASV1099,581409
ASV0742,581409
ASV0576,581409
ASV1827,4343793
ASV2820,4343793
ASV4370,4343793
ASV0249,4343793
ASV3943,4343793
ASV0778,278562
ASV1112,805785
ASV3843,962736
ASV2980,944197
ASV0019,1040645
ASV1610,1084417
ASV1783,256215
ASV1328,816229
ASV3224,832166
ASV0623,512485
ASV4896,819702
ASV0423,808031
ASV1183,808031
ASV2371,531332
ASV1934,531332
ASV3132,531332
ASV0705,1124040
ASV6601,1124040
ASV2366,581306
ASV0581,1086621
ASV2479,256694
ASV2219,817349
ASV1181,817349
ASV0615,817349
ASV6305,1106617
ASV0154,1106617
ASV2842,1106617
ASV1902,1106617
ASV1253,1106617
ASV0267,1106617
ASV0463,1106617
ASV1115,1106617
ASV0670,1106617
ASV0223,1106617
ASV0651,1106617
ASV0350,1106617
ASV1737,1106617
ASV0733,818315
ASV0512,818315
ASV3253,224900
ASV0769,836783
ASV0033,367944
ASV3418,794581
ASV1238,356568
ASV0444,356568
ASV2848,359570
ASV2352,894654
ASV1875,894654
ASV4145,746675
ASV1906,746675
ASV2111,4344815
ASV0265,632878
ASV0092,632878
ASV0759,592957
ASV1583,4470101
ASV0568,580254
ASV1761,580254
ASV5010,580254
ASV0490,276106
ASV0251,276106
ASV0094,580411
ASV2288,228207
ASV6456,228207
ASV4181,547256
ASV2685,4393261
ASV3823,155521
ASV4030,794948
ASV3208,1104592
ASV0312,963344
ASV0806,942852
ASV2951,942852
ASV1970,942852
ASV2518,212546
ASV3645,862115
ASV0966,357624
ASV1143,541859
ASV3392,213493
ASV1963,326873
ASV0208,155812
ASV0205,940737
ASV0506,940737
ASV0042,208171
ASV0040,208171
ASV3542,1137229
ASV0898,1108275
ASV0331,1108275
ASV0297,1108275
ASV0547,1108275
ASV0475,1108275
ASV1311,1108275
ASV2727,1108275
ASV1037,1108275
ASV0193,1108275
ASV0471,1108275
ASV0485,573270
ASV2601,850214
ASV1797,4141983
ASV1510,325947
ASV2051,325947
ASV1509,532139
ASV1615,532139
ASV1449,101218
ASV3483,579924
ASV3024,818369
ASV3818,170831
ASV6458,170831
ASV0743,1097359
ASV0985,1097359
ASV0393,1097359
ASV1459,1097359
ASV3909,1097359
ASV0266,1097359
ASV0113,899488
ASV0037,899488
ASV2808,899488
ASV6516,899488
ASV1058,141461
ASV3168,541894
ASV3816,541894
ASV3517,541894
ASV0036,541894
ASV3628,541894
ASV2149,541894
ASV3223,541894
ASV0607,589792
ASV0773,988542
ASV0491,988542
ASV2172,4481782
ASV2819,241977
ASV2526,1042278
ASV0543,366851
ASV0732,4351055
ASV2856,325483
ASV0709,780788
ASV0785,332835
ASV2631,1064003
ASV1359,414943
ASV4144,807112
ASV0321,807112
ASV0730,807112
ASV0766,807112
ASV0939,807112
ASV5983,807112
ASV0342,741010
ASV0256,988314
ASV0247,988314
ASV0845,988314
ASV2124,988314
ASV0181,988314
ASV0410,988314
ASV2881,534970
ASV1661,4428547
ASV1400,589864
ASV3572,101880
ASV1489,740831
ASV1676,740831
ASV4899,838066
ASV3075,838066
ASV4818,838066
ASV1213,838066
ASV3324,328043
ASV2924,86185
ASV2967,818282
ASV0432,376032
ASV0295,376032
ASV1091,376032
ASV3696,983889
ASV4047,222753
ASV1041,572643
ASV1363,1106674
ASV0731,1106674
ASV1200,1106674
ASV0782,1106674
ASV1897,889025
ASV0289,543999
ASV0099,543999
ASV0098,543999
ASV3623,543999
ASV1952,585394
ASV2984,945478
ASV1362,279470
ASV1899,1026498
ASV2974,7505
ASV3046,918389
ASV2652,79309
ASV4270,164660
ASV1967,769643
ASV4825,769643
ASV3062,4313853
ASV0137,4313853
ASV0003,4313853
ASV0341,4313853
ASV0138,4313853
ASV0809,4313853
ASV4426,4313853
ASV6081,4313853
ASV3786,4313853
