#Sample	Metric	Value
L0_7	Weighted NSTI	0.0354465548085
L0_8	Weighted NSTI	0.245010833382
L0_9	Weighted NSTI	0.0504748353542
L0_B	Weighted NSTI	0.179078367419
L10_7	Weighted NSTI	0.238359700711
L10_8	Weighted NSTI	0.25230616228
L10_9	Weighted NSTI	0.225391735381
L10_B	Weighted NSTI	0.206113407239
L11_7	Weighted NSTI	0.282940439815
L11_8	Weighted NSTI	0.286183133273
L11_9	Weighted NSTI	0.259027821293
L11_B	Weighted NSTI	0.210838689509
L12_7	Weighted NSTI	0.261701158118
L12_9	Weighted NSTI	0.255224528715
L12_B	Weighted NSTI	0.164610127587
L13_7	Weighted NSTI	0.193584262283
L13_8	Weighted NSTI	0.205415544874
L13_9	Weighted NSTI	0.227612503265
L13_B	Weighted NSTI	0.183479579446
L14_7	Weighted NSTI	0.219642651925
L14_8	Weighted NSTI	0.160013158071
L14_9	Weighted NSTI	0.173183684239
L14_B	Weighted NSTI	0.144455375801
L16_9	Weighted NSTI	0.178794554423
L16_B	Weighted NSTI	0.171066462728
L1_7	Weighted NSTI	0.128233266932
L17_8	Weighted NSTI	0.232719219786
L17_9	Weighted NSTI	0.165749836077
L1_8	Weighted NSTI	0.106718791224
L18_9	Weighted NSTI	0.184873813808
L18_B	Weighted NSTI	0.203616646095
L1_9	Weighted NSTI	0.143985917624
L19_8	Weighted NSTI	0.148946522166
L19_B	Weighted NSTI	0.173493940303
L1_B	Weighted NSTI	0.116824208666
L20_7	Weighted NSTI	0.212327907685
L20_8	Weighted NSTI	0.24192508976
L20_9	Weighted NSTI	0.233659235558
L20_B	Weighted NSTI	0.164122852105
L2_B	Weighted NSTI	0.172903839447
L3_7	Weighted NSTI	0.134259560069
L3_B	Weighted NSTI	0.0584198010856
L4_7	Weighted NSTI	0.229642225884
L4_8	Weighted NSTI	0.236168148691
L4_9	Weighted NSTI	0.209444393009
L5_B	Weighted NSTI	0.179515645789
L6_7	Weighted NSTI	0.235246863687
L6_B	Weighted NSTI	0.0403407647706
L8_9	Weighted NSTI	0.288706936042
L8_B	Weighted NSTI	0.119920293421
L9_7	Weighted NSTI	0.261858213005
L9_8	Weighted NSTI	0.262952536097
L9_9	Weighted NSTI	0.27114864528
L9_B	Weighted NSTI	0.186307163967
S16_4	Weighted NSTI	0.222949341776
S16_5	Weighted NSTI	0.213992798693
S16_A	Weighted NSTI	0.126522680885
S17_4	Weighted NSTI	0.141370797182
S17_5	Weighted NSTI	0.191419675709
S17_6	Weighted NSTI	0.184754693143
S17_A	Weighted NSTI	0.181464190078
S18_4	Weighted NSTI	0.196231079632
S18_5	Weighted NSTI	0.165771235616
S18_6	Weighted NSTI	0.131484385757
S18_A	Weighted NSTI	0.153730617781
S19_4	Weighted NSTI	0.15928443685
S19_5	Weighted NSTI	0.167988909869
S19_6	Weighted NSTI	0.14050031141
S19_A	Weighted NSTI	0.106931718892
S20_1_4	Weighted NSTI	0.156220658794
S20_1_5	Weighted NSTI	0.159743357109
S20_1_6	Weighted NSTI	0.144474036898
S20_1_A	Weighted NSTI	0.120630824188
S20_2_4	Weighted NSTI	0.166238821293
S20_2_5	Weighted NSTI	0.164860320332
S20_2_6	Weighted NSTI	0.152262699188
S20_2_A	Weighted NSTI	0.0812456794003
S20_3_4	Weighted NSTI	0.189210208558
S20_3_5	Weighted NSTI	0.167491606869
S20_3_6	Weighted NSTI	0.181092356137
S20_3_A	Weighted NSTI	0.143279136435
S20_4_4	Weighted NSTI	0.170448384133
S20_4_5	Weighted NSTI	0.141671249928
S20_4_6	Weighted NSTI	0.170613363523
S20_4_A	Weighted NSTI	0.173055999217
S16_6	Weighted NSTI	0.212259497445
