Group,L0_7,L0_8,L0_9,L0_B,L10_7,L10_8,L10_9,L10_B,L11_7,L11_8,L11_9,L11_B,L12_7,L12_9,L12_B,L13_7,L13_8,L13_9,L13_B,L14_7,L14_8,L14_9,L14_B,L16_9,L16_B,L1_7,L17_8,L17_9,L1_8,L18_9,L18_B,L1_9,L19_8,L19_B,L1_B,L20_7,L20_8,L20_9,L20_B,L2_B,L3_7,L3_B,L4_7,L4_8,L4_9,L5_B,L6_7,L6_B,L8_9,L8_B,L9_7,L9_8,L9_9,L9_B,S16_4,S16_5,S16_A,S17_4,S17_5,S17_6,S17_A,S18_4,S18_5,S18_6,S18_A,S19_4,S19_5,S19_6,S19_A,S20_1_4,S20_1_5,S20_1_6,S20_1_A,S20_2_4,S20_2_5,S20_2_6,S20_2_A,S20_3_4,S20_3_5,S20_3_6,S20_3_A,S20_4_4,S20_4_5,S20_4_6,S20_4_A,S16_6
Otu000011,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,7,7,11,1,9,10,0,393,13,0,59,34,1,29,23,72,16,0,5,0,85,0,3,5,7,11,1,2,0,0,0,2,58,76,291,499,108,1814,41,243,925,1171,493,937,1406,3059,200,493,394,235,13,14,72,240,30,482,648,134,65,692,1297,417,126,265
Otu000012,1,0,2,3,62,17,1,2,69,265,425,11,35,51,56,28,138,98,148,14,14,7,1189,65,2107,20,16,27,146,272,2612,37,46,1875,2,84,44,206,673,1,0,0,0,2,22,10,2,0,2,2,10,11,6,4,23,62,13,0,104,209,12,15,11,9,147,53,52,123,197,3,0,0,0,0,8,0,0,87,38,27,56,565,621,689,171,430
Otu000013,0,1,0,8,122,271,55,0,317,1817,509,0,237,301,0,112,445,545,0,972,272,222,0,405,0,1,1005,859,10,21,0,1,0,0,18,0,0,0,0,224,0,0,801,30,742,0,0,0,78,0,523,674,261,0,38,35,0,0,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303
Otu000014,2,0,1,0,24,11,4,4,20,30,83,3,3,15,2,23,35,16,0,14,22,5,17,69,31,16,53,43,35,797,19,17,122,44,42,40,14,48,12,0,10,0,29,1,294,0,20,178,0,5,8,4,14,11,25,29,50,56,22,515,100,76,100,23,460,253,237,179,603,693,176,279,654,17,162,162,655,251,107,77,724,284,324,305,1785,185
Otu000015,0,0,0,0,381,344,38,322,896,774,713,107,92,34,202,2,23,12,4,0,1,0,158,4,9,0,0,10,0,23,0,0,76,0,2,8,2,1,0,16,6,0,449,18,431,1,137,0,146,8,1531,1608,1292,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Otu000016,1,1,1,4,0,0,0,65,0,0,0,98,0,0,132,0,0,0,850,0,0,0,147,0,340,0,0,0,0,0,314,0,0,153,14,0,0,0,406,4,0,0,0,0,0,6,16,0,0,0,0,0,0,23,0,0,342,0,0,0,935,0,0,0,1099,0,0,0,2774,0,0,0,27,0,0,0,70,0,0,0,329,0,0,0,2019,0
Otu000017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,2,0,0,0,1,0,0,3,0,9157,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,21,0,0,0,0,0,0,0,1,0,27,0,0,0,0,0,3,0,0,0,0,54,0,0,0,0,1
Otu000018,0,0,0,0,86,52,73,0,9,52,118,0,8,0,2,44,61,40,0,42,112,58,0,93,0,30,27,127,30,378,0,16,54,0,0,68,40,113,0,0,29,0,120,2,411,0,0,1,1,1,37,67,32,0,52,105,0,644,351,1150,0,94,212,74,41,131,181,326,6,379,145,63,0,34,263,192,0,281,141,85,0,229,442,265,0,526
Otu000019,0,0,0,2,29,3,4,0,3,63,84,3,14,0,0,5,10,9,0,10,28,6,9,78,3,0,15,16,0,157,18,0,53,5,0,32,37,62,5,0,0,0,0,0,35,0,0,18,0,0,25,18,50,5,111,41,15,38,213,238,2,38,72,40,16,104,247,239,22,1798,1086,886,378,18,298,565,78,172,196,157,49,130,158,209,18,162
Otu000020,0,0,5,1,12,3,0,2,28,77,75,1,11,0,4,0,0,0,3,0,0,0,22,0,32,0,0,0,17,0,46,4,0,33,1,0,0,0,19,3,8,0,119,4,163,2,44,83,1,3,118,21,271,11,0,0,408,0,0,0,29,0,0,0,280,0,0,0,421,0,0,0,1688,0,0,0,986,0,0,0,2694,0,0,0,694,0
Otu000021,0,0,0,0,10,1,6,4,0,3,6,33,3,0,9,1,1,0,0,13,3,2,10,3,1,0,31,17,1,18,11,0,10,8,0,91,65,257,6,0,0,0,0,0,15,0,3,0,0,0,3,0,2,132,99,90,93,40,72,59,1,36,4,28,74,10,37,64,8,520,329,223,4152,4,95,109,124,28,50,38,824,39,50,37,53,276
Otu000022,1,0,1,2,28,4,17,2,47,180,286,9,22,38,2,5,14,16,2,67,14,8,0,511,1,0,792,349,3,260,0,1,831,0,1,161,164,444,1,0,25,0,43,0,18,0,9,0,26,2,35,5,20,3,165,143,0,20,166,129,3,60,143,189,15,190,267,285,0,30,36,14,0,9,25,46,0,266,293,118,27,154,64,489,0,156
Otu000023,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,1,0,0,0,0,1,8,23,0,5,1,2,0,26,37,44,0,2491,1627,1298,1,44,358,839,1,145,167,81,0,29,13,69,1,0
