Gene,Sample,OTU,GeneCountPerGenome,OTUAbundanceInSample,CountContributedByOTU,ContributionPercentOfSample,ContributionPercentOfAllSamples,Kingdom,Phylum,Class,Order,Family,Genus,Species
K03933,S18_A,797229,1,14.06693625,14.06693625,0.85400888,0.102364397,,,,,,,
K03933,S20_1_5,939811,1,9.056995491,9.056995491,0.923280423,0.065907307,,,,,,,
K03933,L20_8,797229,1,8.805800646,8.805800646,0.972972973,0.064079374,,,,,,,
K03933,S18_6,939811,1,6.586310805,6.586310805,0.996742671,0.047928257,,,,,,,
K03933,L20_7,797229,1,5.548101436,5.548101436,0.972941176,0.040373259,,,,,,,
K03933,S20_1_4,939811,1,4.565096953,4.565096953,0.755963303,0.033219984,,,,,,,
K03933,S19_6,939811,1,3.958135109,3.958135109,0.970451011,0.028803153,,,,,,,
K03933,S20_1_6,939811,1,3.886802341,3.886802341,0.89,0.028284068,,,,,,,
K03933,S17_6,797229,1,3.854646004,3.854646004,0.769991756,0.028050068,,,,,,,
K03933,S17_4,939811,1,3.785422984,3.785422984,0.935400517,0.027546335,,,,,,,
K03933,S20_2_5,939811,1,3.708101196,3.708101196,0.916478555,0.026983668,,,,,,,
K03933,L20_9,797229,1,3.310665119,3.310665119,0.925788497,0.024091546,,,,,,,
K03933,L3_B,1111582,2,1.625582298,3.251164596,0.998509687,0.023658563,,,,,,,
K03933,S20_4_5,939811,1,3.099675851,3.099675851,0.95625,0.022556187,,,,,,,
K03933,S20_3_5,939811,1,2.763353116,2.763353116,0.980263158,0.020108784,,,,,,,
K03933,S16_5,797229,1,2.638471239,2.638471239,0.650717703,0.019200024,,,,,,,
K03933,S20_2_6,939811,1,2.189265537,2.189265537,0.905109489,0.015931177,,,,,,,
K03933,L6_B,939811,1,2.185730464,2.185730464,1,0.015905452,,,,,,,
K03933,S18_A,1111582,2,1.006624796,2.013249591,0.122225124,0.014650317,,,,,,,
K03933,S18_4,939811,1,1.958525346,1.958525346,0.866242038,0.014252092,,,,,,,
K03933,S20_4_4,939811,1,1.951592844,1.951592844,0.953271028,0.014201644,,,,,,,
