Group,L0_G_mean,L0_G_std,S20_G_mean,S20_G_std,krusk_stats,krusk_p
Otu000003,0.0,0.0,0.21428745236403959,0.11082990144498397,9.4661354581673383,0.002092998392357946
Otu000004,0.0030942220781792974,0.0061450529864803998,0.17959382194716045,0.096866769464360902,8.4255319148936234,0.0036998839355408867
Otu000001,0.17155691838613485,0.042601224350870361,0.019788325624285324,0.010261000261661133,8.3076923076923137,0.003947751856903446
Otu000002,0.11602007278271309,0.11871601626967039,0.015616341396879993,0.018980137631184155,6.5641025641025692,0.010405619868873535
Otu000014,0.00020008003201280511,0.00044739255252096633,0.078162377788971824,0.076449043309065129,8.9323308270676751,0.0028016658949273224
Otu000005,0.0018007202881152463,0.0040265329726886971,0.07619175065483326,0.054757874074374858,8.9323308270676751,0.0028016658949273224
Otu000007,0.060361183480167481,0.044188587337347082,0.089445933538785327,0.031713406006373124,0.9230769230769269,0.33666836761003782
Otu000158,0.023727540910291348,0.028426150925400882,0.0,0.0,7.173913043478267,0.0073971251569824254
Otu000253,0.021746623010724012,0.029500121496570612,0.0,0.0,7.173913043478267,0.0073971251569824254
Otu000239,0.020062295314722547,0.023746651751282384,0.0,0.0,5.2277227722772297,0.022229618153942685
Otu000102,0.01941500563275354,0.0063310681703948445,0.0,0.0,9.4661354581673383,0.002092998392357946
Otu000027,0.0,0.0,0.018271239471896013,0.0056305099888356623,9.4661354581673383,0.002092998392357946
Otu000030,0.0,0.0,0.018138228505354886,0.0153240359346961,9.5040000000000067,0.0020502446302794347
