Group,G_mean,G_std,SG_mean,SG_std,krusk_stats,krusk_p
Otu000001,0.21886933544688239,0.10923934290727601,0.049291338717262524,0.054814778827828564,21.114227434982126,4.3270355614181742e-06
Otu000003,0.004818820407757822,0.0063776073540364837,0.15290775374943888,0.11113124042263466,30.356375215170349,3.5952340710568745e-08
Otu000002,0.14667171719973379,0.083611375150837872,0.080944164027165463,0.084279024288373902,5.7286078531361397,0.016690709025186292
Otu000005,0.016572823773429987,0.043468976151672147,0.1108852502037994,0.067078878979599799,19.704725111165093,9.0377622185491959e-06
Otu000004,0.001635541121044932,0.0042068382451165712,0.10418146352379276,0.089168499655848457,33.892170218999496,5.8252661146889828e-09
Otu000007,0.035924401273762931,0.052727332655894549,0.0900733092417179,0.04029566078737519,14.996481513606025,0.00010771181752735403
Otu000014,0.00062504551215799447,0.0011795642627830403,0.066473701785074002,0.074875385020949495,35.082855889597425,3.1597040923203065e-09
Otu000011,0.031324494010620325,0.030852306120639904,0.0,0.0,24.912617179090745,5.9988527976677322e-07
Otu000019,0.03170041075906941,0.032289221639113262,0.0011028729829747098,0.0021078450670328841,11.990170166545965,0.0005348190603863002
Otu000009,0.023773211958238265,0.037902661605709972,0.0031357955113743936,0.0029256139679005432,5.5761442711788494,0.018206764277370519
Otu000013,0.0050834351033721779,0.0055313914548177365,0.021949082533970678,0.016282099900383283,19.481785931411011,1.0156353198756103e-05
Otu000020,0.019363625002143572,0.021421210522685412,0.012089390997462778,0.0096102589000873987,0.17147242024704315,0.67880652292603028
Otu000031,0.00096591034292370826,0.0023201657809652928,0.018186710450413861,0.019293011762470336,30.876193400382938,2.7502490177436959e-08
Otu000052,0.00040121076302026973,0.0010413947334224189,0.016255968004109597,0.016909781058200696,32.735100593933019,1.0561273854102874e-08
