#Sample	Metric	Value
L0_7	Weighted NSTI	0.22125
L0_8	Weighted NSTI	nan
L0_9	Weighted NSTI	0.22125
L0_B	Weighted NSTI	0.202052000155
L10_7	Weighted NSTI	0.133234706028
L10_8	Weighted NSTI	0.140323333532
L10_9	Weighted NSTI	0.145344444523
L10_B	Weighted NSTI	0.216385
L11_7	Weighted NSTI	0.134297999951
L11_8	Weighted NSTI	0.138737719274
L11_9	Weighted NSTI	0.147458596452
L11_B	Weighted NSTI	0.216831999988
L12_7	Weighted NSTI	0.207423636338
L12_9	Weighted NSTI	0.21564
L12_B	Weighted NSTI	0.21713
L13_7	Weighted NSTI	0.162918333333
L13_8	Weighted NSTI	0.168298095238
L13_9	Weighted NSTI	0.198902963012
L13_B	Weighted NSTI	nan
L14_7	Weighted NSTI	0.212048741691
L14_8	Weighted NSTI	0.189817142857
L14_9	Weighted NSTI	0.21564
L14_B	Weighted NSTI	nan
L16_9	Weighted NSTI	0.199921739293
L16_B	Weighted NSTI	0.21186
L1_7	Weighted NSTI	0.217480740741
L17_8	Weighted NSTI	0.202110059863
L17_9	Weighted NSTI	0.18191611938
L1_8	Weighted NSTI	0.219162030075
L18_9	Weighted NSTI	0.201911392408
L18_B	Weighted NSTI	0.21713
L1_9	Weighted NSTI	0.206476470615
L19_8	Weighted NSTI	0.209774029412
L19_B	Weighted NSTI	0.216832000006
L1_B	Weighted NSTI	0.220632000001
L20_7	Weighted NSTI	0.193834574587
L20_8	Weighted NSTI	0.21564
L20_9	Weighted NSTI	0.202083000204
L20_B	Weighted NSTI	0.215812500024
L2_B	Weighted NSTI	0.218363658536
L3_7	Weighted NSTI	0.218090928962
L3_B	Weighted NSTI	0.20547
L4_7	Weighted NSTI	0.218356986707
L4_8	Weighted NSTI	0.219377272725
L4_9	Weighted NSTI	0.216997471784
L5_B	Weighted NSTI	0.215964
L6_7	Weighted NSTI	0.215866343284
L6_B	Weighted NSTI	nan
L8_9	Weighted NSTI	0.155386666834
L8_B	Weighted NSTI	0.21713
L9_7	Weighted NSTI	0.151005312593
L9_8	Weighted NSTI	0.155812380654
L9_9	Weighted NSTI	0.195640909218
L9_B	Weighted NSTI	nan
S16_4	Weighted NSTI	0.190534444605
S16_5	Weighted NSTI	0.190518461538
S16_A	Weighted NSTI	0.2167575
S17_4	Weighted NSTI	nan
S17_5	Weighted NSTI	0.199207272542
S17_6	Weighted NSTI	0.21564
S17_A	Weighted NSTI	0.2131775
S18_4	Weighted NSTI	0.21564
S18_5	Weighted NSTI	0.21564
S18_6	Weighted NSTI	0.21564
S18_A	Weighted NSTI	0.0537458063756
S19_4	Weighted NSTI	nan
S19_5	Weighted NSTI	0.21564
S19_6	Weighted NSTI	0.180544000157
S19_A	Weighted NSTI	0.06819
S20_1_4	Weighted NSTI	0.201935384532
S20_1_5	Weighted NSTI	0.20178
S20_1_6	Weighted NSTI	0.107677999949
S20_1_A	Weighted NSTI	0.05072
S20_2_4	Weighted NSTI	nan
S20_2_5	Weighted NSTI	0.1897575
S20_2_6	Weighted NSTI	nan
S20_2_A	Weighted NSTI	nan
S20_3_4	Weighted NSTI	nan
S20_3_5	Weighted NSTI	0.17045
S20_3_6	Weighted NSTI	nan
S20_3_A	Weighted NSTI	0.19088457107
S20_4_4	Weighted NSTI	0.12526
S20_4_5	Weighted NSTI	0.12526
S20_4_6	Weighted NSTI	0.145344444149
S20_4_A	Weighted NSTI	0.21713
S16_6	Weighted NSTI	0.175263578757
