Group,L0_G,L1_G,L8_G,L9_G,L10_G,L13_G,L14_G,L17_G,L19_G,L20_G,S16_G,S17_G,S18_G,S19_G,S20_G,L0_R,L1_R,L8_R,L9_R,L10_R,L11_R,L12_R,L13_R,L14_R,L18_R,L20_R,S16_R,S17_R,S20_R
Otu000015,0.030473648,0.709270161,2.072141213,0.103807757,0.059672547,0,0.139995692,1.600331675,2.815945717,1.358988159,0.273191113,0,0.294109563,0.479059094,0.033707108,0.050732807,0,0.159263847,0,0.027754167,0,0.003396797,0.010659844,0,1.867321867,1.319577735,2.397286672,0.161155545,0.282738095
Otu000016,0,0,0,0,0,0,0,0,0,0.894779333,0.096420393,0.623957497,0.156675188,0.820424555,0.040448529,0,0,0,0,0,0,0,0,0,0,4.318618042,7.939566793,9.633520353,3.645833333
Otu000017,0,0,0,0,0,0,0,0,0,0.578579117,0.27720863,4.79397047,0.131937,0.143430866,0.010112132,0,0,0,0,0,0,0,0,0,0,8.88515675,2.805827488,2.709800645,9.553571429
Otu000018,0.552879034,11.92519564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047588504,0,0,0,0,0,0,0,0,0,0,0,0
Otu000019,0,0,0,0,0,0,0,0,0.330788804,0.592034446,0.911976216,0.179156113,0.024738188,0,0.003370711,0,0,0,0,0,0,0,0,0,0,0,0.670623603,0,0
Otu000020,0,0,0,0,0,0,0,0,0.534351145,0,0.228998433,0,0,0.114744693,0,0.383314543,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000021,0.066751799,0.153675202,0,0,0.059672547,0,0.269222485,1.069651741,0.474978796,0.59876211,0.068297778,0.302712053,0.085209313,0.266781411,0.089885621,0,0.0537957,0,0,0,0,0.210601403,0,0,0,0,0,0.567028769,1.532738095
Otu000022,0,0,0,0,0,0,0,0,0,0,0.112490458,0,0,0.002868617,0.011235703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000023,0.060947295,0.205688347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134489251,7.131481154,0.339378238,1.438012802,1.677865771,1.283989198,0.303044147,0.836300406,0,0,0,0,0
Otu000024,0,0,0,0,0,0,0,0,0,0,0,0.216222895,0.470025563,0.005737235,0.047189951,0,0,0,0,0,0,0,0,0,0,0.327895074,0,0,3.199404762
Otu000025,0,0,0,0,0.033565808,0,0,2.247097844,0.610687023,0.941872982,0.004017516,0.37066782,0.1539265,0.037292025,0,0,0,0,0,0.105812763,0,0,0.015228349,0,0.58968059,0,0,0,1.428571429
Otu000026,0,0,0,0.002208676,0.003729534,0,0,0.002763958,0,0,0,0,0,0,0,0,0,0.035391966,0,0,0,0.164744646,0.001522835,0,0,0,0,0,0
Otu000028,0.037729278,0.07329125,1.381427475,0.225284919,0.04475441,0,0.55459832,0,0,0.7131324,0.309348761,0.234756286,0.068717188,0.177854274,0.076402777,0,0,0,0.006908463,0.036427345,0.01599872,0.011888789,0,0,0,1.039667306,0.238957836,0,1.666666667
Otu000029,0,0,0,0,0,0,0,0,0,0.390204521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575815739,0,0,0
Otu000030,0,0,0,0,0,0,0,0,0,0,0,0,0.060471125,0,0.00112357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000031,0,0,0,0.262832406,0,0,0,0,29.59287532,0.464208827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608809836,0
Otu000032,0.098676573,8.005295884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000033,0.005804504,0.080383952,0,0.519038784,0.018647671,0,0,0.34273079,0.42408821,0.719860065,0.008035033,0.889602768,0.052225063,0.031554791,0,0.129650507,0,0.017695983,0.202936097,0.199483079,0,0,0.015228349,0,0.687960688,0,3.021660372,0,0.818452381
Otu000034,0,0.132397097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690143337,0.879965458,0.605387778,0.767938565,1.316258768,0.121826793,0.261286375,0,0,0,0,0
Otu000035,0.197353146,0,0.038372985,0,0,0,0.026922249,0.35655058,0,0,0,0,0,0,0,0,2.888415303,0.371615643,0,0,0.00199984,0,0,0,0,0,0,0,0
Otu000037,0,0.035463508,1.151189563,0,0.014918137,0,0,0.157545605,0,0,0,0,0.049476375,1.199082042,0.075279207,1.037204059,0,0,0,0,0,0,0,0,0,0,1.449163648,1.462337352,0.744047619
Otu000038,0,0,0,0,0,0,0,0,0,0.639128095,0.433891768,0.06177797,0.052225063,0.309810671,0.030336397,0,0,0,0,0,0,0,0,0,0,1.959373001,0.940414707,2.148740599,0
Otu000039,0,0,0,0,0,0,0,0,0.008481764,0.780409042,0.602627456,0.080311361,0.046727688,0.209409065,0.013482843,0,0,0,0,0,0,0,0,0,0,0,0,1.372806494,0.803571429
Otu000040,0,0,0,0,0,0,0,0,0,0.121097955,0.108472942,1.247914994,0.101701438,0.120481928,0.020224265,0,0,0,0,0,0,0,0,0,0,0.823736404,0,0.907246031,0
Otu000041,0.004353378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000042,0,4.425845805,0,0.485908649,0.018647671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000043,0,0,1.650038373,0,0,0.235700817,0,0.152017689,0,0.074004306,0.116507975,0,0.019240813,1.462994836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000044,0.005804504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000045,0,0,0,0,0,0,0,0,0,0.053821313,0.084367844,0.673379873,0.1099475,0.510613884,0.008988562,0,0,0,0,0,0,0,0,0,0,0,0.940414707,1.134057538,0.238095238
Otu000046,0.175586255,2.825259475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498644762,0,0,0,0,0,0,0,0,0,0,0,0
Otu000047,0,0,0,0,0,0,0,0,0,0.612217438,0.23301595,0.630135294,0.07696325,0.183591509,0.008988562,0,0,0,0,0,0,0,0,0,0,0,0,0.262623851,1.235119048
Otu000048,0,0.016549637,4.489639294,0.002208676,0,0,0,0,0,0.282561895,0,0,0,0,0.031459967,0,0,0,0,0,0.0199984,0,0,0,0,0,0.477915671,0,1.056547619
Otu000049,0,0,0,0,0,0,0,0,0,0.222012917,0.104455426,0.630135294,0.1099475,0.037292025,0,0,0,0,0,0,0,0,0,0,0,1.439539347,0,1.086307747,0
Otu000050,0,0,0,0,0,0,0,0,0,0.269106566,0.172753204,0,0.115444875,0.126219162,0.030336397,0,0,0,0,0,0,0,0,0,0,1.439539347,0,0.769965381,0.119047619
Otu000051,0.187195264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281848929,1.833191947,0,0,0,0,0,0,0,0,0,0,0,0
Otu000052,0,0,0,0,0,0,0,0,0,0,1.028484191,0.580712918,0,0.008605852,0,0,0,0,0,0,0,0,0,0,0,0.447856686,0,0,0
Otu000053,0,0,0,0,0,0,0,0,0,0.484391819,0,0.728980046,0.129188313,0.025817556,0.033707108,0,0,0,0,0,0,0,0,0,0,0,0,0.471529187,0.37202381
Otu000055,0,0,0,0,0,0,0,0,0,0,0.17677072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000056,0,0,0,0,0,0,0,0,0,0,0,0,0.046727688,0.849110729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000058,0.089969817,0.113483226,0,0,0.037295342,0,0,0,0,0.329655544,0,0.043244579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000059,0,0,0,0,0,0,0,0,0,0.026910657,0.156683138,0.160622722,0.057722438,0.034423408,0.026965686,0,0,0,0,0,0,0,0,0,0,0.351887396,0.115624759,0.835621344,0.297619048
Otu000060,0,0,0,0,0,0,0,0.02763958,0,0,0.228998433,0.636313091,0.05497375,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95020427,0,0
Otu000061,0,0,0,0,0,0,0,0,0,0,0.944116347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173092993,0.327380952
Otu000062,0,0,0,0.421857055,0,0,0,0,0,0,0,0.037066782,0,0.152036718,0,0,0,0.017695983,0,0,0,0,0,0,0,0,0,0,0
Otu000063,0,0,0,0,0,0,0,0,0,0,0,0.30888985,0,0,0.012359273,0,0,0,0,0,0,0,0,0,0,2.287268074,0,0,0
Otu000064,0,0,0,0,0,0,0,0,0,0.316200215,0.136595557,0.234756286,0.03298425,0.126219162,0.04494281,0,0,0,0,0,0,0,0,0,0,0,0,0.196967888,0.044642857
Otu000065,0,0,0,0,0,0.377121307,0,0,0,0.201829925,0.301313728,0,0.046727688,0,0,0,0,0,0,0,0,0,0,0.089242178,0,2.103326935,0,0,0
Otu000066,0,0,0,0,0,0,0,0,0,1.506996771,0.048210196,0,0,0.002868617,0,0,0.039312243,0,0,0,0,0,0,0,0,0,0,0,0
Otu000067,0,0,0,0,0.018647671,0,0,0.091210614,0,0,0.168735688,0,0.046727688,0.258175559,0,0,0,0,0,0,0,0,0,0,0,0,1.873121098,0,0
Otu000068,0.010157883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.570420641,0,0,0,0,0,0,0,0,0,0,0,0
