Group,Control,Control,Control
ASV000214,0,0,0
ASV000215,0,0,0
ASV000216,0,0,0
ASV000217,0,0.004132231,0
ASV000218,0,0,0
ASV000219,0,0.0214391,0
ASV000220,0,0,0
ASV000221,0,0,0
ASV000222,0,0,0
ASV000223,0.665665394,0.110688676,0
ASV000224,0,0,0
ASV000225,0,0,0
ASV000226,0,0,0
ASV000227,0.297574761,0.17675758,0
ASV000228,0,0.000883041,0
ASV000229,0,0,0
ASV000230,0,0,0
ASV000231,0,0,0
ASV000232,0,0,0
ASV000233,0,0,0.560612056
ASV000234,0.306578632,0.399971199,0.664451827
ASV000235,0.03555064,0.195327878,0
ASV000236,0,0,0
ASV000237,0,0,0
ASV000238,0,0,0
ASV000239,0,0,0
ASV000240,0.085215168,0.119909546,0.024732885
ASV000241,0.331629393,0.19432135,0
ASV000242,0,0,0
ASV000243,0,0,0
ASV000244,0,0,0
ASV000245,0,0,0
ASV000246,0,0,0
ASV000247,0.717102648,0.008253549,0.023084026
ASV000248,0.161894207,0.243010211,0
ASV000249,0,0,0
ASV000250,0,0.033014196,0
ASV000251,0.32211649,0.229095438,0
ASV000252,0,0,0
ASV000253,0.148827371,0.175410667,0
ASV000254,0,0.164660036,0
ASV000255,0,0,0
ASV000256,0.271484,0.153172247,0.003297718
ASV000257,0,0,0
ASV000258,0,0,0
ASV000259,0,0,0
ASV000260,0,0,0
ASV000261,0,0,0
ASV000262,0.003950071,0,0
ASV000263,0,0,0
ASV000264,0.616795675,0.092253961,0
ASV000265,0.224797769,0.259860487,0
ASV000266,0.996503794,0.014438679,0
ASV000267,0.377675528,0.117462226,0
ASV000268,0,0.210966091,0
ASV000269,0,0,0
ASV000270,0,0,0
ASV000271,0,0,0
ASV000272,0.346849931,0.131126791,0
ASV000273,0.233325841,0.156600024,0
ASV000274,0,0,0
ASV000275,0,0,0
ASV000276,0,0,0
ASV000277,0,0,0
ASV000278,0.445182724,0.088780371,0
ASV000279,0.497401155,0.075653111,0
ASV000280,0,0,0
ASV000281,0,0,0
ASV000282,0,0,0
ASV000283,0,0,0
ASV000284,0,0,0
ASV000285,0.28835519,0.068877213,0
ASV000286,0,0,0
ASV000287,0,0,0
ASV000288,0,0,0
ASV000289,0,0,0
ASV000290,0.087438717,0.12014062,0
ASV000291,0,0,0
ASV000292,0,0,0
ASV000293,0,0,0
ASV000294,0.34440977,0.099975317,0.398474256
ASV000295,0,0,0
ASV000296,0.378628129,0.094591889,0
ASV000297,0.703050524,0.087554198,0
ASV000298,0,0,0
ASV000299,0,0,0
ASV000300,0,0,0
ASV000301,0,0,0
ASV000302,0.156657963,0,0.758928571
ASV000303,0.319311165,0.062920731,0
ASV000304,0,0,0
ASV000305,0,0,0
ASV000306,0.316005688,0.048567266,1.48452271
ASV000307,0.268722294,0.009904259,0.949742778
ASV000308,0.523094318,0.315734497,0
ASV000309,0.354815493,0.112730745,0
ASV000310,0,0,0
ASV000311,0,0,0
ASV000312,0.023700427,0.008264463,0.310559006
ASV000313,0,0,0
ASV000314,0,0,0
ASV000315,0.3449175,0.124267934,0
ASV000316,0,0,0
ASV000317,0,0.000825355,0
ASV000318,0.269212701,0.106594094,0
ASV000319,0,0,0
ASV000320,0,0,0
ASV000321,0,0,0
ASV000322,0,0,0
ASV000323,0.322213865,0.090065756,0
ASV000324,0,0,0
ASV000325,0,0.046687391,0
ASV000326,0.096135927,0.126581069,0
ASV000327,0,0,0
ASV000328,0,0,0
ASV000329,0,0,0
ASV000330,0,0,0
ASV000331,0.272993064,0.083501935,0
ASV000332,0,0.18455561,0
ASV000333,0.152358617,0.17741721,0
ASV000334,0,0,0
ASV000335,0,0,0
ASV000336,0.201152557,0,0.728862974
ASV000337,0.351556328,0.015721683,1.129468408
ASV000338,0,0.112555273,8.959287407
ASV000339,0,0.037190083,0
ASV000340,0,0,0
ASV000341,0,0,0
ASV000342,0.303494469,0.050160289,0
ASV000343,0,0,0
ASV000344,0,0,0.259452618
ASV000345,0,0,0
ASV000346,0,0,0
ASV000347,0,0,0
ASV000348,0,0,0
ASV000349,0.336633547,0.068250314,0
ASV000350,0.164704669,0.113048448,0
ASV000351,0,0.031234788,0
ASV000352,0,0,0
ASV000353,0,0,0
ASV000354,0,0,0
ASV000355,0,0,0
ASV000356,0.357982398,0,0
ASV000357,0,0,0
ASV000358,0,0,0.303390054
ASV000359,0,0,0
ASV000360,0,0,0
ASV000361,0.229286157,0.10609711,0
ASV000362,0,0,0
ASV000363,0,0,0
ASV000364,0,0.005777484,0
ASV000365,0,0,0
ASV000366,0,0,0
ASV000367,0.354515748,0.022709086,0
ASV000368,0,0,0
ASV000369,0,0,0
ASV000370,0,0,0
ASV000371,0,0,0
ASV000372,0,0.06391254,0
ASV000373,0,0,0
ASV000374,0.227432816,0.087555658,0
ASV000375,0,0,0
ASV000376,0,0,0
ASV000377,0,0,0
ASV000378,0.146613912,0.072394868,0
ASV000379,0,0,0
ASV000380,0,0,0
ASV000381,0,0,0
ASV000382,0.292566087,0.133994372,0
ASV000383,0,0,0
ASV000384,0,0,0
ASV000385,0.148545316,0.11440155,0
ASV000386,0.220600497,0.093265104,0
ASV000387,0,0,0
ASV000388,0,0,0
ASV000389,0,0,0
ASV000390,0.162989422,0.053627941,0
ASV000391,0,0.066931689,0
ASV000392,0,0,0
ASV000393,0.096064163,0.018543865,0.126962142
ASV000394,0,0,0
ASV000395,0,0,0
ASV000396,0,0,0
ASV000397,0.196198916,0.065046837,0
ASV000398,0,0,0
ASV000399,0,0,0
ASV000400,0.010651896,0,0
ASV000401,0,0,0
ASV000402,0,0,0
ASV000403,0,0,0
ASV000404,0.211621415,0.079546727,0
ASV000405,0,0.050963451,0
ASV000406,0,0,0
ASV000407,0.333122183,0.004415206,0
ASV000408,0,0,0
ASV000409,0.055300995,0,1.19047619
ASV000410,0.169891723,0.078990596,0
ASV000411,0.229320303,0.084966569,0
ASV000412,0,0,0
ASV000413,0,0,0
ASV000414,0,0,0
ASV000415,0,0,0
ASV000416,0,0,0
ASV000417,0.20058363,0.063441401,0
ASV000418,0.065453537,0.113693982,0
ASV000419,0,0,0
ASV000420,0.035900783,0.168217632,0
ASV000421,0,0,0
ASV000422,0.039500711,0.090777771,0
ASV000423,0,0.060864156,0
ASV000424,0,0,0
ASV000425,0,0,0
ASV000426,0,0,0
ASV000427,0,0,0
ASV000428,0.031955688,0.050338044,0.003297718
ASV000429,0.126410332,0.147446226,0
ASV000430,0,0,0
ASV000431,0,0,0
ASV000432,0,0,0
ASV000433,0.265043414,0,0
ASV000434,0.009791123,0.101989035,0
ASV000435,0,0,0
ASV000436,0,0,0
ASV000437,0.160608035,0.233150208,0
ASV000438,0,0,0
ASV000439,0,0,0
ASV000440,0,0,0
ASV000441,0.043450782,0.042075353,0
ASV000442,0,0,0
ASV000443,0,0,0
ASV000444,0.233718166,0.035321648,0
ASV000445,0,0.119210561,0
ASV000446,0,0,0
ASV000447,0,0,0
ASV000448,0.1817948,0.056514636,0
ASV000449,0.087256684,0.031771132,0
ASV000450,0.20319042,0.024725153,0
ASV000451,0,0,0
ASV000452,0.177330425,0.040312224,0
ASV000453,0.116574837,0.082832781,0
ASV000454,0,0,0
ASV000455,0,0,0
ASV000456,0,0,0
ASV000457,0.19532908,0.065203037,0
ASV000458,0,0.035291254,0
ASV000459,0,0,0
ASV000460,0.147474251,0.053597749,0
ASV000461,0,0,0
ASV000462,0,0,0
ASV000463,0.10477573,0.038853813,0
ASV000464,0.033323439,0.145354122,0
ASV000465,0,0,0
ASV000466,0,0,0
ASV000467,0.09481563,0.021192989,0
ASV000468,0,0,0
ASV000469,0,0,0
ASV000470,0,0,0
ASV000471,0.457136929,0.033961212,0
ASV000472,0,0.023842112,3.319390819
ASV000473,0,0,0
ASV000474,0,0,4.387346389
ASV000475,0,0.042172979,0.117068988
ASV000476,0.067501352,0.070190948,0
ASV000477,0,0,0
ASV000478,0,0,0
ASV000479,0,0,0
ASV000480,0.079001422,0.077707625,0
ASV000481,0.090515415,0.056514636,0
ASV000482,0.127620815,0.027440535,0
ASV000483,0,0.048677592,0
ASV000484,0,0,0
ASV000485,0,0,0.189618784
ASV000486,0.090008437,0.0697333,0
ASV000487,0.075919748,0.145345518,0
ASV000488,0,0.09625149,0
ASV000489,0,0,0
ASV000490,0.118699825,0.066874131,0.014839731
ASV000491,0,0,0
ASV000492,0.027261847,0.025608195,2.543006731
ASV000493,0.217753698,0.122867177,0
ASV000494,0,0,0
ASV000495,0,0.023842112,0.120366706
ASV000496,0,0,0
ASV000497,0,0,0
ASV000498,0,0,0
ASV000499,0.210786093,0.058957524,0
ASV000500,0.176240209,0,0
ASV000501,0,0,0
ASV000502,0,0,0
ASV000503,0,0,0
ASV000504,0,0,0
ASV000505,0,0,0
ASV000506,0,0.078501483,0
ASV000507,0,0.116334785,0
ASV000508,0,0,0
ASV000509,0.163210989,0.031270306,0
ASV000510,0.189785446,0.023109937,0
ASV000511,0.03555064,0.049839601,0
ASV000512,0.234341713,0.070643296,0
ASV000513,0.380103342,0.014856388,0
ASV000514,0,0.097134531,0
ASV000515,0,0.097134531,0
ASV000516,0,0,0
ASV000517,0.149094041,0.101835723,0
ASV000518,0.092421187,0.054058667,0
ASV000519,0,0.044215479,0
ASV000520,0,0,0
ASV000521,0,0,0
ASV000522,0,0,0
ASV000523,0,0,0
ASV000524,0.047400853,0.016258606,0
ASV000525,0,0.037673164,0
ASV000526,0,0,0
ASV000527,0,0,0
ASV000528,0.045524664,0.107647845,0
ASV000529,0.132520839,0.036315616,0
ASV000530,0,0.03934772,0.583090379
ASV000531,0,0.094485408,0
ASV000532,0,0.093602367,0
ASV000533,0,0,0
ASV000534,0,0,0
ASV000535,0.17684294,0.084130579,0
ASV000536,0,0,0
ASV000537,0,0,0
ASV000538,0.097729194,0.065683451,0
ASV000539,0,0.087659901,0.100013843
ASV000540,0,0,0
ASV000541,0.036761557,0.021165371,0.074794316
ASV000542,0.086259573,0.1152337,0
ASV000543,0,0.217006851,0
ASV000544,0,0,0
ASV000545,0,0,0
ASV000546,0.090851635,0.055686296,0
ASV000547,0.039500711,0.078590666,0
ASV000548,0.199615075,0.021408336,0
ASV000549,0,0,0
ASV000550,0,0,0
ASV000551,0,0,0
ASV000552,0.05325948,0.033555565,0
ASV000553,0.023700427,0.072756352,0
