Group,Class,Long,Short,Daily
ASV0065,Alphaproteobacteria,0.168609977,0.215785423,0.102077325
ASV0066,Cloacimonadia,0.27281528,0.001454425,0.001107956
ASV0068,Alphaproteobacteria,0.081130145,0.25348374,0.180382292
ASV0069,Gammaproteobacteria,0.234424098,0.156820716,0.016717572
ASV0072,Gammaproteobacteria,0.042182561,0.159647722,0.085214265
ASV0073,Alphaproteobacteria,0.007195923,0.419573255,0.449605752
ASV0074,Deltaproteobacteria,0.204746902,0.035235675,0.005856115
ASV0075,Alphaproteobacteria,0,0,0
ASV0076,Alphaproteobacteria,0.006579523,0.341565161,0.517663995
ASV0077,Spirochaetia,0.319831269,0.057300341,0.004984734
ASV0079,Clostridia,0.226134241,0,0
ASV0081,Bacilli,0,0,0
ASV0082,Gammaproteobacteria,0.22431298,0.030020282,0.005743742
ASV0083,Bacteroidia,0.296270639,0,0
ASV0084,Deltaproteobacteria,0.112831187,0.033255031,0.009605748
ASV0085,Clostridia,0.008427975,0.007553147,0.028365092
ASV0086,Bacilli,0,0.00316601,0
ASV0087,Bacteroidia,0.152273963,0,0
ASV0088,Alphaproteobacteria,0.069577915,0.020239107,0.038484158
ASV0089,Bacilli,0.0006296,0.01256693,0.031453188
ASV0091,Deltaproteobacteria,0.366414374,0,0
ASV0092,Gammaproteobacteria,0.053801049,0.180876618,0.192732771
ASV0094,Gammaproteobacteria,0,0,0
ASV0096,Bacilli,0.027721012,0.001943944,0.005675093
ASV0097,Bacteroidia,0.000358627,0.004911792,0.037588472
ASV0098,Gammaproteobacteria,0.107150263,0.048204597,0.046349649
ASV0099,Gammaproteobacteria,0.202876343,0,0.000727866
ASV0100,Gammaproteobacteria,0.000189159,0,0
ASV0101,Actinobacteria,0.000884976,0.015353384,0.041314894
ASV0103,Clostridia,0.044732343,0.511560353,0.400699012
ASV0104,Deltaproteobacteria,0.394302607,0.002419725,0.001886223
ASV0107,Alphaproteobacteria,0.181171838,0.003149222,0.003506122
ASV0108,Bacteroidia,0.00014487,0,0
ASV0109,Alphaproteobacteria,0.037617881,0.003065938,0.001688277
ASV0111,Gammaproteobacteria,0.000814922,0.010360558,0.042418247
ASV0112,Bacteroidia,0,0,0
ASV0113,Gammaproteobacteria,0.017924224,0.062081068,0.07008537
