Day,SM1,SM2,SM3,SM4,SE1,SE1,SE3,SE4,Gradient,Intercept
1,210.5,7170,19402.16667,36583.16667,33.3004004,1629.641065,1476.962922,2849.842359,8029135.601,5885.330189
2,65.33333333,3031.5,10842.16667,22888.83333,8.137703744,684.9094222,2275.704537,2017.46825,5235049.579,2715.496855
3,68.83333333,4223.5,13327.16667,29041.5,8.513061859,782.7836547,6227.761193,2287.148352,6623160.124,3452.531447
4,65,4121.666667,14189,28628,5.715476066,1503.22993,2999.264688,1479.581247,6489474.285,3703.968553
5,62.66666667,5399.166667,17793.83333,30035.33333,5.821416399,1145.264077,2135.169581,1377.31849,6577090.941,5167.157233
6,62.16666667,4415.5,16423.83333,27994.66667,5.698440332,704.9772455,1686.533765,1286.918887,6199878.905,4536.191824
,,,,,,,,,,
7,63,4459.5,15834.66667,27902.16667,4.472135955,1331.14534,2216.329147,2354.741841,6195635.524,4382.245283
8,64.33333333,7094,19532.33333,33350.66667,4.307615994,5345.515441,4197.722107,4889.866653,7200273.889,6081.993711
9,62.5,4380.666667,16113.83333,29608.16667,8.789197916,1516.25434,4568.784646,2863.566623,6639895.897,4307.820755
10,57.83333333,5065.666667,18154.83333,31759.83333,12.23950798,860.3957746,1470.33867,1537.107827,7049450.32,5018.22327
,,,,,,,,,,
11,49.5,5378.166667,18185.66667,31435.5,9.776672917,1169.039979,2307.906459,1747.114931,6931916.337,5166.632075
,,,,,,,,,,
12,43.33333333,4732.166667,18206,29382.83333,5.70574759,757.4750638,1071.136779,1054.711559,6459364.222,5081.471698
,,,,,,,,,,
13,46.83333333,4655.666667,17613.16667,32454.66667,3.236081306,1121.83758,2706.985988,1885.15938,7297901.451,4643.185535
,,,,,,,,,,
14,47.5,4779.333333,17202.33333,31416.83333,5.560275773,706.8490331,2789.035835,1985.075936,7029904.646,4644.418239
,,,,,,,,,,
15,50.5,4778.833333,17144,33378.66667,11.80042372,1174.344983,1842.006967,1411.986386,7546979.61,4479.745283
,,,,,,,,,,
16,50.66666667,4360.5,16847.83333,34962.5,6.394442031,939.1921617,3864.255703,1557.926052,8018039.283,4113.006289
,,,,,,,,,,
17,51.66666667,3589.666667,14940.33333,32616,9.030811456,1054.148735,3204.856506,1689.390028,7561007.557,3423.767296
,,,,,,,,,,
18,52.83333333,3951,14770,29935,7.312470323,1451.327438,3587.460151,1799.742667,6827184.14,3711.5
,,,,,,,,,,
19,53.66666667,3819.666667,15344.16667,31483.83333,5.405758247,1251.049115,4710.527126,2382.947784,7223082.775,3718.710692
,,,,,,,,,,
20,48.66666667,3569.833333,15018.5,29447.16667,4.307615994,448.0529793,3607.311314,832.4158449,6728381.137,3677.849057
,,,,,,,,,,
21,54.16666667,4156.833333,13607.66667,28184.5,8.234412885,1682.975878,3282.083061,1604.708982,6395056.68,3570.921384
,,,,,,,,,,
22,62.66666667,3264.5,12967.16667,28923.5,22.76449477,802.7288355,2438.856113,1412.205928,6706476.339,2988.427673
,,,,,,,,,,
23,50.83333333,3060.166667,12606.33333,28091.33333,4.810289897,521.8056524,1769.758144,1588.982763,6525532.562,2860.506289
,,,,,,,,,,
24,65.66666667,4020.5,15053,30990.33333,27.52978185,1138.142017,1625.154557,512.2065556,7083691.545,3748.597484
,,,,,,,,,,
25,47.66666667,3360.166667,14464.83333,27579.83333,4.60675832,823.3104754,3387.24236,1670.759949,6283068.954,3572.119497
,,,,,,,,,,
26,48.5,3768,13621.66667,30720.16667,7.973915809,1095.952554,2627.352258,1836.429091,7100630.199,3234.801887
,,,,,,,,,,
27,55.16666667,4006.833333,15150.33333,31147.33333,5.550275268,1023.693218,3991.365124,2730.15956,7123469.517,3756.814465
,,,,,,,,,,
28,45,3584.666667,13771.83333,28489.5,6.403124237,625.6217352,1591.787613,1805.339649,6528090.13,3377.918239
,,,,,,,,,,
29,53.5,2658.5,11574.5,27766.5,2.217355783,749.1992948,2432.746099,650.9812465,6524387.553,2423.009434
,,,,,,,,,,
30,65.83333333,3374.666667,12920.16667,30029.16667,24.4227808,522.8360695,3112.529005,1576.383986,6986966.804,2933.619497
,,,,,,,,,,
31,55.33333333,3453.166667,14223.5,29865.33333,4.422166387,687.8389871,3895.370062,2521.51837,6882602.962,3364.90566
,,,,,,,,,,
32,51,7724.666667,22076.66667,32194.16667,3,1632.002928,2389.040509,1343.584189,6524387.553,2423.009434
33,51.666666666666664,3209.1666666666665,13531.333333333334,28699.666666666668,7.06320670013903,756.5587478106963,2327.3907898951757,1367.9723031634164,6631098.473321162,3150.3962264150923

34,97.33333333333333,3368.8333333333335,15432.5,29825.833333333332,101.06378623863688,1619.0039547683493,1780.1322750477466,703.2840622552328,6825354.407587746,3717.6855345911954

35,51.166666666666664,4993.833333333333,16311.833333333334,29237.833333333332,5.013869652163774,1915.6117749226282,3597.7156371169135,2065.1673391976956,6472765.773990667,4622.437106918241

36,51.5,5791.833333333333,16077.166666666666,29536.0,17.423642940938997,4783.109358867817,2807.50199861411,1019.2925651319808,6478846.4952323,4830.3553459119485

37,54.5,3756.5,13362.333333333334,27210.833333333332,10.177589760514683,835.916213903443,2395.3008625686716,1331.411709009985,6190835.488942989,3419.4056603773615

38,50.833333333333336,5171.833333333333,17800.166666666668,32574.0,5.273097339852125,1237.7182523588403,1559.458497541873,2143.734047559694,7267912.48224792,4886.996855345913

