Day,SM1,SM2,SM3,SM4,SE1,SE1,SE3,SE4,Gradient,Intercept
39,77.33333333333333,4165.833333333333,14510.0,27721.0,48.97164712588522,610.4592305979346,1301.8705772848543,1022.4120174045947,6231984.809291946,3890.8805031446536

40,53.0,4002.8333333333335,15489.333333333334,30575.0,5.744562646538029,882.7180404233783,2392.253934867469,1860.5890644273568,6959726.237573544,3899.9811320754743

0,53.0,4553.5,16944.5,30924.5,7.0,205.5,163.5,143.5,6934013.61838101,4520.698113207547

41,46.5,3984.3333333333335,15173.166666666666,28967.833333333332,5.155902766086006,874.1030958772668,2468.9986105481894,1783.4766998446853,6553778.022925543,3916.273584905659

42,42.5,5165.666666666667,16089.5,28396.166666666668,4.031128874149275,1727.3923185606163,2435.910285020092,1440.2022330986097,6244524.117468047,4680.248427672956

43,44.0,4495.875,16958.375,28992.875,2.6457513110645907,914.3362944644601,2126.001054650491,1195.7636093204208,6433405.451156421,4645.358490566038

44,65.33333333333333,5720.5,17469.666666666668,32344.166666666668,19.102065042525872,1292.918114189758,2594.8783315515116,1865.0591962604178,7163353.367823088,5017.358490566039

45,49.833333333333336,4921.166666666667,17296.833333333332,31400.666666666668,4.810289896553937,1548.8134616179216,2955.604812141765,1825.5097613786918,7006864.3487522835,4728.613207547169

46,46.333333333333336,4830.5,16721.333333333332,29790.166666666668,4.784233364802441,958.6992489827037,2010.7302708772806,1059.868610829768,6617951.156421182,4640.8238993710675

47,44.166666666666664,5686.833333333333,15168.0,28397.833333333332,4.13991411612474,3672.6082201738986,1822.1383957683713,925.3396523559455,6229796.231487117,4599.261006289307

48,45.375,4777.25,16440.875,29946.375,4.498263553861645,1076.5298126387397,1235.690134853799,1261.4006042391925,6676270.066189896,4523.893867924529

49,45.625,3822.75,14389.5,29407.875,2.2325713874364688,802.8406987067858,1143.95989877268,898.1847579284565,6718769.971089471,3585.162735849055

50,56.5,7279.125,21949.25,36675.5,9.420721840708387,1022.1290815621088,973.171843766557,1262.9556603459996,7953742.677267195,6627.4528301886785
