OTU,ID
ASV3061,761119
ASV3822,88168
ASV2995,4474906
ASV1940,4433032
ASV2515,250458
ASV2937,448778
ASV1441,1148343
ASV3694,1014513
ASV3662,252045
ASV4279,252665
ASV1743,842506
ASV4194,415267
