Group,G_mean,G_std,SG_mean,SG_std,krusk_stats,krusk_p
Otu00001,0.626373037,0.319177834,0.048197984,0.057858988,17.85703101,2.38E-05
Otu00005,0.015343912,0.037526847,0.280259348,0.221813593,15.50457758,8.23E-05
Otu00002,0.051870493,0.105830391,0.222930534,0.175143698,8.720713649,0.003146149
Otu00008,0.021314345,0.047895557,0.073709639,0.062515666,7.138764746,0.00754351
Otu00013,0.01377677,0.03969541,0.04682884,0.035742772,15.8811962,6.74E-05
Otu00015,0.03441631,0.072095904,0.025034468,0.024911856,0.935216269,0.333511139
Otu00022,0.001599741,0.00468884,0.033761254,0.086951447,15.10603925,0.000101638
Otu00010,0.007362617,0.015801835,0.019194288,0.036531645,4.714074116,0.029916672
Otu00041,0.019479852,0.079909634,0.000209468,0.000755247,0.5942507,0.440780091
Otu00003,0,0,0.018839378,0.067661637,2.799107143,0.094316816
Otu00018,0.002525005,0.005321092,0.018852828,0.033609924,8.187201751,0.004218695
