Group,L0_7,L0_8,L0_9,L1_7,L1_8,L1_9,L3_7,L4_7,L4_8,L4_9,L6_7,L8_9,L9_7,L9_8,L9_9,L10_7,L10_8,L10_9,L11_7,L11_8,L11_9,L12_7,L12_9,L13_7,L13_8,L13_9,L14_7,L14_8,L14_9,L16_9,L17_8,L17_9,L18_9,L19_8,L20_7,L20_8,L20_9,S16_4,S16_5,S16_6,S17_4,S17_5,S17_6,S18_4,S18_5,S18_6,S19_4,S19_5,S19_6,S20_1_4,S20_1_5,S20_1_6,S20_2_4,S20_2_5,S20_2_6,S20_3_4,S20_3_5,S20_3_6,S20_4_4,S20_4_5,S20_4_6,L0_B,L1_B,L2_B,L3_B,L5_B,L6_B,L8_B,L9_B,L10_B,L11_B,L12_B,L13_B,L14_B,L16_B,L18_B,L19_B,L20_B,S16_A,S17_A,S18_A,S19_A,S20_1_A,S20_2_A,S20_3_A,S20_4_A
ASV000011,0,0,0,0.063572791,0,0,0.299760192,0.252818179,0,0.009434259,0.050352467,0.06002401,0,0,0,0.00699888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080682342,0.069193511,0.106632544,0.945529785,0.503756831,0.194552529,0.200926007,0.23884558,0.402386569,0.737219905,0.629244432,5.218027816,0.651701665,3.743216194,3.499423963,12.63661202,25.20447697,12.32894737,10.04931742,19.40374247,0.780371983,1.278100367,1.026290506,1.040892193,0.657594301,1.059322034,4.167026887,6.008902077,1.650449563,6.62010906,13.13816856,3.146220009,0,0.045392646,0,0,0.414250207,0.124575311,0.019780437,0.020603688,0.027727714,0,0.036670334,0.017844397,0.049209139,0.114476012,0.12143858,0.313277435,0.222129668,2.151730257,0.639326368,2.120794975,0.888257239,0.05501714,0.358637179,0.225522171,0.519973589
ASV000012,0.029620853,0,0.061842919,1.271455817,4.252840082,2.302426882,0,0,0.17452007,0.069184566,0.014386419,0.120048019,0.105518624,0.106651154,0.054264267,0.433930571,0.214754927,0.014206563,0.84054087,1.420454545,2.253804953,1.005169443,1.849166062,0.436817473,1.386655949,1.25,0.119986287,0.190787681,0.10874631,0.749193177,0.123010687,0.287907869,0.654412472,0.392759563,0.563531464,0.384380187,0.683363742,0.159567088,0.601416238,1.021038135,0,0.627564567,0.431274633,0.216013825,0.150273224,0.193715024,0.697368421,0.371667501,0.780209324,0.004748714,0,0,0,0.073066033,0,0.752139708,0.352373887,0.33255327,5.405146848,6.290518639,5.198430662,0.074092368,0.090785293,0.091491308,0,0.828500414,0,0.019780437,0.041207376,0.027727714,0.112233446,1.026769344,2.640970735,8.358523726,21.92735977,24.39981317,17.27632913,9.343329168,0.096125407,0.187119913,0.632366859,0.874933381,0,0,0.194296024,0.705678442
ASV000013,0,0.036873156,0,0.063572791,0.291290417,0.062227754,0,2.382439547,2.617801047,2.333406711,0,4.681872749,5.518624037,6.534807058,2.360495614,0.853863382,3.423446185,0.781360989,3.8616153,9.739493997,2.699262873,6.806433084,10.91370558,1.747269891,4.471463023,6.951530612,8.330476517,3.70673208,3.448811558,4.668049793,7.726608749,9.159735551,0.050524492,0,0,0,0,0.263632579,0.339509167,0.719475709,0,0.10258267,0.05365139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197579649,0.817067635,20.49405306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000014,0.059241706,0,0.030921459,1.017164654,1.019516458,1.057871811,0.599520384,0.086255614,0.087260035,0.924557376,0.143864192,0,0.084414899,0.038782238,0.126616623,0.167973124,0.13895907,0.056826254,0.243635035,0.160806175,0.44015485,0.086157381,0.543872371,0.358814353,0.351688103,0.204081633,0.119986287,0.299809212,0.077675936,0.795297372,0.407472899,0.45851994,1.917524781,1.041666667,0.268348316,0.122302787,0.159230386,0.173442486,0.281307595,0.439283849,0.585590296,0.132754043,1.062710221,1.094470046,1.366120219,0.495049505,3.328947368,1.693946108,1.135426578,1.096952909,0.570928083,1.218447026,1.26394052,1.479587177,0.715042373,2.169966283,0.992210682,0.948392659,2.716923371,3.282009724,2.301192093,0,1.906491148,0,0,0,2.01585504,0.049451093,0.113320284,0.055455428,0.030609122,0.036670334,0,0.119507909,0.322614216,0.177487156,0.405417857,0.166597251,0.369713103,1.559332606,1.978835068,2.678095576,2.767785349,7.830245069,2.511970023,7.366292506
ASV000015,0,0,0,0,0,0,0.35971223,1.335474852,1.570680628,1.355388534,0.985469717,8.763505402,16.15490134,15.59045957,11.68490549,2.666573348,4.345629106,0.53984941,10.91484956,4.148799314,3.781089251,2.642159678,1.232777375,0.031201248,0.231109325,0.153061224,0,0.013627691,0,0.046104195,0,0.106632544,0.055336349,0.648907104,0.053669663,0.017471827,0.0033173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01012966,0,0,0.090785293,1.463860933,0,0.082850041,0,0.079121749,7.664571958,4.46416193,1.091725334,3.703703704,0.071377587,1.110720562,0.093662192,0,0,0,0,0,0,0,0,0,0,0
ASV000016,0.029620853,0.036873156,0.030921459,0,0,0,0,0,0,0,0.115091354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098789825,0.635497049,0.365965233,0,0.497100249,0,0,0.236942413,0.9011507,0.99989797,2.420242024,15.16773733,1.033391916,3.538349464,2.933208781,1.409748457,5.63654033,2.528837622,14.57975986,4.727695087,12.32012791,0.114266368,0.836820084,1.14148914,8.331957742
ASV000017,0,0,0,0,0,0,0,0,0.087260035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036258158,0,0,0,0,0,0,0,0.030752672,0,0,0.017076503,0,0.008735913,0,0.048563896,0,0.002374507,0,0,0.043333815,0,0,0,0,0,0.006343165,0.042738425,0,0,0,0,0.013241525,0,0,0,0,0,0,0,0,0.274473925,44.43420031,0,0,0,0,0,0,0,0,0,0.01040691,0.009341429,0,0,0,0,0,0,0,0,0.18735688,0
ASV000018,0,0,0,1.907183725,0.87387125,0.995644057,1.738609113,0.356919782,0.17452007,1.292493475,0,0.06002401,0.390418909,0.649602482,0.289409424,0.601903695,0.656897423,1.037079131,0.109635766,0.278730703,0.625762316,0.229753016,0,0.686427457,0.612942122,0.510204082,0.359958862,1.526301445,0.901040858,1.071922545,0.207580534,1.354233312,0.909440862,0.461065574,0.456192137,0.349436534,0.374854868,0.360760372,1.0185275,1.248990834,6.734288403,2.118030413,2.37304224,1.353686636,2.896174863,1.592767972,1.723684211,1.2936888,2.067871868,0.599920855,0.470366886,0.275133199,2.527881041,2.402045849,0.847457627,2.429324803,1.307492582,1.046926961,2.190758634,4.477309562,1.999396409,0,0,0,0,0,0.011325028,0.009890219,0,0,0,0.036670334,0,0,0,0,0,0,0,0,0.17637443,0.026647717,0,0,0,0
ASV000019,0,0,0,0,0,0,0,0,0,0.110066354,0,0,0.26379656,0.17452007,0.452202225,0.202967525,0.037897928,0.056826254,0.036545255,0.337692967,0.44545792,0.402067777,0,0.07800312,0.100482315,0.114795918,0.085704491,0.381575361,0.093211123,0.899031812,0.115322519,0.170612071,0.377730729,0.452527322,0.214678653,0.323228794,0.205672583,0.77008464,0.397710738,0.384670181,0.397364844,1.285300507,0.491116568,0.547235023,0.983606557,0.860955661,1.368421053,1.765420628,1.516016492,2.846062525,3.522885782,3.869333566,1.338289963,2.721709745,2.493820621,1.486988848,1.817507418,1.933735682,1.243662107,1.600486224,1.576882451,0.049394912,0,0,0,0,0.20385051,0,0.05150922,0,0.030609122,0,0,0.063268893,0.031220731,0.168145726,0.046070211,0.069415521,0.110913931,0.031186652,0.068829046,0.097708296,1.599729146,0.932456665,0.170009021,0.074281941
ASV000020,0,0,0.154607297,0,0.495193708,0.248911014,0.479616307,0.353945451,0.34904014,0.512594736,0.316501223,0.06002401,1.245119764,0.203606748,2.450936059,0.083986562,0.037897928,0,0.341089049,0.412735849,0.397730286,0.315910396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024697456,0.045392646,0.274473925,0,0.165700083,0.93997735,0.029670656,0.113320284,0.027727714,0.010203041,0.073340667,0.053533191,0.154657293,0.333021126,0.429705745,0.304063393,0.263778981,3.016858917,0.452206456,1.204508303,1.869781489,7.143764019,11.78720861,9.347026577,2.863981512
