Sample_ID,treatment1_daily,treatment2_all_rg_ls,treatment3_all,treatment4_controls
C1,,,,C1
C2,,,,C2
C3,,,,C3
C4,,,,C4
K1,,,,K1
K2,,,,K2
K3,,,,K3
K4,,,,K4
K5,,,,K5
negH10,,,,neg1
negH11,,,,neg2
negH12,,,,neg3
negplt2H10,,,,neg4
negplt2H11,,,,neg5
negplt2H12,,,,neg6
negplt2H2,,,,neg7
negplt2H3,,,,neg8
negplt2H4,,,,neg9
negplt2H5,,,,neg10
negplt2H6,,,,neg11
negplt2H7,,,,neg12
negplt2H8,,,,neg13
negplt2H9,,,,neg14
L0_7,,LG,L0_G,L0_G
L0_8,,LG,L0_G,L0_G
L0_9,,LG,L0_G,L0_G
L1_7,,LG,L1_G,L1_G
L1_8,,LG,L1_G,L1_G
L1_9,,LG,L1_G,L1_G
L2_7,,,,
L2_8,,,,
L2_9,,,,
L3_7,,LG,L3_G,L3_G
L3_8,,,,
L3_9,,,,
L4_7,,LG,L4_G,L4_G
L4_8,,LG,L4_G,L4_G
L4_9,,LG,L4_G,L4_G
L5_7,,,,
L5_8,,,,
L5_9,,,,
L6_7,,LG,L6_G,L6_G
L6_8,,,,
L6_9,,,,
L7_7,,,,
L7_8,,,,
L7_9,,,,
L8_7,,,,
L8_8,,,,
L8_9,,LG,L8_G,L8_G
L9_7,,LG,L9_G,L9_G
L9_8,,LG,L9_G,L9_G
L9_9,,LG,L9_G,L9_G
L10_7,,LG,L10_G,L10_G
L10_8,,LG,L10_G,L10_G
L10_9,,LG,L10_G,L10_G
L11_7,,LG,L11_G,L11_G
L11_8,,LG,L11_G,L11_G
L11_9,,LG,L11_G,L11_G
L12_7,,LG,L12_G,L12_G
L12_8,,,,
L12_9,,LG,L12_G,L12_G
L13_7,,LG,L13_G,L13_G
L13_8,,LG,L13_G,L13_G
L13_9,,LG,L13_G,L13_G
L14_7,,LG,L14_G,L14_G
L14_8,,LG,L14_G,L14_G
L14_9,,LG,L14_G,L14_G
L16_9,,LG,L16_G,L16_G
L17_8,,LG,L17_G,L17_G
L17_9,,LG,L17_G,L17_G
L18_9,,LG,L18_G,L18_G
L19_8,,LG,L19_G,L19_G
L20_7,,LG,L20_G,L20_G
L20_8,,LG,L20_G,L20_G
L20_9,,LG,L20_G,L20_G
S16_4,,SG,S16_G,S16_G
S16_5,,SG,S16_G,S16_G
S16_6,,SG,S16_G,S16_G
S17_4,,SG,S17_G,S17_G
S17_5,,SG,S17_G,S17_G
S17_6,,SG,S17_G,S17_G
S18_4,,SG,S18_G,S18_G
S18_5,,SG,S18_G,S18_G
S18_6,,SG,S18_G,S18_G
S19_4,,SG,S19_G,S19_G
S19_5,,SG,S19_G,S19_G
S19_6,,SG,S19_G,S19_G
S20_1_4,Day 1,,S20_1_G,S20_1_G
S20_1_5,Day 1,,S20_1_G,S20_1_G
S20_1_6,Day 1,,S20_1_G,S20_1_G
S20_2_4,Day 2,,S20_2_G,S20_2_G
S20_2_5,Day 2,,S20_2_G,S20_2_G
S20_2_6,Day 2,,S20_2_G,S20_2_G
S20_3_4,Day 3,,S20_3_G,S20_3_G
S20_3_5,Day 3,,S20_3_G,S20_3_G
S20_3_6,Day 3,,S20_3_G,S20_3_G
S20_4_4,Day 4,SG,S20_4_G,S20_4_G
S20_4_5,Day 4,SG,S20_4_G,S20_4_G
S20_4_6,Day 4,SG,S20_4_G,S20_4_G
L0_B,,LR,L0_R,L0_R
L1_B,,LR,L1_R,L1_R
L2_B,,LR,L2_R,L2_R
L3_B,,LR,L3_R,L3_R
L4_B,,,,
L5_B,,LR,L5_R,L5_R
L6_B,,LR,L6_R,L6_R
L7_B,,,,
L8_B,,LR,L8_R,L8_R
L9_B,,LR,L9_R,L9_R
L10_B,,LR,L10_R,L10_R
L11_B,,LR,L11_R,L11_R
L12_B,,LR,L12_R,L12_R
L13_B,,LR,L13_R,L13_R
L14_B,,LR,L14_R,L14_R
L16_B,,LR,L16_R,L16_R
L18_B,,LR,L18_R,L18_R
L19_B,,LR,L19_R,L19_R
L20_B,,LR,L20_R,L20_R
S16_A,,SR,S16_R,S16_R
S17_A,,SR,S17_R,S17_R
S18_A,,SR,S18_R,S18_R
S19_A,,SR,S19_R,S19_R
S20_1_A,,,S20_1_R,S20_1_R
S20_2_A,,,S20_2_R,S20_2_R
S20_3_A,,,S20_3_R,S20_3_R
S20_4_A,,SR,S20_4_R,S20_4_R
