Group,C1,C2,C3,C4,K1,K2,K3,K4,K5,L0_7,L0_8,L0_9,L0_B,L10_7,L10_8,L10_9,L10_B,L11_7,L11_8,L11_9,L11_B,L12_7,L12_9,L12_B,L13_7,L13_8,L13_9,L13_B,L14_7,L14_8,L14_9,L14_B,L16_9,L16_B,L1_7,L17_8,L17_9,L1_8,L18_9,L18_B,L1_9,L19_8,L19_B,L1_B,L20_7,L20_8,L20_9,L20_B,L2_B,L3_7,L3_B,L4_7,L4_8,L4_9,L5_B,L6_7,L6_B,L8_9,L8_B,L9_7,L9_8,L9_9,L9_B,negH10,negH11,negH12,negplt2H10,negplt2H11,negplt2H12,negplt2H2,negplt2H3,negplt2H4,negplt2H5,negplt2H6,negplt2H7,negplt2H8,negplt2H9,S16_4,S16_5,S16_A,S17_4,S17_5,S17_6,S17_A,S18_4,S18_5,S18_6,S18_A,S19_4,S19_5,S19_6,S19_A,S20_1_4,S20_1_5,S20_1_6,S20_1_A,S20_2_4,S20_2_5,S20_2_6,S20_2_A,S20_3_4,S20_3_5,S20_3_6,S20_3_A,S20_4_4,S20_4_5,S20_4_6,S20_4_A,S16_6
ASV000011,0,0,0,0,0,0,0,132,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,7,7,11,1,9,10,0,393,13,0,59,34,1,29,23,72,16,0,5,0,85,0,3,5,7,11,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,76,291,499,108,1814,41,243,925,1171,493,937,1406,3059,200,493,394,235,13,14,72,240,30,482,648,134,65,692,1297,417,126,265
ASV000012,0,0,0,0,0,0,91,421,56,1,0,2,3,62,17,1,2,69,265,425,11,35,51,56,28,138,98,148,14,14,7,1189,65,2107,20,16,27,146,272,2612,37,46,1875,2,84,44,206,673,1,0,0,0,2,22,10,2,0,2,2,10,11,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,62,13,0,104,209,12,15,11,9,147,53,52,123,197,3,0,0,0,0,8,0,0,87,38,27,56,565,621,689,171,430
ASV000013,0,0,0,0,3,0,0,0,0,0,1,0,8,122,271,55,0,317,1817,509,0,237,301,0,112,445,545,0,972,272,222,0,405,0,1,1005,859,10,21,0,1,0,0,18,0,0,0,0,224,0,0,801,30,742,0,0,0,78,0,523,674,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,35,0,0,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303
ASV000014,1,0,0,0,0,3,31,0,0,2,0,1,0,24,11,4,4,20,30,83,3,3,15,2,23,35,16,0,14,22,5,17,69,31,16,53,43,35,797,19,17,122,44,42,40,14,48,12,0,10,0,29,1,294,0,20,178,0,5,8,4,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,29,50,56,22,515,100,76,100,23,460,253,237,179,603,693,176,279,654,17,162,162,655,251,107,77,724,284,324,305,1785,185
ASV000015,0,0,0,0,0,0,0,0,0,0,0,0,0,381,344,38,322,896,774,713,107,92,34,202,2,23,12,4,0,1,0,158,4,9,0,0,10,0,23,0,0,76,0,2,8,2,1,0,16,6,0,449,18,431,1,137,0,146,8,1531,1608,1292,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASV000016,0,0,0,0,0,0,29,0,0,1,1,1,4,0,0,0,65,0,0,0,98,0,0,132,0,0,0,850,0,0,0,147,0,340,0,0,0,0,0,314,0,0,153,14,0,0,0,406,4,0,0,0,0,0,6,16,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,935,0,0,0,1099,0,0,0,2774,0,0,0,27,0,0,0,70,0,0,0,329,0,0,0,2019,0
ASV000017,3,33,4,55,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,2,0,0,0,1,0,0,3,0,9157,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,21,0,0,0,0,0,0,0,1,0,27,0,0,0,0,0,3,0,0,0,0,54,0,0,0,0,1
ASV000018,0,0,0,0,8,0,32,0,0,0,0,0,0,86,52,73,0,9,52,118,0,8,0,2,44,61,40,0,42,112,58,0,93,0,30,27,127,30,378,0,16,54,0,0,68,40,113,0,0,29,0,120,2,411,0,0,1,1,1,37,67,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,105,0,644,351,1150,0,94,212,74,41,131,181,326,6,379,145,63,0,34,263,192,0,281,141,85,0,229,442,265,0,526
ASV000019,0,0,0,0,0,27,47,0,0,0,0,0,2,29,3,4,0,3,63,84,3,14,0,0,5,10,9,0,10,28,6,9,78,3,0,15,16,0,157,18,0,53,5,0,32,37,62,5,0,0,0,0,0,35,0,0,18,0,0,25,18,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,41,15,38,213,238,2,38,72,40,16,104,247,239,22,1798,1086,886,378,18,298,565,78,172,196,157,49,130,158,209,18,162
ASV000020,0,0,0,0,0,0,0,0,0,0,0,5,1,12,3,0,2,28,77,75,1,11,0,4,0,0,0,3,0,0,0,22,0,32,0,0,0,17,0,46,4,0,33,1,0,0,0,19,3,8,0,119,4,163,2,44,83,1,3,118,21,271,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,29,0,0,0,280,0,0,0,421,0,0,0,1688,0,0,0,986,0,0,0,2694,0,0,0,694,0
ASV000021,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,6,4,0,3,6,33,3,0,9,1,1,0,0,13,3,2,10,3,1,0,31,17,1,18,11,0,10,8,0,91,65,257,6,0,0,0,0,0,15,0,3,0,0,0,3,0,2,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,90,93,40,72,59,1,36,4,28,74,10,37,64,8,520,329,223,4152,4,95,109,124,28,50,38,824,39,50,37,53,276
ASV000022,0,0,0,0,0,0,94,0,34,1,0,1,2,28,4,17,2,47,180,286,9,22,38,2,5,14,16,2,67,14,8,0,511,1,0,792,349,3,260,0,1,831,0,1,161,164,444,1,0,25,0,43,0,18,0,9,0,26,2,35,5,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,143,0,20,166,129,3,60,143,189,15,190,267,285,0,30,36,14,0,9,25,46,0,266,293,118,27,154,64,489,0,156
ASV000023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,23,0,5,1,2,0,26,37,44,0,2491,1627,1298,1,44,358,839,1,145,167,81,0,29,13,69,1,0
ASV000024,0,0,0,0,0,0,10,0,0,0,0,0,0,15,4,6,0,0,4,12,0,4,0,0,1,8,3,0,0,2,1,0,45,0,0,18,16,0,31,1,0,19,0,0,5,8,22,0,0,0,0,1,0,0,0,2,54,0,3,6,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,68,0,181,67,268,0,68,31,153,7,11,78,312,0,1442,1396,445,0,8,203,248,0,90,149,62,0,102,153,60,0,351
ASV000025,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,13,3,0,2,0,1421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,9,10,4,0,2,6,2,0,11,47,50,1,1778,1178,595,0,18,233,497,0,74,139,79,0,25,14,33,0,3
ASV000026,0,0,0,0,14,219,0,0,0,0,0,1,0,0,0,0,0,0,3,7,0,1,0,0,0,3,5,0,0,0,0,0,7,0,2,4,10,0,140,1,0,65,0,2,3,14,57,0,0,5,0,12,1,21,0,0,3,25,0,10,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,23,0,91,178,1638,0,523,115,132,167,169,95,188,0,694,235,250,20,11,84,261,10,18,20,46,0,35,5,16,10,94
ASV000027,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,0,599,1,1,1,640,0,0,154,0,0,0,101,0,0,0,82,0,13,3,0,0,0,0,19,9,0,2,58,0,0,0,1,22,0,0,6,0,0,18,0,0,0,0,0,0,0,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,2,0,0,0,91,1,0,0,809,0,0,0,1072,0,0,3,41,0,0,0,1255,0,0,0,61,0
ASV000028,0,0,0,0,0,0,0,0,0,0,0,0,2,24,41,38,0,4,228,166,1,37,29,0,43,24,189,0,55,31,19,6,142,6,0,42,52,0,1817,1,0,587,6,0,73,25,179,3,0,0,0,20,1,33,0,0,0,1,7,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,31,4,43,40,196,0,58,12,10,18,23,31,52,0,118,74,29,6,3,20,73,0,4,8,12,7,23,6,30,3,59
ASV000029,0,0,0,0,0,0,0,0,0,0,0,0,0,311,146,102,11,6,6,50,0,5,0,0,1105,273,402,2,1,0,1,0,3,4,1,0,0,0,0,0,2,0,16,6,0,2,0,7,0,0,0,129,1,725,0,1,0,1,6,45,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,20,0,17,47,258,0,10,9,7,1,48,35,107,0,28,25,39,0,3,5,9,0,84,54,26,0,161,54,70,0,41
ASV000030,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,7,2,0,77,4,0,17,5,0,2,2,7,4,0,2,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,47,142,25,434,7,52,233,271,122,206,304,761,42,136,93,52,5,1,13,55,3,126,154,37,17,152,346,96,39,51
ASV000031,1,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,0,5,9,3,0,3,0,0,3,5,3,0,2,4,1,0,7,1,0,3,4,0,28,0,0,1,3,1,0,4,9,0,0,0,0,653,1,53,5,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,151,4,0,220,76,0,52,56,19,10,117,231,118,0,119,38,47,0,17,48,20,0,189,170,95,0,98,20,200,0,670
ASV000032,0,0,0,0,0,0,0,0,0,3,0,0,0,77,117,19,2,121,160,123,9,31,32,1,20,18,59,17,28,21,25,119,56,253,0,105,122,2,166,0,0,115,0,1,314,380,943,0,1,7,0,68,1,61,0,2,0,9,1,127,123,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,19,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
ASV000033,0,0,0,0,0,0,0,0,0,2,2,1,0,11,7,0,14,15,5,17,4,0,0,11,3,0,3,20,0,0,6,55,14,8,44,0,0,0,0,4,12,0,13,3,0,0,0,0,1,0,0,786,8,112,0,0,0,0,1,67,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,107,1,0,0,3,0,0,1,72,0,0,0,327,0,0,5,1549,0,0,0,98,0,1,0,379,0,0,0,80,10
ASV000034,0,0,0,0,0,0,74,0,23,0,1,0,0,20,4,2,1,30,107,95,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,7,0,0,14,0,1,2,0,0,1,0,6,4,0,9,0,10,0,0,0,5,0,48,24,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,1,2,0,48,89,238,31,91,119,164,0,10,11,10,0,1,17,44,11,101,85,58,0,167,699,717,0,0
ASV000035,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,31,0,18,54,75,0,8,14,7,6,20,67,209,1,871,421,101,0,17,327,289,0,161,275,166,0,74,94,316,1,160
ASV000036,0,0,0,2,0,0,1,2,1,0,0,0,0,5,7,1,0,1,1,5,0,1,0,0,0,8,0,0,12,4,4,0,363,0,0,51,56,0,283,0,0,135,0,0,37,67,119,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,76,0,168,219,190,0,21,46,40,7,29,76,126,0,373,267,224,0,2,45,110,0,33,41,25,0,42,63,37,2,273
ASV000037,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,2,11,22,5,19,34,6,1,19,6,0,18,1,102,18,6,27,5,17,0,14,19,0,16,12,0,2,8,21,4,2,9,1,2,0,0,61,1,10,0,7,14,1,6,9,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,109,164,37,12,50,31,16,20,40,0,13,24,30,51,246,149,216,879,1,16,64,59,30,36,35,150,3,11,12,60,242
ASV000038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,2,3,2,55,0,13,26,0,1,0,101,0,0,0,183,4,982,0,11,6,1,0,300,1,0,298,1,0,0,0,147,0,0,0,0,0,0,38,326,1,0,61,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,0,255,0,0,0,168,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,250,0
ASV000039,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,25,2,0,3,2,0,2,0,1,0,2,0,3,0,0,0,3,2,3,0,2,0,0,0,0,0,0,2,6,0,0,2,0,83,5,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,455,0,0,93,90,0,46,156,205,17,53,226,77,0,12,21,27,0,10,38,64,0,216,297,185,0,25,43,41,1,422
ASV000040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,16,13,1,3,6,3,2,4,24,22,0,478,464,350,1600,6,61,109,34,31,13,11,54,6,2,23,1,0
ASV000041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,49,1,28,45,0,66,80,199,0,90,20,5,0,239,0,0,92,97,0,248,0,0,314,0,0,101,95,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,59,0,4,67,430,0,21,29,8,15,16,34,50,0,0,0,0,0,0,0,4,0,11,5,1,0,49,45,25,0,358
ASV000042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12,0,7,37,27,0,1,11,4,1,29,77,63,0,824,832,516,1,7,98,141,0,65,75,32,0,11,10,28,0,43
ASV000043,0,0,0,0,5,0,25,0,7,0,0,0,2,10,15,20,1,0,297,254,0,1,0,2,0,2,3,5,208,234,1,72,43,31,5,68,151,22,301,8,12,213,185,16,18,29,60,13,14,0,1,28,0,108,0,17,0,3,226,9,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,28,6,3,54,5,0,1,0,82,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,15,0,0,0,5,2
ASV000044,0,0,0,0,0,0,45,0,0,3,10,3,6,168,61,46,7,172,455,495,5,51,76,1,17,53,112,0,63,20,4,0,8,4,0,15,36,0,48,20,0,1,15,8,2,2,11,41,8,0,0,0,0,4,0,145,1,8,4,91,84,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,38,3,35,21,35,3,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56,0,0,0,59,114
ASV000045,0,0,0,0,0,0,0,0,0,0,0,0,0,285,141,55,75,95,194,170,73,18,0,26,5,15,6,26,9,1,1,58,11,106,1,51,10,16,135,121,2,58,59,1,142,162,322,143,8,6,0,10,0,68,0,0,0,7,1,69,58,65,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000046,0,0,0,0,0,0,0,0,0,0,0,1,0,87,18,10,2,67,242,243,2,7,0,0,1,3,13,0,2,0,0,1,1,35,4,0,2,41,0,5,5,0,15,1,0,0,0,3,5,48,0,148,8,464,10,37,0,109,3,356,63,639,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,4,0,12,0,8,9,23,3,6,3,0,0,1,0,0,0,0,0,0,4,0,3,0,0,0,5,3,0
ASV000047,0,0,0,0,0,0,43,0,0,0,0,11,0,12,2,0,0,7,3,11,0,0,0,0,39,28,15,0,49,22,2,0,13,0,0,73,2,0,63,0,0,0,0,2,13,1,9,2,1,0,0,25,1,146,0,0,2,0,0,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,59,0,0,393,355,0,80,114,22,18,34,126,150,0,0,10,0,0,10,42,3,0,154,95,55,0,58,63,103,0,206
ASV000048,0,0,0,0,0,0,0,0,0,0,1,0,0,119,50,32,3,98,472,276,8,25,51,0,53,191,126,12,117,60,65,11,85,80,0,190,184,3,49,18,0,0,20,2,6,3,21,28,0,1,0,15,2,124,0,40,0,2,21,25,42,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,2,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37
ASV000049,0,0,0,0,0,0,0,0,0,202,41,101,161,20,216,328,0,11,0,7,0,0,1,0,165,303,48,0,53,47,344,0,38,0,13,39,36,2,0,0,4,1,0,5,0,0,4,0,0,0,0,10,0,44,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,49,0,67,148,4,0,28,23,4,0,21,22,24,0,1,5,0,0,0,9,0,0,26,13,18,0,19,29,18,1,10
ASV000050,100,1,49,19,0,560,556,346,86,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,7,3,0,0,1,0,37,32,60,0,13,24,7,3,0,0,15,11,4,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,8,3,0,0,31,0,2,0,0,70,0,48,3,11,84,79,36,30,0,10,23,14,0,0,0,37,1,0,0,3,44
ASV000051,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,7,27,0,23,39,0,48,56,129,0,68,4,3,0,156,0,0,75,94,0,290,2,0,291,0,0,108,103,188,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,58,0,0,50,300,0,19,26,5,5,14,33,44,0,0,0,6,0,0,0,0,0,6,8,1,0,25,18,16,0,194
ASV000052,1,0,0,0,0,0,0,0,0,9,5,18,6,93,21,48,20,6,2,15,27,1,0,23,15,55,11,113,163,250,42,245,28,19,18,15,53,6,1,5,3,37,37,37,16,9,20,18,0,1,0,7,0,249,0,2,39,2,343,15,11,3,64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,20,14,6,9,55,7,20,1,0,18,8,5,2,2,2,0,0,0,4,0,0,7,9,2,1,17,29,16,64,0
ASV000053,0,0,0,0,0,0,0,0,0,0,0,0,0,51,32,33,25,37,152,90,32,32,57,4,3,2,41,35,26,24,28,40,40,21,0,54,78,0,366,27,0,20,15,5,73,85,231,7,35,0,0,105,5,144,7,117,0,13,35,56,112,69,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV000054,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,3,12,1,17,2,41,1,0,1,0,0,0,2,15,35,6,0,4,0,1,219,22,2,389,0,14,130,0,0,5,44,115,0,0,42,0,700,2,366,0,36,0,0,1,1,2,3,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
ASV000055,0,0,0,0,0,0,0,25,0,0,2,0,0,6,1,1,12,35,2,65,90,7,0,21,1,0,0,2,40,1,4,22,3,2,2,0,3,16,0,7,1,3,6,1,3,2,21,13,0,0,3,115,4,17,18,296,0,12,3,6,1,16,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,52,355,7,23,8,31,17,40,65,42,22,29,69,20,0,4,0,29,0,1,4,0,42,39,8,127,11,2,31,69,34
ASV000056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,367,0,0,0,0,0,538,0,0,908,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,9,0,0,0,25,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
