group,treatment0,treatment2_RGL,treatment3_daily,treatment4_LG,treatment5_RG,treatment7_beginning,treatment8_beg_end,treatment9_L_GR,treatment10_S_GR,treatment11_beg_end_S,treatment12_LS,coverage,nseqs,bergerparker,chao,chao_lci,chao_hci,shannon,shannon_lci,shannon_hci
L17Aplt4,L17_L,L,,L,,,,,,,,0.990206,1021,0.416259,43.5,26.231626,117.767241,1.434949,1.36951,1.500387
L17plt3,L1_G,G,,G,G,L0_G,L0_G,G,,L0_G,G,0.982213,1012,0.621542,75.25,48.592645,163.206098,1.564174,1.464505,1.663843
L18Aplt4,L18_L,L,,L,,L20_L,,,,,,1,1024,0.751953,19,19,19,1.108777,1.015502,1.202052
L18Bplt4,L18_R,R,,,R,L20_R,,R,,,,0.992149,1019,0.762512,45,24.433381,122.470178,0.946541,0.864111,1.028971
L198plt4,L19_G,G,,G,G,L20_G,L20_G,G,,,G,0.995117,1024,0.383789,29,24.777869,56.13908,1.727289,1.644482,1.810097
L19Aplt4,L19_L,L,,L,,L20_L,,,,,,0.99609,1023,0.348974,29,27.249903,43.006186,2.18224,2.104066,2.260414
L1Aplt3,L1_L,L,,L,,L0_L,,,,,,0.980257,1013,0.47384,69.142857,51.03814,123.513973,1.831758,1.73982,1.923696
L1Bplt3,L1_R,R,,,R,L0_R,,R,,,,0.989226,1021,0.467189,76,38.577094,193.098982,1.373882,1.304793,1.44297
L207plt4,L20_G,G,,G,G,L20_G,L20_G,G,,,G,0.999021,1021,0.433888,25,25,0,2.08584,2.002284,2.169395
L208plt4,L20_G,G,,G,G,L20_G,L20_G,G,,,G,0.995117,1024,0.568359,44,42.286466,55.963265,2.033086,1.92117,2.145002
L209plt4,L20_G,G,,G,G,L20_G,L20_G,G,,,G,0.992149,1019,0.280667,66,62.807967,81.802788,2.857155,2.761237,2.953073
L20Aplt4,L20_L,L,,L,,L20_L,,,,,,0.987255,1020,0.70098,99,48.204727,244.637601,1.005528,0.929553,1.081504
L20Bplt4,L20_R,R,,,R,L20_R,,R,,,,0.995112,1023,0.213099,54.5,52.368021,68.982713,2.852212,2.765606,2.938819
L2Aplt3,L2_L,L,,L,,L0_L,,,,,,0.998039,1020,0.542157,29.5,29.030262,37.261169,1.985971,1.885333,2.086609
L3Aplt3,L3_L,L,,L,,,,,,,,0.974063,1041,0.477426,219.5,99.65828,597.381276,2.111191,2.018968,2.203415
L4Aplt3,L4_L,L,,L,,,,,,,,0.982759,1044,0.302682,187,96.065743,411.164579,2.181006,2.102647,2.259366
L5Aplt3,L5_L,L,,L,,,,,,,,0.979866,1043,0.342282,115,66.514945,272.748662,2.290149,2.205663,2.374635
L6Aplt3,L6_L,L,,L,,,,,,,,0.997065,1022,0.428571,13.5,12.149231,27.077277,1.299753,1.23731,1.362195
L89plt3,L8_G,G,,G,G,,,G,,,G,0.995122,1025,0.715122,29,27.286466,40.963265,1.337841,1.234592,1.441091
L8Aplt3,L8_L,L,,L,,,,,,,,0.987242,1019,0.365064,46,36.552741,80.568908,1.750029,1.671666,1.828392
L8Bplt3,L8_R,R,,,R,,,R,,,,0.991237,1027,0.855891,32.2,26.60153,57.369051,0.72944,0.637464,0.821415
L97plt3,L9_G,G,,G,G,,,G,,,G,0.991211,1024,0.929688,35,25.65666,77.203391,0.451706,0.366355,0.537057
L9Aplt3,L9_L,L,,L,,,,,,,,0.993137,1020,0.646078,25,19.340979,54.540456,1.141515,1.067898,1.215131
L9Bplt3,L9_R,R,,,R,,,R,,,,0.991202,1023,0.973607,24,17.002307,55.453337,0.18234,0.123503,0.241178
S164plt4,S16_G,SG,,,SG,,,,SG,,SG,0.989247,1023,0.508309,56.5,54.53948,65.585224,2.044224,1.937765,2.150683
S165plt4,S16_G,SG,,,SG,,,,SG,,SG,0.996086,1022,0.411937,37.5,36.180377,48.473897,2.159563,2.066269,2.252857
S16Aplt4,S16_R,SR,,,SR,,,,SR,,,0.995098,1020,0.190196,43,41.286466,54.963265,2.822785,2.753652,2.891918
S174plt4,S17_G,SG,,,SG,,,,SG,,SG,0.996086,1022,0.345401,39,37.249903,53.006186,2.611666,2.525424,2.697907
S175plt4,S17_G,SG,,,SG,,,,SG,,SG,0.991211,1024,0.615234,43.6,40.76382,56.967346,1.57204,1.467166,1.676914
